symbol,vol_regime,shock_side,shock_level,shock_quantile,threshold_pct,horizon_bars,horizon_hours,count,vol20_mean_pct,current_return_mean_pct,future_return_mean_pct,future_return_median_pct,future_return_std_pct,future_return_t_stat,mr_return_mean_pct,mr_return_median_pct,mr_return_std_pct,mr_return_t_stat,mr_win_rate_pct
BTCUSDT,Q4_higher,upper,5pct,0.0500000000,1.9012904090,6,24,159,1.2655156145,2.7642915138,-0.1623551295,0.0321020727,3.5403214248,-0.5782583110,0.1623551295,-0.0321020727,3.5403214248,0.5782583110,49.6855345912
BTCUSDT,Q4_higher,upper,5pct,0.0500000000,1.9012904090,12,48,159,1.2655156145,2.7642915138,-0.0440722983,0.0233316828,4.7771263082,-0.1163315559,0.0440722983,-0.0233316828,4.7771263082,0.1163315559,49.6855345912
BTCUSDT,Q4_higher,upper,5pct,0.0500000000,1.9012904090,18,72,159,1.2655156145,2.7642915138,0.1743419768,0.2460896642,5.6138891455,0.3915946012,-0.1743419768,-0.2460896642,5.6138891455,-0.3915946012,47.1698113208
BTCUSDT,Q5_high,upper,5pct,0.0500000000,1.9012904090,1,4,340,2.2516798582,3.3335957302,-0.1049386003,-0.1227996514,2.0648698802,-0.9370915816,0.1049386003,0.1227996514,2.0648698802,0.9370915816,53.2352941176
BTCUSDT,Q5_high,upper,5pct,0.0500000000,1.9012904090,2,8,340,2.2516798582,3.3335957302,0.0854726338,0.1178468406,2.6287413565,0.5995407231,-0.0854726338,-0.1178468406,2.6287413565,-0.5995407231,47.6470588235
BTCUSDT,Q5_high,upper,5pct,0.0500000000,1.9012904090,3,12,340,2.2516798582,3.3335957302,0.3503492065,0.2254312768,3.1684305310,2.0389022598,-0.3503492065,-0.2254312768,3.1684305310,-2.0389022598,45.5882352941
BTCUSDT,Q5_high,upper,5pct,0.0500000000,1.9012904090,6,24,340,2.2516798582,3.3335957302,0.2305991045,0.1001716395,4.4891124242,0.9471888849,-0.2305991045,-0.1001716395,4.4891124242,-0.9471888849,48.5294117647
BTCUSDT,Q5_high,upper,5pct,0.0500000000,1.9012904090,12,48,340,2.2516798582,3.3335957302,0.0651350648,0.0287376885,5.6843426146,0.2112876252,-0.0651350648,-0.0287376885,5.6843426146,-0.2112876252,50.0000000000
BTCUSDT,Q5_high,upper,5pct,0.0500000000,1.9012904090,18,72,340,2.2516798582,3.3335957302,0.4534778353,0.6441678555,6.8859078866,1.2143232618,-0.4534778353,-0.6441678555,6.8859078866,-1.2143232618,46.4705882353
BTCUSDT,Q1_low,lower,5pct,0.0500000000,-1.8987744291,1,4,3,0.5993107209,-2.0830601941,0.1017449701,0.0745581328,0.2312772144,0.7619750090,0.1017449701,0.0745581328,0.2312772144,0.7619750090,66.6666666667
BTCUSDT,Q1_low,lower,5pct,0.0500000000,-1.8987744291,2,8,3,0.5993107209,-2.0830601941,-1.2753550588,0.3119900064,3.0336634572,-0.7281558389,-1.2753550588,0.3119900064,3.0336634572,-0.7281558389,66.6666666667
BTCUSDT,Q1_low,lower,5pct,0.0500000000,-1.8987744291,3,12,3,0.5993107209,-2.0830601941,-1.4563879271,-0.3956337823,3.7676945182,-0.6695176249,-1.4563879271,-0.3956337823,3.7676945182,-0.6695176249,33.3333333333
BTCUSDT,Q1_low,lower,5pct,0.0500000000,-1.8987744291,6,24,3,0.5993107209,-2.0830601941,-1.9855833117,-0.4395326131,4.6058359406,-0.7466899001,-1.9855833117,-0.4395326131,4.6058359406,-0.7466899001,33.3333333333
BTCUSDT,Q1_low,lower,5pct,0.0500000000,-1.8987744291,12,48,3,0.5993107209,-2.0830601941,-1.5770114136,-0.4903136002,4.3268598891,-0.6312808740,-1.5770114136,-0.4903136002,4.3268598891,-0.6312808740,33.3333333333
BTCUSDT,Q1_low,lower,5pct,0.0500000000,-1.8987744291,18,72,3,0.5993107209,-2.0830601941,-1.0697234573,0.3031082752,5.1354708632,-0.3607878279,-1.0697234573,0.3031082752,5.1354708632,-0.3607878279,66.6666666667
BTCUSDT,Q2_lower,lower,5pct,0.0500000000,-1.8987744291,1,4,32,0.7660491794,-2.2120965007,-0.0071341567,-0.0909594554,1.0214908602,-0.0395078276,-0.0071341567,-0.0909594554,1.0214908602,-0.0395078276,50.0000000000
BTCUSDT,Q2_lower,lower,5pct,0.0500000000,-1.8987744291,2,8,32,0.7660491794,-2.2120965007,-0.0084520254,0.1690950798,1.4071181656,-0.0339785791,-0.0084520254,0.1690950798,1.4071181656,-0.0339785791,53.1250000000
BTCUSDT,Q2_lower,lower,5pct,0.0500000000,-1.8987744291,3,12,32,0.7660491794,-2.2120965007,-0.2264483999,-0.3169133505,1.7934468922,-0.7142590052,-0.2264483999,-0.3169133505,1.7934468922,-0.7142590052,43.7500000000
BTCUSDT,Q2_lower,lower,5pct,0.0500000000,-1.8987744291,6,24,32,0.7660491794,-2.2120965007,-0.1296267441,-0.7176900850,3.2483368139,-0.2257400142,-0.1296267441,-0.7176900850,3.2483368139,-0.2257400142,43.7500000000
