pair,yield_level_bucket,test,n,raw_mean_fwd_5d_bp,strategy_mean_5d_bp,strategy_median_5d_bp,strategy_win_rate_5d,strategy_sharpe_5d,strategy_max_dd_5d_bp,cost_adj_mean_5d_bp,raw_mean_fwd_10d_bp,strategy_mean_10d_bp,strategy_median_10d_bp,strategy_win_rate_10d,strategy_sharpe_10d,strategy_max_dd_10d_bp,cost_adj_mean_10d_bp,raw_mean_fwd_20d_bp,strategy_mean_20d_bp,strategy_median_20d_bp,strategy_win_rate_20d,strategy_sharpe_20d,strategy_max_dd_20d_bp,cost_adj_mean_20d_bp
EURUSD,Q1_low,level_carry_direction,389,-0.5307817573960312,0.5307817573960312,-6.9585020242901585,0.48586118251928023,0.03126252737385452,6125.259815657208,-0.11921824260396974,4.39350469741223,-4.39350469741223,-9.075811995520322,0.4704370179948586,-0.13371681557981308,13473.907348065462,-5.043504697412226,13.839569352215378,-13.839569352215378,-22.74756779621301,0.4755784061696658,-0.21256791124278404,28372.643002796714,-14.489569352215366
EURUSD,Q2_mid_low,level_carry_direction,388,2.1813384572241183,-2.1813384572241183,2.7213853990559755,0.5051546391752577,-0.15618434130392825,4477.504159363918,-2.827987941760201,2.3814001011160038,-2.3814001011160038,13.256995894328494,0.5360824742268041,-0.08665237377821179,7677.894075981179,-3.028049585652089,13.93841130377688,-13.93841130377688,-13.608061911017932,0.47164948453608246,-0.2640378913709763,14150.049752783543,-14.585060788312953
EURUSD,Q3_mid_high,level_carry_direction,380,4.848293930472221,-4.848293930472221,4.545095139977806,0.5157894736842106,-0.4184342066365843,2740.7187516772938,-5.498293930472221,4.279872793518398,-4.279872793518398,7.216574672818665,0.5157894736842106,-0.1963174078109481,4733.974996466401,-4.9298727935184,4.484377177691792,-4.484377177691792,-5.126547538946147,0.48947368421052634,-0.11041753258729897,9163.594291469086,-5.134377177691794
EURUSD,Q4_high,level_carry_direction,377,-7.902131770861845,7.902131770861845,11.154939135598063,0.5623342175066313,0.862525118411984,1831.5028927719695,7.55385590879288,-14.235291959734122,14.235291959734122,19.6336210624648,0.5543766578249337,0.7384384631356874,3349.409990430928,13.887016097665157,-39.199868404350724,39.199868404350724,40.47834923963434,0.6127320954907162,1.0289145073605912,3613.4156194302013,38.851592542281765
USDJPY,Q1_low,level_carry_direction,388,19.377251759072553,19.377251759072553,16.846644291621526,0.6005154639175257,1.4917755280064697,1716.695129523575,18.987561037423074,39.92193302295585,39.92193302295585,35.97759987868487,0.6288659793814433,1.6265335429547225,2875.8799069332654,39.53224230130636,87.16938642639309,87.16938642639309,43.41362682948713,0.6314432989690721,1.6465568297115631,3936.771364908702,86.7796957047436
USDJPY,Q2_mid_low,level_carry_direction,371,24.390820301592573,24.390820301592573,21.853473141266733,0.5876010781671159,1.3674000118284537,2690.156322430309,23.69082030159257,48.778319803593,48.778319803593,47.89915396253397,0.6522911051212938,1.4291063943235758,5067.021485735431,48.078319803593,102.09895810575698,102.09895810575698,86.92378768693887,0.6954177897574124,1.4788352738060024,8395.616385511377,101.39895810575698
USDJPY,Q3_mid_high,level_carry_direction,385,4.680108143530877,4.680108143530877,20.88933261654269,0.561038961038961,0.23907492625005966,5885.648445877791,3.9819263253490607,18.204749796832633,18.204749796832633,44.95425904142536,0.5922077922077922,0.46013441524884485,11214.205185575174,17.50656797865082,34.31245151396095,34.31245151396095,96.8128350647035,0.5844155844155844,0.4082204119232952,20685.08853522919,33.61426969577914
USDJPY,Q4_high,level_carry_direction,387,2.7293315151489455,2.7293315151489455,20.323572670142287,0.58656330749354,0.15447042244325118,4852.157966934682,2.0311403006786604,-4.902724053404686,-4.902724053404686,28.778150325112772,0.5788113695090439,-0.1371909356624504,10348.00854975692,-5.60091526787496,-16.706647701651182,-16.706647701651182,51.60182060420793,0.5813953488372093,-0.22729232795883503,21310.91745424985,-17.40483891612146
