pair,alignment,test,n,raw_mean_fwd_5d_bp,strategy_mean_5d_bp,strategy_median_5d_bp,strategy_win_rate_5d,strategy_sharpe_5d,strategy_max_dd_5d_bp,cost_adj_mean_5d_bp,raw_mean_fwd_10d_bp,strategy_mean_10d_bp,strategy_median_10d_bp,strategy_win_rate_10d,strategy_sharpe_10d,strategy_max_dd_10d_bp,cost_adj_mean_10d_bp,raw_mean_fwd_20d_bp,strategy_mean_20d_bp,strategy_median_20d_bp,strategy_win_rate_20d,strategy_sharpe_20d,strategy_max_dd_20d_bp,cost_adj_mean_20d_bp
EURUSD,aligned_long_base,price_trend_follow,283,4.851354623141605,4.851354623141605,2.5091629253259917,0.5265017667844523,0.40531300401586245,1595.6663796100213,4.23121328038542,7.001793421029283,7.001793421029283,3.198800906631938,0.5159010600706714,0.30613746237387,3079.440989403018,6.3816520782730946,-0.0301690023581707,-0.0301690023581707,-1.7145306472365895,0.49823321554770317,-0.0006849520081926193,5312.696646753489,-0.6503103451143593
EURUSD,aligned_short_base,price_trend_follow,331,-9.330588628289307,9.330588628289307,-3.7599285613576505,0.48942598187311176,0.6813152497841858,1726.8765249859307,8.827869595056677,-7.829378480392513,7.829378480392513,6.715511971691068,0.5196374622356495,0.32218146175305845,2637.3072132850284,7.326659447159883,-22.491689456843577,22.491689456843577,21.470414122762847,0.5347432024169184,0.5179463268176454,4140.150768997819,21.988970423610947
EURUSD,divergent,price_trend_follow,656,2.5260191579699183,0.8945956974933812,-0.22955831789794878,0.5,0.06726940714581593,3813.581360317559,0.29711094139581773,-0.41840200033924,-0.1733412389988358,-5.2446270432154884,0.4817073170731707,-0.006463406562622235,4626.407797584655,-0.7708259950963993,-1.3132045392668377,0.5287037350957517,-14.550784355444325,0.4634146341463415,0.009695410819429031,7482.399632745135,-0.06878102100180687
EURUSD,neutral,price_trend_follow,244,-0.638643162966093,-0.7090291047553222,-1.2113414282560742,0.5,-0.04896826450559816,2275.25620577382,-1.3164061539356493,2.5882724893274838,8.900576056160626,0.12682442519285075,0.5,0.2979579565795882,3253.731086867999,8.293199006980297,29.019917240196772,19.219542650959145,-7.665611488358315,0.4959016393442623,0.333849458641314,4428.680405102323,18.612165601778816
EURUSD,unknown,price_trend_follow,20,-14.130746225471222,,,,,,,-42.717343853556855,,,,,,,-52.43507940032579,,,,,,
USDJPY,aligned_long_base,price_trend_follow,426,24.972384206360577,24.972384206360577,25.2384885624124,0.6032863849765259,1.6534697910243286,2050.474265455736,24.351257445797202,43.44901457266965,43.44901457266965,52.140614515087115,0.6619718309859155,1.2830799240970825,3364.3606528692835,42.82788781210627,74.71499100638849,74.71499100638849,75.50851434926065,0.6596244131455399,1.1198902805926323,7516.036605489855,74.0938642458251
USDJPY,aligned_short_base,price_trend_follow,272,2.5177978059859045,-2.5177978059859045,-11.649405981782879,0.4375,-0.1257167382294754,3240.6640880406435,-3.156033100103548,14.508615946352105,-14.508615946352105,-26.520493586711382,0.4375,-0.3622742375376399,5899.518265654113,-15.146851240469754,32.52782419248816,-32.52782419248816,-40.81354640076862,0.4375,-0.3718951471097908,11317.839124450664,-33.16605948660581
USDJPY,divergent,price_trend_follow,575,6.768476135278688,3.492318641024166,2.9957446808515087,0.5113043478260869,0.19386292825390922,4917.364665503344,2.8592751627632986,14.997059980053622,5.991031941639205,3.303884707639426,0.5095652173913043,0.18117371238616686,5408.1403179680465,5.357988463378337,33.42606830937481,-10.674084534501775,15.614469408318232,0.5234782608695652,-0.15230249276998772,11140.098781242596,-11.307128012762643
USDJPY,neutral,price_trend_follow,238,17.975394485113604,-5.083951459518831,0.3646021066833205,0.5,-0.3208686384573734,2693.112730407277,-5.7045396948129445,33.982862647857836,-19.22144115311437,-12.905405394542102,0.47478991596638653,-0.6154493904120574,5973.436738757519,-19.842029388408477,83.01445636008002,-23.842431100184612,30.94732897384711,0.5336134453781513,-0.3334563376167619,11827.505027300043,-24.463019335478727
USDJPY,unknown,price_trend_follow,20,-3.3816697173515444,,,,,,,-23.445671046660784,,,,,,,-60.41638388277587,,,,,,
