pair,regime,volatility_level,test,n,raw_mean_fwd_5d_bp,strategy_mean_5d_bp,strategy_median_5d_bp,strategy_win_rate_5d,strategy_sharpe_5d,strategy_max_dd_5d_bp,cost_adj_mean_5d_bp,raw_mean_fwd_10d_bp,strategy_mean_10d_bp,strategy_median_10d_bp,strategy_win_rate_10d,strategy_sharpe_10d,strategy_max_dd_10d_bp,cost_adj_mean_10d_bp,raw_mean_fwd_20d_bp,strategy_mean_20d_bp,strategy_median_20d_bp,strategy_win_rate_20d,strategy_sharpe_20d,strategy_max_dd_20d_bp,cost_adj_mean_20d_bp
EURUSD,high_volatility,high,price_trend_follow_by_regime,228,-6.571983923006873,12.554438844528944,8.00600704965182,0.5394736842105263,0.7895196325576036,1317.2062612311647,11.907289721721925,-16.82047314283011,9.128447820655971,-3.864026043949309,0.4956140350877193,0.31051374506641743,2148.0408254180006,8.481298697848954,-10.831333536286364,-3.0762564468635443,-24.35327816245558,0.45614035087719296,-0.05524207261304951,5105.361277941457,-3.7234055696705637
EURUSD,range_market,normal,price_trend_follow_by_regime,374,-3.3465261404641446,5.108030361507451,-1.8374767359202737,0.49732620320855614,0.36829024779512887,2005.6643848619233,4.4597683294218875,3.098389285907492,12.54907092772654,5.993555240541015,0.5106951871657754,0.4461427962533613,3349.5811038116126,11.900808895640976,8.50931363254414,27.1885621494751,23.771516301658856,0.5267379679144385,0.49910457952448156,8402.24291612714,26.540300117389542
EURUSD,trend_market,normal,price_trend_follow_by_regime,407,0.5810502931179734,3.195920945213898,2.786239690915071,0.5233415233415234,0.2646578104104181,2134.172446758969,2.5507121000050494,-4.1696305351856315,1.3802093159737392,3.187347093482895,0.5061425061425061,0.054120809174370815,2900.691896176526,0.7350004707648922,10.257387315981102,1.0724152634891033,-8.393595041321644,0.48157248157248156,0.021506822527413,3627.9864059400415,0.4272064182802583
EURUSD,usd_strength,normal,price_trend_follow_by_regime,355,12.709378816579367,-2.5090037673937458,-9.777026834614233,0.4788732394366197,-0.17883300516978545,2777.6259563780877,-3.1553417955627627,22.94890548382194,-1.5922205566545304,0.285445151716468,0.5014084507042254,-0.06254047853647184,4589.04424270403,-2.238558584823546,5.113163528283409,9.743854749073252,-14.792057802810454,0.476056338028169,0.19159030590975928,4544.731352979677,9.097516720904242
USDJPY,carry_build,normal,price_trend_follow_by_regime,72,39.146768517459314,5.287936543262703,28.054978770447605,0.5694444444444444,0.285803154720551,1219.3173549993953,4.587936543262703,69.01309472758655,2.825611373947721,1.2589655339301231,0.5,0.07379234830418932,3119.6006957003137,2.125611373947723,67.24405778340186,12.642271745583972,34.58774497072881,0.5277777777777778,0.17291689868627835,3373.90801986954,11.942271745583973
USDJPY,carry_unwind,high,price_trend_follow_by_regime,67,-41.602524715494695,47.6916797252575,-4.764499906995123,0.4925373134328358,1.6586666894566122,1091.7463346302438,46.99167972525749,-43.66319924620124,40.29805862881761,38.30880962552574,0.5223880597014925,0.8371849214132374,1830.7664669662518,39.59805862881762,-25.090454611308203,49.04039184380058,112.31017866851212,0.6417910447761194,0.4918883985380603,2943.1563796882792,48.34039184380055
USDJPY,carry_unwind,normal,price_trend_follow_by_regime,183,24.5772289274608,-22.487091435759865,-27.782601146032484,0.4098360655737705,-1.1830765212541239,4359.29588683143,-23.18326629914784,16.480622811678277,-19.26448059989156,-12.615535130402478,0.46994535519125685,-0.5543075432981647,5556.618546767655,-19.96065546327954,61.24954359195874,-39.34099245562489,-16.079461032748597,0.4808743169398907,-0.48316187688498896,11871.075562589695,-40.03716731901286
USDJPY,high_volatility,high,price_trend_follow_by_regime,168,7.556707457747192,26.204915975519857,23.24529807322284,0.5535714285714286,1.459362634320597,1491.865576480313,25.504915975519854,35.22393554132228,41.65905740659672,58.416585647002584,0.6130952380952381,1.0934756666943133,5462.902469652693,40.95905740659673,117.66982836540544,62.534949794742595,63.53690950940127,0.5535714285714286,0.6892062018455598,7314.001228417703,61.83494979474261
USDJPY,range_market,normal,price_trend_follow_by_regime,133,-9.782627592558871,22.77518342860852,22.749929705272454,0.5639097744360902,1.129474264643663,1655.7040378855509,22.08044658650326,17.758632952407766,5.0888935169924014,24.4114414253227,0.5263157894736842,0.13042848537005813,3923.419587433874,4.3941566748871415,54.41401535488622,-6.463701495691193,42.03292870099018,0.5639097744360902,-0.07466394876732892,7920.252868858632,-7.158438337796454
USDJPY,trend_market,normal,price_trend_follow_by_regime,63,45.30369990376464,1.118049459631298,-19.915118334589145,0.47619047619047616,0.05702037157078183,1188.4319453587366,0.4180494596313035,62.731266581231225,15.012460911310486,-34.533760312634996,0.4444444444444444,0.35718035245304225,1806.880610238231,14.312460911310492,75.63727396780038,20.283208901699787,-59.450138369328,0.4603174603174603,0.19943811405069614,2798.5456134576234,19.58320890169979
USDJPY,usd_strength,normal,price_trend_follow_by_regime,675,14.29873095929232,6.833550510439007,13.682864450128562,0.562962962962963,0.4470943042417126,3891.2154525615874,6.1356245845130815,25.152548315800324,8.591248434819144,19.635798068822208,0.562962962962963,0.26339397054302555,6143.161530447474,7.893322508893221,36.69808540133011,9.663817053937539,45.96743776716261,0.5955555555555555,0.15376619565924304,11072.652001913793,8.965891128011618
