pair,divergence_pattern,test,n,raw_mean_fwd_5d_bp,strategy_mean_5d_bp,strategy_median_5d_bp,strategy_win_rate_5d,strategy_sharpe_5d,strategy_max_dd_5d_bp,cost_adj_mean_5d_bp,raw_mean_fwd_10d_bp,strategy_mean_10d_bp,strategy_median_10d_bp,strategy_win_rate_10d,strategy_sharpe_10d,strategy_max_dd_10d_bp,cost_adj_mean_10d_bp,raw_mean_fwd_20d_bp,strategy_mean_20d_bp,strategy_median_20d_bp,strategy_win_rate_20d,strategy_sharpe_20d,strategy_max_dd_20d_bp,cost_adj_mean_20d_bp
EURUSD,price_down_spread_up,divergent_mean_reversion,324,1.6515644908527924,1.6515644908527924,-7.14490553541558,0.4722222222222222,0.13260644332046168,2140.7167120173526,1.0637558488774814,-0.24808620283843477,-0.24808620283843477,-0.9732107183335614,0.49382716049382713,-0.010344779655032912,3984.437105552981,-0.8358948448137471,-1.8646478826880506,-1.8646478826880506,10.641705245469923,0.5216049382716049,-0.03965775612055157,7232.852716210485,-2.4524565246633645
EURUSD,price_up_spread_down,divergent_mean_reversion,332,3.3794026282890415,-3.3794026282890415,8.06014888262152,0.5271084337349398,-0.23994979918294448,4636.942893141131,-3.986330339132418,-0.5846138027195463,0.5846138027195463,23.609281994310116,0.5391566265060241,0.019911407220922495,8220.267665932059,-0.02231390812382582,-0.775048987253362,0.775048987253362,16.821695939199245,0.5512048192771084,0.012695718109631063,12106.692838505865,0.168121276409994
USDJPY,price_down_spread_up,divergent_mean_reversion,224,4.204889641063281,4.204889641063281,17.394215716703965,0.5758928571428571,0.19583635279126,4898.360479146468,3.6111396410632883,11.559076165375656,11.559076165375656,47.79022322130233,0.6205357142857143,0.2934238173434755,6905.588193023368,10.965326165375654,56.601758672386254,56.601758672386254,64.27982326280724,0.6026785714285714,0.7271648269349821,10261.874875094447,56.008008672386254
USDJPY,price_up_spread_down,divergent_mean_reversion,351,8.404497145832108,-8.404497145832108,-11.340456711119717,0.43304843304843305,-0.545655915854034,4217.4970613656915,-9.062616803951766,17.191100933010503,-17.191100933010503,-26.875586318804157,0.4045584045584046,-0.6109602566000254,7744.627008949811,-17.849220591130162,18.635884146085466,-18.635884146085466,-56.203301668464874,0.396011396011396,-0.29394105414226107,11694.754422030963,-19.294003804205122
