pair,rate_change_bucket,test,n,raw_mean_fwd_5d_bp,strategy_mean_5d_bp,strategy_median_5d_bp,strategy_win_rate_5d,strategy_sharpe_5d,strategy_max_dd_5d_bp,cost_adj_mean_5d_bp,raw_mean_fwd_10d_bp,strategy_mean_10d_bp,strategy_median_10d_bp,strategy_win_rate_10d,strategy_sharpe_10d,strategy_max_dd_10d_bp,cost_adj_mean_10d_bp,raw_mean_fwd_20d_bp,strategy_mean_20d_bp,strategy_median_20d_bp,strategy_win_rate_20d,strategy_sharpe_20d,strategy_max_dd_20d_bp,cost_adj_mean_20d_bp
EURUSD,change_down_slope_mixed,spread_change_direction,77,-13.977779336635578,13.977779336635578,26.6531555888605,0.6103896103896104,0.9930286957351369,1112.9703638865453,13.327779336635581,16.973457908213714,-16.973457908213714,-19.19385796545159,0.4805194805194805,-0.5128741100030515,3064.6676645907773,-17.62345790821371,28.358495850867694,-28.358495850867694,-32.44443673334763,0.44155844155844154,-0.4686222798972111,5022.9334463717605,-29.008495850867696
EURUSD,change_up_slope_mixed,spread_change_direction,70,-12.935965663331597,-12.935965663331597,-29.205233443198033,0.34285714285714286,-0.9875438355602181,1214.6420669336078,-13.576679949045884,7.733272835170553,7.733272835170553,1.3988194930408815,0.5,0.262707173511411,1373.6653339229467,7.092558549456271,41.88630909135773,41.88630909135773,38.06848396845197,0.5428571428571428,0.6582380692258717,1863.2230956792864,41.24559480564344
EURUSD,neutral,spread_change_direction,1049,-1.3346856406659162,-1.717954488488747,-4.2010283386750835,0.4833174451858913,-0.1341468826300687,4600.9319912443025,-2.2712909994515713,-5.962998631688988,2.2261843364191507,0.0,0.49952335557673977,0.08878045977480019,4368.039207417452,1.6728478254563284,-4.804023610775293,1.5433290601246938,4.044506785305657,0.5128693994280267,0.031139225981458227,7514.453582574712,0.9899925491618715
EURUSD,spread_contracting,spread_change_direction,179,-7.673147912564969,7.673147912564969,5.777802234082641,0.5195530726256983,0.515599647029512,1889.9381752061258,7.070354616475582,-5.0110775489910075,5.0110775489910075,14.735094705625729,0.5363128491620112,0.17715678934510498,3004.122943276067,4.40828425290162,-32.95834103544426,32.95834103544426,29.375441072687636,0.553072625698324,0.6252866758196992,3115.370276575598,32.35554773935488
EURUSD,spread_expanding,spread_change_direction,153,27.05274000491213,27.05274000491213,23.639788719387322,0.6405228758169934,1.9557637035273256,970.0757733266952,26.4069883709252,28.737486725589815,28.737486725589815,26.231965523701994,0.5947712418300654,1.226265137922934,1567.2623422698184,28.09173509160288,25.676804367612405,25.676804367612405,31.176555230465475,0.5947712418300654,0.5930432305252049,3206.229957692882,25.03105273362548
EURUSD,unknown,spread_change_direction,6,19.908221958450287,,,,,,,-33.37487020915112,,,,,,,-64.63734485814665,,,,,,
USDJPY,change_down_slope_mixed,spread_change_direction,89,26.659606815212612,-26.659606815212612,-52.576160221193824,0.34831460674157305,-1.4751270895688327,2827.621153984432,-27.34387647813396,43.6720029936421,-43.6720029936421,-44.97099066656407,0.3595505617977528,-1.4592022736617434,3969.79331490898,-44.35627265656345,95.5920669807524,-95.5920669807524,-132.9111287029705,0.30337078651685395,-1.7155172428994108,8718.78481057587,-96.27633664367373
USDJPY,change_up_slope_mixed,spread_change_direction,106,25.63293301871994,25.63293301871994,16.567779260345805,0.5849056603773585,1.4379276899944697,1616.8100254997387,24.93953679230485,17.148651950372646,17.148651950372646,29.135954867784974,0.5943396226415094,0.5158658118917606,2017.4531938999617,16.455255723957553,45.79436701474259,45.79436701474259,98.55216242079857,0.6509433962264151,0.6940229593415512,2310.997728147769,45.100970788327494
USDJPY,neutral,spread_change_direction,881,6.300558198776637,1.9201232784233935,1.3148873423296514,0.5085130533484676,0.11987299360032154,4840.196877676889,1.3416896802395137,16.763409070336383,-4.68052086865136,2.368373109855604,0.5096481271282634,-0.14455301736258383,7203.972275716691,-5.25895446683524,35.620812324979504,6.70604896940036,6.521410388891091,0.5119182746878547,0.10024201739195339,7282.970796206324,6.127615371216483
USDJPY,spread_contracting,spread_change_direction,184,9.586519934733646,-9.586519934733646,-11.85200652692342,0.43478260869565216,-0.48209102952798827,3465.8929703626145,-10.286519934733644,14.249387009447432,-14.249387009447432,-33.73628870888768,0.40217391304347827,-0.3569727896565593,4469.703107449501,-14.949387009447424,36.054203882439225,-36.054203882439225,-67.22819841475935,0.41304347826086957,-0.39507710587914774,8661.830835037332,-36.754203882439214
USDJPY,spread_expanding,spread_change_direction,265,25.838186435215647,25.838186435215647,35.96760761565676,0.6188679245283019,1.3918315484041504,3422.254546409096,25.169884548423195,57.648956537113925,57.648956537113925,76.91147165873602,0.6867924528301886,1.5516032831528022,4150.023927824281,56.98065465032149,102.72779450625161,102.72779450625161,106.06295778916142,0.6981132075471698,1.2891402227994353,8540.793707540379,102.05949261945915
USDJPY,unknown,spread_change_direction,6,28.972365508239125,,,,,,,54.325277823218016,,,,,,,-25.902503111632225,,,,,,
