pair,date,close,observation_date,base_yield_percent,quote_yield_percent,yield_spread_bp,spread_change_5d_bp,spread_slope_20d_bp_per_day,spread_z_252,price_return_20d_bp,alignment,rate_trend_bias,regime,volatility_level,pair_residual_z_score,total_cost_bp,candidate_status
EURUSD,2026-06-12,1.15671,2026-06-11,2.6089401632,4.05,-144.10598367999995,2.7303185900000244,-0.5085408770827039,0.5373920621180691,-77.85418942948374,divergent,neutral,usd_strength,normal,0.03708062199771618,0.65,ignore
USDJPY,2026-06-12,160.2285,2026-05-29,3.98,1.393,258.7,-4.0,0.9583458646616594,-0.25026529410823384,139.74260621552048,divergent,neutral,usd_strength,normal,0.27741829096752835,0.7,ignore
