train_start,train_end,test_end,params,train_sharpe,total_return,annual_return,sharpe,sortino,calmar,max_dd,win_rate,profit_factor,avg_win,avg_loss,n_trades,avg_hold_bars,exposure,long_pnl,short_pnl,n_long,n_short
2010-05-26 20:00:00,2013-05-26 20:00:00,2013-11-26 20:00:00,"{""n_entry"": 120, ""n_exit"": 60}",-0.14353495371765307,-0.05312936814365665,-0.09869647004518389,-0.9955683124173853,-1.1130853339636144,-0.8853446964709825,-0.11147801578141459,0.14285714285714285,0.29382058753933704,0.02227238461427472,-0.012633778093858536,7,75.71428571428571,0.6479217603911981,-0.0133977889088992,-0.04013249503997729,4,3
2010-11-26 20:00:00,2013-11-26 20:00:00,2014-05-26 20:00:00,"{""n_entry"": 40, ""n_exit"": 20}",-0.2327401496638266,-0.025863846484858843,-0.050210662815868945,-0.8426101975188691,-1.0219849449665905,-1.0294641085840521,-0.04877359239355106,0.38461538461538464,0.5199699359678575,0.005476567467646421,-0.006582793408830084,13,43.15384615384615,0.7083333333333334,-0.009481484337939161,-0.01579802559446941,7,6
2011-05-26 20:00:00,2014-05-26 20:00:00,2014-11-26 20:00:00,"{""n_entry"": 120, ""n_exit"": 60}",-0.09910582834506348,0.06817572651486059,0.1337549141478036,2.1824885771164553,2.6653715714309296,3.749958824199312,-0.03566836875238566,0.3333333333333333,2.781662229062206,0.054053441566841,-0.009716032558177323,6,116.83333333333333,0.8569682151589242,0.09756158162098738,-0.028318828720014677,3,3
2011-11-26 20:00:00,2014-11-26 20:00:00,2015-05-26 20:00:00,"{""n_entry"": 90, ""n_exit"": 45}",0.872783996985245,-0.04153934777399848,-0.08002351622198445,-1.0511507399301403,-1.1012300119140672,-0.7820214883323297,-0.1023290503086246,0.2857142857142857,0.41831808372441187,0.014797851478608015,-0.0141498558674378,7,83.85714285714286,0.7411616161616161,0.02943416717704017,-0.07058774355701314,3,4
2012-05-26 20:00:00,2015-05-26 20:00:00,2015-11-26 20:00:00,"{""n_entry"": 90, ""n_exit"": 45}",0.6017754351056246,-0.015078743832324881,-0.028505641270687776,-0.3696910517447235,-0.38453021769729384,-0.5238585906117686,-0.054414763414299516,0.2857142857142857,0.7087007304362455,0.017408037416628885,-0.009825324946914193,7,77.14285714285714,0.6601466992665037,0.0006812572654746329,-0.01499180716678783,4,3
2012-11-26 20:00:00,2015-11-26 20:00:00,2016-05-26 20:00:00,"{""n_entry"": 90, ""n_exit"": 45}",0.5399561305435807,-0.033119649493528636,-0.06375690575913684,-0.6910536540521383,-0.8821665394105669,-0.8130017947811831,-0.07842160517775587,0.375,0.5936012332092817,0.015538649713275676,-0.015706149695073824,8,72.375,0.7273869346733668,-0.048793392063164576,0.016878592727622488,3,5
2013-05-26 20:00:00,2016-05-26 20:00:00,2016-11-26 20:00:00,"{""n_entry"": 20, ""n_exit"": 10}",0.04012976255564825,0.04431161577318754,0.08669207892302788,0.6939614192205689,0.6509854834028478,0.9944090043643684,-0.0871794991221363,0.35,1.3171439793321995,0.02994453239054689,-0.012241622201166048,20,32.7,0.8054187192118226,0.04850287964412947,0.0019677584745401155,10,10
2013-11-26 20:00:00,2016-11-26 20:00:00,2017-05-26 20:00:00,"{""n_entry"": 40, ""n_exit"": 20}",0.33363389302732044,0.03471844395761514,0.06832690871810954,0.8251364931367704,1.0800931544530825,1.179700970043127,-0.05791883744540083,0.46153846153846156,1.6158411765403644,0.01584199517210853,-0.008403581491677161,13,46.69230769230769,0.7549751243781094,0.03547609029783805,0.000750810293073001,6,7
2014-05-26 20:00:00,2017-05-26 20:00:00,2017-11-26 20:00:00,"{""n_entry"": 40, ""n_exit"": 20}",0.5619105486999311,0.012400090853675216,0.02406215375259091,0.4202201629739152,0.5865077605004471,0.5812422978673709,-0.04139780232938495,0.5,1.2780340134884518,0.010334002106874038,-0.00808585843397619,12,53.666666666666664,0.7980173482032218,0.023530880746406413,-0.01004201870901933,5,7
2014-11-26 20:00:00,2017-11-26 20:00:00,2018-05-26 20:00:00,"{""n_entry"": 40, ""n_exit"": 20}",0.0822395625750552,-0.026831442372412972,-0.051809704019223024,-0.8968868462192009,-1.096398995175595,-0.9555906493249732,-0.05421746650181358,0.4117647058823529,0.6265463737351259,0.0062208374854807935,-0.006950141956575217,17,29.823529411764707,0.6369346733668342,-0.011752918202571627,-0.014202638964814995,7,10
