file,family,total_return,annual_return,sharpe,sortino,calmar,max_drawdown,trades,win_rate,profit_factor,exposure
USDJPY240(35).csv,ALL_WFO_META,0.011757182970570934,0.000841899293363646,0.04450784744473479,0.0367029540910694,0.00463039410886062,-0.1818202238450084,276,0.4528985507246377,1.0406872718853342,0.4322123568109675
USDJPY240(35).csv,ma_trend,0.6068632482989145,0.03473675413541599,0.41630346897413445,0.5409767946617804,0.104289661427093,-0.33307955611400486,192,0.3229166666666667,1.4739394764106823,0.987762800754474
USDJPY240(35).csv,breakout,0.5818194037810009,0.03356718020822913,0.40314306171437037,0.5139408756031741,0.21021899384491563,-0.15967719944941117,120,0.4083333333333333,1.475634082746089,1.0
USDJPY240(35).csv,mean_reversion,0.17211116712039098,0.011499216715690874,0.2512955567315814,0.18955414992380715,0.07591081597324326,-0.15148324475584707,325,0.56,1.1686806239198444,0.2855959884068639
USDJPY240(35).csv,regime_trend,0.010707057949841392,0.0007670730108886303,0.04184391168998081,0.028971345216429863,0.0038333176581451414,-0.20010682111322864,479,0.33402922755741127,1.0554199702194371,0.31076045452454343
USDJPY30(12).csv,ALL_WFO_META,0.17157238778658912,0.029362078118069013,0.4044948432694451,0.43034561507239577,0.2799661585499309,-0.10487724041415669,524,0.37213740458015265,1.1574530133491396,0.754443828259537
USDJPY30(12).csv,ma_trend,0.01940167457513664,0.003518042069106775,0.08447512753439934,0.10111810462245299,0.015562885507130494,-0.22605332844573733,657,0.3272450532724505,1.0270227894094706,0.9917982545751729
USDJPY30(12).csv,breakout,0.05620963079467911,0.010044584694356207,0.15258637755884824,0.18722561932314705,0.060772699191752814,-0.16528120073559793,433,0.3672055427251732,1.0518188433809008,1.0
USDJPY30(12).csv,mean_reversion,-0.06801298775628106,-0.012790372396527028,-0.19916165726923638,-0.1621829595195464,-0.0852346894955316,-0.1500606439963339,473,0.5137420718816068,0.948883894826296,0.37732407110125216
USDJPY30(12).csv,regime_trend,0.05800690054903046,0.010358476711214593,0.25233279679646975,0.14988879270744895,0.15315878183545353,-0.06763227408235228,1048,0.3320610687022901,1.130165802411699,0.22435130323107907
USDJPY60(33).csv,ALL_WFO_META,0.16050388271602856,0.011145664168405123,0.18488443859923034,0.1922693100393841,0.05468845579588192,-0.20380286856160235,787,0.3786531130876747,1.1031129745212191,0.6791741493524256
USDJPY60(33).csv,ma_trend,0.11328869943549269,0.008023174136651878,0.13277016175424355,0.16452145619691785,0.03863385178923069,-0.2076721260003478,772,0.3393782383419689,1.0600624818811255,0.9880237384489136
USDJPY60(33).csv,breakout,0.094302221533481,0.006732863049374593,0.11880622094159238,0.14774621761344395,0.029242206346224188,-0.23024470074721137,590,0.36610169491525424,1.0569678921248211,1.0
USDJPY60(33).csv,mean_reversion,-0.21184853560220285,-0.01757063266019865,-0.28033908478867015,-0.22470175653026994,-0.05589049633206446,-0.3143760355214157,622,0.5305466237942122,0.8976818867576437,0.3783523423284136
USDJPY60(33).csv,regime_trend,-0.0044498244804787035,-0.0003320277181957376,0.018376833927337192,0.011861997303362567,-0.0016273258901664963,-0.20403271416136992,1496,0.31283422459893045,1.0454264296337574,0.26391779551157785
