year,1,2,3,4,5,6,7,8,9,10,11,12
2012,,,,,,,,,,,0.0026650844793267847,0.05195057412667192
2013,0.05818890914545438,0.009453535897458343,0.01826508678886385,0.031812202987101745,0.032165099268302244,0.01144221473243956,-0.016079078092631982,-0.02554797370741113,-0.03121311814645733,-0.026102276416121173,0.02734467972095933,0.02666445519825089
2014,-0.004795540412873556,0.004663718999361244,-0.014215619053017381,-0.020011346795487328,0.0034642920439831304,-0.013713690622664032,0.002558460942010843,0.013505459036784684,0.05276193767640169,0.003962939695827394,0.05453418295446699,0.007538914598232971
2015,-0.023516443137973853,0.02365506405137152,0.0035138302220232287,-0.023717431989655036,0.027114367016655372,-0.010479419529836775,-0.0034819956680020026,0.020674992729999175,-0.009359220902747878,-0.017518074362827707,0.023688061132491667,-0.029171878436204945
2016,0.03756636607122665,-0.022133856501737714,-0.001742874849286924,0.05803741486120617,-0.04080233437956571,0.06936786186106669,-0.0791897411189354,-0.04571140617837799,0.019959004802222458,0.0173134210429835,0.04999324652650694,0.018128231734432676
2017,0.01961158765752491,-0.016400213441560063,-0.0002096442099547291,-0.0060607252829382174,0.023906532363444866,0.008611872061728754,0.026084232254545592,-0.011617209853533761,-0.009774528024403706,-0.0024318122535957887,0.009985672241553445,6.217414088593998e-05
2018,0.01878030452751389,-0.013989515529242658,0.003823534293353248,0.004424396521464535,-0.0048299982286210685,0.016316437776921155,0.01149591628150981,-0.022541526902042697,0.008605223727625289,-0.008251608140882993,0.007061974145669447,0.0036534218778665473
2019,0.006752094280611631,-0.007575450888210322,-0.010805199337110993,-0.00922844098113551,0.0244300083016884,-0.0011968782133957578,-0.031192429062310234,-0.008140673112528196,-0.005497213093361264,-0.0005459980196006464,0.013925750664042669,-0.007113570574107109
2020,-0.03161714838300933,-7.747698945537174e-05,-0.004181917961030734,0.0017743454588374785,-0.0042833156621808754,-0.04195753273818925,0.020627876052671912,-0.002537740475088923,0.00497631031428325,0.008730204613440984,0.0015017583180907401,0.011509380674900926
2021,-0.011345108734025833,0.016807525635836207,0.04017655897821015,-0.032583304433935756,-0.008198037969201044,0.014959860447700146,-0.016990490467879482,-0.0037500767521935208,0.005048097492716286,0.024878210706692938,-0.008237188467457801,0.015348631950572234
2022,0.0006954163370671562,-0.0003299049506398921,0.05784369949429258,0.06554791651265335,-0.041191671759239434,0.00990574954469392,-0.020959066659047454,-0.027968929527955155,0.03791717505203307,0.02848983148126294,-0.020160921694762246,0.04677630876419281
2023,-0.07223288461514199,0.016442175701597117,-0.0708306171212526,-0.013488561362225426,0.01998512486270032,0.03654723829374351,-0.01806342095829483,0.009914614324001203,-0.0014462167080699917,-0.02119140916228579,-0.0023430644322244287,0.04961435072587683
2024,-0.01644420933476798,0.02081573146201099,-0.018833214297063305,0.041915178895779004,-0.003981110205917404,0.024171991548077365,0.04205230780377067,0.024031453112457468,0.00011226507145045694,0.057510054691959134,0.01590900629130987,-0.007246970913675321
2025,-0.0028336168492290037,0.026562070250579328,-0.006655168911991138,0.01780444522092961,-0.05320939782976042,0.003547258158676403,-0.012908258863778777,-0.06936419155877271,0.006137804936072966,0.039959736258984524,0.012751869155843254,0.0038099636321655694
2026,-0.007205982865846061,-0.007521540772471358,-0.006091739108219363,-0.017859824854974282,-0.014921295766370246,,,,,,,
