family,base_selected_params_cost,eval_cost_pips,total_return,annual_return,sharpe,calmar,max_drawdown,trades,profit_factor,exposure
breakout,1.0pips,0.5,0.5913163882372103,0.03401270861021821,0.4078046521517689,0.2132426343422935,-0.15950238429160268,120,1.482424895697106,1.0
breakout,1.0pips,1.0,0.5818194037810009,0.03356718020822913,0.40314306171437037,0.21021899384491563,-0.15967719944941117,120,1.475634082746089,1.0
breakout,1.0pips,2.0,0.5629940502486546,0.03267664782124191,0.3938178968826504,0.20419492321389296,-0.16002673968056158,120,1.462169451761683,1.0
ma_trend,1.0pips,0.5,0.6211237904775744,0.03539519963172655,0.4232009039319866,0.10705030917662947,-0.33064079780774513,192,1.483256128472627,0.987762800754474
ma_trend,1.0pips,1.0,0.6068632482989145,0.03473675413541599,0.41630346897413445,0.104289661427093,-0.33307955611400486,192,1.4739394764106823,0.987762800754474
ma_trend,1.0pips,2.0,0.5787158054540444,0.033421044027103664,0.4025053304359186,0.09889897575118294,-0.33793114411201486,192,1.4555446498156064,0.987762800754474
