regime,bars,threshold,total_return,sharpe,max_drawdown,profit_factor,exposure
low_vol,7246,"(0.892, 1.053)",0.23391687667607775,0.3891990049676254,-0.12479472692317994,1.2597114646726357,0.3333486681694806
mid_vol,7245,"(0.892, 1.053)",0.008662393794634182,0.03760020031690583,-0.19415246171582679,1.0166194808852183,0.3333026636610388
high_vol,7246,"(0.892, 1.053)",0.27094034174475135,0.29586995967686996,-0.14215134167320798,1.248570227027083,0.3333486681694806
range_er160_lt_0.15,17769,,-0.6121653535885154,-0.7985096622841222,-0.6317052607485459,0.6388417660863969,0.8174541105028292
trend_er160_gt_0.25,626,,0.527124896423607,1.7584678435657928,-0.024313559848985422,45.1861128566983,0.02879882228458389
middle_er,3342,,1.6707653792985369,1.7631242051043372,-0.0447036622084418,3.2611908713459474,0.15374706721258682
