symbol,shock_side,shock_level,threshold_pct,horizon_bars,horizon_hours,signal_timestamp,exit_timestamp,signal_return_pct,oi_timestamp,open_interest_contracts,open_interest_value_usdt,oi_value_change_4h_pct,oi_value_change_24h_pct,oi_regime,future_return_pct,mr_return_pct
ETHUSDT,lower,5pct,-2.5346979200,2,8,2026-05-13 12:00,2026-05-13 20:00,-2.9419332864,2026-05-13 12:00,2143984.4070000001,4932828988.2745647430,-2.3830849708,-1.5742011779,price_down_oi_down,1.0638161439,1.0638161439
ETHUSDT,lower,5pct,-2.5346979200,2,8,2026-05-17 20:00,2026-05-18 04:00,-2.8590224779,2026-05-17 20:00,2293645.1710000001,5026380403.9064664841,0.2373066158,-0.0311080838,price_down_oi_down,-0.4302659470,-0.4302659470
ETHUSDT,lower,5pct,-2.5346979200,2,8,2026-05-22 16:00,2026-05-23 00:00,-2.6832300170,2026-05-22 16:00,2239850.4730000002,4745145625.5552301407,-0.0195956515,-0.3803318884,price_down_oi_down,0.2834699369,0.2834699369
ETHUSDT,lower,5pct,-2.5346979200,3,12,2026-05-13 12:00,2026-05-14 00:00,-2.9419332864,2026-05-13 12:00,2143984.4070000001,4932828988.2745647430,-2.3830849708,-1.5742011779,price_down_oi_down,0.3002602722,0.3002602722
ETHUSDT,lower,5pct,-2.5346979200,3,12,2026-05-17 20:00,2026-05-18 08:00,-2.8590224779,2026-05-17 20:00,2293645.1710000001,5026380403.9064664841,0.2373066158,-0.0311080838,price_down_oi_down,0.1734630209,0.1734630209
ETHUSDT,lower,5pct,-2.5346979200,3,12,2026-05-22 16:00,2026-05-23 04:00,-2.6832300170,2026-05-22 16:00,2239850.4730000002,4745145625.5552301407,-0.0195956515,-0.3803318884,price_down_oi_down,-1.7701566697,-1.7701566697
ETHUSDT,lower,5pct,-2.5346979200,6,24,2026-05-13 12:00,2026-05-14 12:00,-2.9419332864,2026-05-13 12:00,2143984.4070000001,4932828988.2745647430,-2.3830849708,-1.5742011779,price_down_oi_down,2.8306357017,2.8306357017
ETHUSDT,lower,5pct,-2.5346979200,6,24,2026-05-17 20:00,2026-05-18 20:00,-2.8590224779,2026-05-17 20:00,2293645.1710000001,5026380403.9064664841,0.2373066158,-0.0311080838,price_down_oi_down,-0.0488113966,-0.0488113966
ETHUSDT,lower,5pct,-2.5346979200,6,24,2026-05-22 16:00,2026-05-23 16:00,-2.6832300170,2026-05-22 16:00,2239850.4730000002,4745145625.5552301407,-0.0195956515,-0.3803318884,price_down_oi_down,0.5651752108,0.5651752108
ETHUSDT,lower,5pct,-2.5346979200,12,48,2026-05-13 12:00,2026-05-15 12:00,-2.9419332864,2026-05-13 12:00,2143984.4070000001,4932828988.2745647430,-2.3830849708,-1.5742011779,price_down_oi_down,-0.5015465112,-0.5015465112
