timeframe,period,direction,trade_count,total_pnl_pips,win_rate_pct,profit_factor,max_drawdown_pips,avg_win_pips,avg_loss_pips,avg_win_loss_ratio,avg_trade_pips,median_trade_pips,max_win_pips,max_loss_pips,pnl_skew,avg_holding_bars,top_1pct_win_contribution_pct,top_5pct_win_contribution_pct,top_10pct_win_contribution_pct
60m,full_2023_2025,long,146,1215.2999999999872,41.78082191780822,1.1814313865997828,1407.5000000000105,129.73278688524587,-78.80470588235308,1.6462568501800252,8.323972602739639,-17.899999999999693,521.1000000000004,-258.49999999999886,1.0472713949999364,71.5958904109589,6.584783350392363,22.08575002843175,31.785384838950243
60m,full_2023_2025,short,146,-1355.4000000000124,28.767123287671232,0.8005268657375368,1720.4,129.51190476190467,-65.33557692307701,1.9822570008739007,-9.283561643835702,-34.40000000000032,574.9999999999991,-174.79999999999995,2.2093614534606303,56.47945205479452,10.570824524312886,26.914238441033177,39.4999540398934
60m,dev_2023_2024,long,100,1203.4999999999982,39.0,1.2565988657200113,1099.7000000000046,151.1205128205129,-76.88852459016401,1.9654495079210432,12.034999999999982,-19.549999999999045,521.1000000000004,-258.49999999999886,1.043043294647571,74.77,8.841644467821576,16.29875969255307,26.621646843239414
60m,dev_2023_2024,short,101,-1435.7999999999997,23.762376237623762,0.7231178648565261,1591.8999999999928,156.2416666666668,-67.34545454545457,2.320003149748021,-14.215841584158413,-38.89999999999907,574.9999999999991,-174.79999999999995,2.423594118349866,49.76237623762376,15.334151154728215,29.201557416395516,39.04208224438631
60m,oos_2025,long,46,11.799999999988927,47.82608695652174,1.005875908774021,1186.0000000000027,91.81818181818163,-83.6750000000003,1.0973191732080227,0.25652173913019405,-14.250000000000739,436.70000000000095,-239.70000000000005,0.9810010767020321,64.69565217391305,21.61881188118821,32.55445544554465,41.8712871287131
60m,oos_2025,short,45,80.3999999999877,40.0,1.0499596097682142,488.6000000000073,93.8722222222219,-59.60370370370395,1.5749394146523212,1.7866666666663933,-18.69999999999925,269.79999999999984,-149.20000000000277,1.1243860013744813,71.55555555555556,15.967331478960805,15.967331478960805,31.686098123927405
240m,full_2023_2025,long,35,2164.6000000000067,54.285714285714285,2.12733711785845,505.0,214.98421052631593,-120.0062499999998,1.7914417834597474,61.84571428571448,12.100000000000023,982.0000000000013,-252.30000000000052,1.9781833322342717,85.08571428571429,24.04093323867115,24.04093323867115,42.999485886356375
240m,full_2023_2025,short,35,-417.9999999999926,28.57142857142857,0.8907960393970289,1707.3999999999999,340.9700000000006,-153.10799999999995,2.226990098492572,-11.942857142856932,-88.99999999999955,1117.5000000000002,-409.19999999999936,2.068347916778526,53.02857142857143,32.77414435287557,32.77414435287557,32.77414435287557
240m,dev_2023_2024,long,21,2502.0000000000045,61.904761904761905,3.1872541306058295,451.7999999999993,280.4538461538463,-142.98749999999976,1.961387157295895,119.14285714285737,36.5,982.0000000000013,-252.30000000000052,1.4492988915320884,104.95238095238095,26.934364628761088,26.934364628761088,48.174661949038615
240m,dev_2023_2024,short,21,-34.499999999993406,33.33333333333333,0.9837287176343,1405.599999999995,297.9714285714293,-151.4499999999999,1.9674574352686003,-1.6428571428568288,-48.90000000000134,1117.5000000000002,-409.19999999999936,2.3285735817674866,51.523809523809526,53.57656534662946,53.57656534662946,53.57656534662946
240m,oos_2025,long,14,-337.39999999999804,42.857142857142854,0.565318216954395,504.9999999999999,73.13333333333345,-97.02499999999985,0.75375762260586,-24.09999999999986,-47.04999999999961,288.0999999999991,-156.09999999999877,1.542260125931074,55.285714285714285,65.65633546034609,65.65633546034609,65.65633546034609
240m,oos_2025,short,14,-383.4999999999991,21.428571428571427,0.7753894810823477,1707.4,441.3000000000002,-155.21818181818182,2.8430947639686086,-27.39285714285708,-107.25,678.8999999999978,-329.1999999999982,1.8118781808234654,55.285714285714285,51.280308180375975,51.280308180375975,51.280308180375975
