timeframe,month,trade_count,monthly_pnl_pips,win_rate_pct,profit_factor,max_drawdown_pips
60m,2023-01,13,-438.800000000001,23.076923076923077,0.3802259887005627,330.0000000000035
60m,2023-02,10,-11.600000000001955,40.0,0.9656906240757115,144.19999999999686
60m,2023-03,10,-441.8000000000069,10.0,0.4551060680809031,408.50000000000614
60m,2023-04,8,288.79999999999325,62.5,3.451612903225698,86.10000000000264
60m,2023-05,7,400.00000000000216,57.14285714285714,2.530807500956764,191.49999999999818
60m,2023-06,9,-231.89999999999566,22.22222222222222,0.47163362952837146,344.2999999999972
60m,2023-07,4,1064.8000000000018,100.0,inf,-0.0
60m,2023-08,7,45.70000000001005,28.57142857142857,1.1434400502197455,236.29999999999507
60m,2023-09,5,29.99999999999659,40.0,1.2921129503407611,61.50000000000182
60m,2023-10,10,-296.89999999999714,20.0,0.38657024793388545,431.3999999999961
60m,2023-11,7,-179.69999999999754,28.57142857142857,0.40790774299835775,162.9000000000009
60m,2023-12,10,-284.20000000000755,40.0,0.5749962614027146,557.3000000000053
60m,2024-01,10,-66.69999999998652,20.0,0.8685973207250042,276.0999999999947
60m,2024-02,10,-453.4999999999974,10.0,0.15690648819483463,349.49999999999727
60m,2024-03,10,425.69999999999993,20.0,3.71146496815285,76.5000000000042
60m,2024-04,9,199.2000000000022,22.22222222222222,1.8783068783068961,96.40000000000168
60m,2024-05,7,43.399999999996226,42.857142857142854,1.1724274930472613,85.5000000000008
60m,2024-06,7,-531.4999999999948,14.285714285714285,0.005054286783977232,491.39999999999566
60m,2024-07,11,33.80000000000075,36.36363636363637,1.0443802521008412,488.40000000000316
60m,2024-08,9,59.49999999999454,22.22222222222222,1.1290392539579126,461.1000000000082
60m,2024-09,7,12.099999999997408,57.14285714285714,1.026817375886519,348.60000000000366
60m,2024-10,8,143.1000000000024,37.5,1.282081608515676,286.0999999999989
60m,2024-11,6,-480.8000000000104,16.666666666666664,0.08766603415559253,410.70000000001016
60m,2024-12,6,461.7999999999969,50.0,2.2242841993637184,263.6000000000014
60m,2025-01,12,-594.7999999999975,16.666666666666664,0.191847826086959,663.6000000000001
60m,2025-02,7,262.5999999999998,42.857142857142854,2.025781249999995,185.99999999999943
60m,2025-03,5,58.599999999996726,60.0,1.4041379310344584,85.70000000000084
60m,2025-04,8,-402.4000000000045,37.5,0.45673012015660247,615.2000000000004
60m,2025-05,6,379.0999999999942,66.66666666666666,3.743125904486164,32.20000000000118
60m,2025-06,6,-145.30000000000575,33.33333333333333,0.4003301692117067,191.30000000000473
60m,2025-07,5,270.79999999999814,80.0,3.7946336429308283,96.90000000000032
60m,2025-08,9,-515.3999999999993,0.0,0.0,497.1999999999996
60m,2025-09,10,2.399999999993838,50.0,1.012164216928504,139.9000000000027
60m,2025-10,5,693.6999999999995,80.0,7.106514084507012,113.60000000000048
60m,2025-11,9,11.50000000000125,44.44444444444444,1.0391956373551505,236.1000000000007
60m,2025-12,10,48.60000000000127,60.0,1.2936555891238732,131.89999999999873
240m,2023-01,3,243.39999999999702,66.66666666666666,3.7348314606741377,-0.0
240m,2023-02,2,-502.9999999999991,0.0,0.0,409.19999999999936
240m,2023-03,2,30.70000000000266,100.0,inf,-0.0
240m,2023-04,4,-563.7999999999956,25.0,0.007219580912135295,427.7999999999962
240m,2023-05,4,-399.9000000000003,0.0,0.0,305.1000000000015
240m,2023-06,2,205.0999999999998,50.0,2.929444967074321,106.29999999999973
240m,2023-07,2,302.00000000000205,100.0,inf,-0.0
240m,2023-10,2,728.9999999999974,50.0,17.057268722466308,45.40000000000168
240m,2023-11,3,-217.7999999999996,33.33333333333333,0.1435312622886357,254.2999999999996
240m,2024-01,1,496.90000000000134,100.0,inf,-0.0
240m,2024-02,2,73.39999999999907,50.0,1.4358669833729143,168.40000000000066
240m,2024-03,2,128.600000000004,50.0,9.748299319729828,14.699999999997203
240m,2024-05,2,-33.70000000000073,50.0,0.8859174001354078,295.4000000000017
240m,2024-06,2,-319.1999999999997,0.0,0.0,222.39999999999986
240m,2024-07,1,213.3999999999977,100.0,inf,-0.0
240m,2024-08,2,918.0000000000017,50.0,5.601503759398539,199.49999999999852
240m,2024-09,3,-290.70000000000095,33.33333333333333,0.03486055776892711,301.20000000000186
240m,2024-11,1,982.0000000000013,100.0,inf,-0.0
240m,2024-12,1,109.10000000000275,100.0,inf,-0.0
240m,2025-01,1,364.00000000000057,100.0,inf,-0.0
240m,2025-03,1,678.8999999999978,100.0,inf,-0.0
240m,2025-04,2,661.5999999999996,100.0,inf,-0.0
240m,2025-05,1,26.600000000001046,100.0,inf,-0.0
240m,2025-06,6,-438.89999999999225,16.666666666666664,0.06835066864785096,471.09999999999445
240m,2025-07,3,-364.5000000000009,33.33333333333333,0.07627977698935778,237.70000000000186
240m,2025-08,3,-144.3000000000011,33.33333333333333,0.07736572890025535,23.700000000000387
240m,2025-09,3,-280.2000000000048,0.0,0.0,181.50000000000443
240m,2025-10,4,-571.0999999999992,25.0,0.05478318437603578,493.7999999999987
240m,2025-12,5,-288.9999999999975,20.0,0.49922023912666924,577.0999999999966
