timeframe,period,start,end_exclusive,short_window,long_window,cost_pips,entry_delay_bars,trade_count,total_pnl_pips,win_rate_pct,profit_factor,max_drawdown_pips,avg_win_pips,avg_loss_pips,avg_win_loss_ratio,avg_trade_pips,median_trade_pips,max_win_pips,max_loss_pips,pnl_skew,avg_holding_bars,top_1pct_win_contribution_pct,top_5pct_win_contribution_pct,top_10pct_win_contribution_pct
60m,full_2023_2025,2023-01-01,2026-01-01,20,80,0.0,0,292,151.89999999997497,35.61643835616438,1.0114170180462525,1901.1000000000024,129.39038461538456,-70.76968085106392,1.8283307633913026,0.520205479451969,-29.49999999999875,575.9999999999991,-257.49999999999886,1.5506900851220786,64.03767123287672,8.16030795297475,21.30775976100948,33.015769213620125
60m,full_2023_2025,2023-01-01,2026-01-01,20,80,0.8,0,292,-81.70000000002551,35.273972602739725,0.9939281334770151,2033.900000000002,129.8427184466019,-71.1931216931218,1.8238098759918044,-0.27979452054803255,-30.29999999999875,575.1999999999991,-258.2999999999989,1.5506900851220786,64.03767123287672,8.198866440353527,21.403789498870935,33.1543764674214
60m,full_2023_2025,2023-01-01,2026-01-01,20,80,1.0,0,292,-140.10000000002492,35.273972602739725,0.9896170692121258,2067.1000000000026,129.6427184466019,-71.3931216931218,1.8158992823406965,-0.47979452054803057,-30.49999999999875,574.9999999999991,-258.49999999999886,1.5506900851220786,64.03767123287672,8.208519306233711,21.42782254440884,33.1890483180062
60m,full_2023_2025,2023-01-01,2026-01-01,20,80,2.0,0,292,-432.10000000002503,33.9041095890411,0.9684245909665522,2233.1000000000026,133.86464646464643,-70.90518134715036,1.8879388490560058,-1.479794520548031,-31.49999999999875,573.9999999999991,-259.49999999999886,1.5506900851220786,64.03767123287672,4.3312255708313785,18.76839261729775,31.361393236044282
240m,full_2023_2025,2023-01-01,2026-01-01,20,80,0.0,0,70,1816.6000000000138,41.42857142857143,1.31832200182239,2097.199999999997,259.4275862068969,-139.1902439024389,1.8638345543006205,25.951428571428767,-46.50000000000176,1118.5000000000002,-408.19999999999936,1.8926939032840777,69.05714285714286,14.86694845415635,27.93284950953025,38.23935986389128
240m,full_2023_2025,2023-01-01,2026-01-01,20,80,0.8,0,70,1760.6000000000138,41.42857142857143,1.3067461147118296,2115.5999999999985,258.627586206897,-139.99024390243892,1.8474686449374145,25.151428571428767,-47.30000000000176,1117.7000000000003,-408.9999999999994,1.8926939032840784,69.05714285714286,14.902269272819376,27.99792005546517,38.32564464947597
240m,full_2023_2025,2023-01-01,2026-01-01,20,80,1.0,0,70,1746.6000000000138,41.42857142857143,1.3038727861094705,2120.199999999997,258.4275862068969,-140.1902439024389,1.8434063527754585,24.951428571428767,-47.50000000000176,1117.5000000000002,-409.19999999999936,1.8926939032840777,69.05714285714286,14.911133646456005,28.014250640478206,38.34729931682318
240m,full_2023_2025,2023-01-01,2026-01-01,20,80,2.0,0,70,1676.600000000014,41.42857142857143,1.2896282476506384,2143.199999999997,257.4275862068969,-141.1902439024389,1.8232675225405577,23.95142857142877,-48.50000000000176,1116.5000000000002,-410.19999999999936,1.8926939032840777,69.05714285714286,14.955662121252697,28.09628419106811,38.456077370268126
