timeframe,period,start,end_exclusive,short_window,long_window,cost_pips,entry_delay_bars,trade_count,total_pnl_pips,win_rate_pct,profit_factor,max_drawdown_pips,avg_win_pips,avg_loss_pips,avg_win_loss_ratio,avg_trade_pips,median_trade_pips,max_win_pips,max_loss_pips,pnl_skew,avg_holding_bars,top_1pct_win_contribution_pct,top_5pct_win_contribution_pct,top_10pct_win_contribution_pct
60m,full_2023_2025,2023-01-01,2026-01-01,20,80,1.0,0,292,-140.10000000002492,35.273972602739725,0.9896170692121258,2067.1000000000026,129.6427184466019,-71.3931216931218,1.8158992823406965,-0.47979452054803057,-30.49999999999875,574.9999999999991,-258.49999999999886,1.5506900851220786,64.03767123287672,8.208519306233711,21.42782254440884,33.1890483180062
60m,full_2023_2025,2023-01-01,2026-01-01,20,80,1.0,1,292,-1152.899999999981,34.93150684931507,0.9190759965465698,2850.199999999979,128.37058823529406,-74.98263157894723,1.7120043072926303,-3.9482876712328117,-33.64999999999958,582.0000000000013,-295.39999999999884,1.4749289986046907,64.03767123287672,8.526172692419314,21.807267561746794,33.62965678412683
60m,full_2023_2025,2023-01-01,2026-01-01,20,80,1.0,2,292,-1232.0999999999672,33.9041095890411,0.9133909742724613,2680.099999999956,131.25151515151526,-73.70984455958536,1.7806510912584346,-4.219520547945093,-31.349999999998545,638.2000000000024,-312.9999999999976,1.5240661641922866,64.03767123287672,4.911535412770624,20.23487944343115,33.49494762927217
60m,full_2023_2025,2023-01-01,2026-01-01,20,80,1.0,4,292,-1401.8999999999533,36.3013698630137,0.9034896288698148,2277.3999999999974,123.81132075471712,-78.09623655913961,1.5853685940545807,-4.801027397260114,-27.39999999999958,591.6000000000016,-355.49999999999875,1.3332689149282522,64.03767123287672,8.978207863456271,22.791069795793963,35.022858884486446
240m,full_2023_2025,2023-01-01,2026-01-01,20,80,1.0,0,70,1746.6000000000138,41.42857142857143,1.3038727861094705,2120.199999999997,258.4275862068969,-140.1902439024389,1.8434063527754585,24.951428571428767,-47.50000000000176,1117.5000000000002,-409.19999999999936,1.8926939032840777,69.05714285714286,14.911133646456005,28.014250640478206,38.34729931682318
240m,full_2023_2025,2023-01-01,2026-01-01,20,80,1.0,1,70,2416.600000000013,41.42857142857143,1.4213775065388,2019.2999999999874,281.089655172414,-139.87804878048757,2.0095337161410622,34.52285714285733,-46.14999999999958,1107.4000000000003,-396.79999999999984,1.7519892933900647,69.05714285714286,13.585063055105742,25.985082683154214,35.97698611315568
240m,full_2023_2025,2023-01-01,2026-01-01,20,80,1.0,2,70,2551.4000000000083,42.857142857142854,1.4795774515516649,1647.4,262.38333333333327,-133.00249999999977,1.9727699354022197,36.44857142857155,-38.5,1126.4999999999977,-402.2999999999977,1.8358957466528747,69.05714285714286,14.311122403607927,27.03169662707232,36.56101124309214
240m,full_2023_2025,2023-01-01,2026-01-01,20,80,1.0,4,70,2286.8000000000006,44.285714285714285,1.448744113029827,1732.3999999999987,238.15483870967753,-130.66666666666677,1.8226135615536532,32.66857142857144,-26.149999999999295,986.6000000000005,-476.20000000000095,1.5773933217415186,69.05714285714286,13.363493525491682,25.260063932383375,43.78691011540333
