timeframe,excluded_top_win_pct,excluded_trade_count,trade_count,total_pnl_pips,win_rate_pct,profit_factor,max_drawdown_pips,avg_win_pips,avg_loss_pips,avg_win_loss_ratio,avg_trade_pips,median_trade_pips,max_win_pips,max_loss_pips,pnl_skew,avg_holding_bars,top_1pct_win_contribution_pct,top_5pct_win_contribution_pct,top_10pct_win_contribution_pct
60m,0,0,292,-140.10000000002492,35.273972602739725,0.9896170692121258,2067.1000000000026,129.6427184466019,-71.3931216931218,1.8158992823406965,-0.47979452054803057,-30.49999999999875,574.9999999999991,-258.49999999999886,1.5506900851220786,64.03767123287672,8.208519306233711,21.42782254440884,33.1890483180062
60m,1,2,290,-1236.2000000000246,34.82758620689655,0.9083841610280642,2588.200000000003,121.35742574257422,-71.3931216931218,1.6998475884584567,-4.26275862068974,-30.800000000000182,520.0000000000008,-258.49999999999886,1.3203410120930021,62.86206896551724,7.828115949123375,20.093660001142215,31.448711359130648
60m,5,6,286,-3001.400000000025,33.91608391608392,0.7775636797521719,3547.700000000004,108.16391752577316,-71.3931216931218,1.5150467574552626,-10.494405594405682,-32.25,350.5000000000015,-258.49999999999886,0.9669684376574575,60.92307692307692,3.3406723281769897,14.968690132387872,27.002735443532654
60m,10,11,281,-4571.900000000027,32.74021352313167,0.6611725819480764,4954.100000000008,96.9717391304347,-71.3931216931218,1.3582784563933308,-16.27010676156593,-33.099999999999795,261.0999999999981,-258.49999999999886,0.7850974622817948,58.619217081850536,2.9266707019077534,14.15248727778151,26.961015087318145
240m,0,0,70,1746.6000000000138,41.42857142857143,1.3038727861094705,2120.199999999997,258.4275862068969,-140.1902439024389,1.8434063527754585,24.951428571428767,-47.50000000000176,1117.5000000000002,-409.19999999999936,1.8926939032840777,69.05714285714286,14.911133646456005,28.014250640478206,38.34729931682318
240m,1,1,69,629.100000000014,40.57971014492754,1.109450572392918,2120.1999999999975,227.7464285714289,-140.1902439024389,1.6245526238610586,9.117391304348029,-48.90000000000134,982.0000000000013,-409.19999999999936,1.7039131041218893,67.78260869565217,15.399331963806867,27.543163606140887,38.18940237419429
240m,5,2,68,-352.8999999999875,39.705882352941174,0.9386025957757772,2120.199999999998,199.8111111111114,-140.1902439024389,1.425285423215069,-5.189705882352757,-52.44999999999982,774.3999999999991,-409.19999999999936,1.4325499945073954,64.52941176470588,14.354297577341526,26.93840478970871,38.29728076516701
240m,10,3,67,-1127.2999999999868,38.80597014925373,0.80387278610947,2120.199999999998,177.71153846153877,-140.1902439024389,1.2676455473264718,-16.82537313432816,-55.999999999998295,678.8999999999978,-409.19999999999936,1.2563072331563716,60.40298507462686,14.693215020019403,27.95584893409796,38.710096309923095
