timeframe,period,entry_time,exit_time,direction,entry_price,exit_price,gross_pnl_pips,cost_pips,net_pnl_pips,holding_bars,short_window,long_window,entry_delay_bars,exit_reason
240m,full_2023_2025,2023-01-01 20:00:00,2023-01-09 00:00:00,short,130.925,131.805,-87.99999999999955,1.0,-88.99999999999955,32,20,80,0,signal_flip
240m,full_2023_2025,2023-01-09 00:00:00,2023-01-11 08:00:00,long,131.805,132.42,61.49999999999807,1.0,60.49999999999807,14,20,80,0,signal_flip
240m,full_2023_2025,2023-01-11 08:00:00,2023-01-25 12:00:00,short,132.42,129.691,272.8999999999985,1.0,271.8999999999985,63,20,80,0,signal_flip
240m,full_2023_2025,2023-01-25 12:00:00,2023-02-03 00:00:00,long,129.691,128.763,-92.79999999999973,1.0,-93.79999999999973,40,20,80,0,signal_flip
240m,full_2023_2025,2023-02-03 00:00:00,2023-02-06 16:00:00,short,128.763,132.845,-408.19999999999936,1.0,-409.19999999999936,11,20,80,0,signal_flip
240m,full_2023_2025,2023-02-06 16:00:00,2023-03-13 12:00:00,long,132.845,133.151,30.60000000000116,1.0,29.60000000000116,154,20,80,0,signal_flip
240m,full_2023_2025,2023-03-13 12:00:00,2023-03-31 08:00:00,short,133.151,133.13,2.1000000000015007,1.0,1.1000000000015007,85,20,80,0,signal_flip
240m,full_2023_2025,2023-03-31 08:00:00,2023-04-06 20:00:00,long,133.13,131.78,-134.99999999999943,1.0,-135.99999999999943,28,20,80,0,signal_flip
240m,full_2023_2025,2023-04-06 20:00:00,2023-04-10 16:00:00,short,131.78,133.753,-197.29999999999848,1.0,-198.29999999999848,12,20,80,0,signal_flip
240m,full_2023_2025,2023-04-10 16:00:00,2023-04-28 00:00:00,long,133.753,133.804,5.100000000001614,1.0,4.100000000001614,82,20,80,0,signal_flip
240m,full_2023_2025,2023-04-28 00:00:00,2023-04-28 12:00:00,short,133.804,136.13,-232.59999999999934,1.0,-233.59999999999934,3,20,80,0,signal_flip
240m,full_2023_2025,2023-04-28 12:00:00,2023-05-08 00:00:00,long,136.13,135.192,-93.79999999999882,1.0,-94.79999999999882,35,20,80,0,signal_flip
240m,full_2023_2025,2023-05-08 00:00:00,2023-05-10 12:00:00,short,135.192,135.312,-12.000000000000455,1.0,-13.000000000000455,15,20,80,0,signal_flip
240m,full_2023_2025,2023-05-10 12:00:00,2023-05-11 00:00:00,long,135.312,134.101,-121.10000000000127,1.0,-122.10000000000127,3,20,80,0,signal_flip
240m,full_2023_2025,2023-05-11 00:00:00,2023-05-16 08:00:00,short,134.101,135.791,-168.99999999999977,1.0,-169.99999999999977,21,20,80,0,signal_flip
240m,full_2023_2025,2023-05-16 08:00:00,2023-06-08 20:00:00,long,135.791,138.915,312.3999999999995,1.0,311.3999999999995,108,20,80,0,signal_flip
240m,full_2023_2025,2023-06-08 20:00:00,2023-06-15 00:00:00,short,138.915,139.968,-105.29999999999973,1.0,-106.29999999999973,26,20,80,0,signal_flip
240m,full_2023_2025,2023-06-15 00:00:00,2023-07-10 00:00:00,long,139.968,142.21,224.20000000000186,1.0,223.20000000000186,106,20,80,0,signal_flip
240m,full_2023_2025,2023-07-10 00:00:00,2023-07-24 08:00:00,short,142.21,141.412,79.80000000000018,1.0,78.80000000000018,64,20,80,0,signal_flip
240m,full_2023_2025,2023-07-24 08:00:00,2023-10-09 08:00:00,long,141.412,149.166,775.3999999999991,1.0,774.3999999999991,341,20,80,0,signal_flip
240m,full_2023_2025,2023-10-09 08:00:00,2023-10-13 12:00:00,short,149.166,149.61,-44.40000000000168,1.0,-45.40000000000168,25,20,80,0,signal_flip
240m,full_2023_2025,2023-10-13 12:00:00,2023-11-07 00:00:00,long,149.61,149.985,37.5,1.0,36.5,103,20,80,0,signal_flip
240m,full_2023_2025,2023-11-07 00:00:00,2023-11-08 20:00:00,short,149.985,151.032,-104.6999999999997,1.0,-105.6999999999997,11,20,80,0,signal_flip
240m,full_2023_2025,2023-11-08 20:00:00,2023-11-17 16:00:00,long,151.032,149.556,-147.5999999999999,1.0,-148.5999999999999,42,20,80,0,signal_flip
240m,full_2023_2025,2023-11-17 16:00:00,2024-01-04 20:00:00,short,149.556,144.577,497.90000000000134,1.0,496.90000000000134,203,20,80,0,signal_flip
240m,full_2023_2025,2024-01-04 20:00:00,2024-02-01 00:00:00,long,144.577,147.005,242.79999999999973,1.0,241.79999999999973,119,20,80,0,signal_flip
240m,full_2023_2025,2024-02-01 00:00:00,2024-02-06 12:00:00,short,147.005,148.679,-167.40000000000066,1.0,-168.40000000000066,22,20,80,0,signal_flip
240m,full_2023_2025,2024-02-06 12:00:00,2024-03-01 16:00:00,long,148.679,150.122,144.3000000000012,1.0,143.3000000000012,112,20,80,0,signal_flip
240m,full_2023_2025,2024-03-01 16:00:00,2024-03-19 08:00:00,short,150.122,150.259,-13.699999999997203,1.0,-14.699999999997203,73,20,80,0,signal_flip
240m,full_2023_2025,2024-03-19 08:00:00,2024-05-05 20:00:00,long,150.259,152.886,262.70000000000095,1.0,261.70000000000095,208,20,80,0,signal_flip
240m,full_2023_2025,2024-05-05 20:00:00,2024-05-13 00:00:00,short,152.886,155.83,-294.4000000000017,1.0,-295.4000000000017,32,20,80,0,signal_flip
240m,full_2023_2025,2024-05-13 00:00:00,2024-06-04 16:00:00,long,155.83,154.872,-95.79999999999984,1.0,-96.79999999999984,103,20,80,0,signal_flip
240m,full_2023_2025,2024-06-04 16:00:00,2024-06-11 20:00:00,short,154.872,157.086,-221.39999999999986,1.0,-222.39999999999986,32,20,80,0,signal_flip
240m,full_2023_2025,2024-06-11 20:00:00,2024-07-12 04:00:00,long,157.086,159.23,214.3999999999977,1.0,213.3999999999977,138,20,80,0,signal_flip
240m,full_2023_2025,2024-07-12 04:00:00,2024-08-16 12:00:00,short,159.23,148.045,1118.5000000000002,1.0,1117.5000000000002,157,20,80,0,signal_flip
240m,full_2023_2025,2024-08-16 12:00:00,2024-08-21 12:00:00,long,148.045,146.06,-198.49999999999852,1.0,-199.49999999999852,19,20,80,0,signal_flip
240m,full_2023_2025,2024-08-21 12:00:00,2024-09-03 08:00:00,short,146.06,145.945,11.50000000000091,1.0,10.50000000000091,55,20,80,0,signal_flip
240m,full_2023_2025,2024-09-03 08:00:00,2024-09-05 16:00:00,long,145.945,143.432,-251.30000000000052,1.0,-252.30000000000052,14,20,80,0,signal_flip
240m,full_2023_2025,2024-09-05 16:00:00,2024-09-20 16:00:00,short,143.432,143.911,-47.90000000000134,1.0,-48.90000000000134,68,20,80,0,signal_flip
240m,full_2023_2025,2024-09-20 16:00:00,2024-11-26 04:00:00,long,143.911,153.741,983.0000000000013,1.0,982.0000000000013,289,20,80,0,signal_flip
240m,full_2023_2025,2024-11-26 04:00:00,2024-12-11 20:00:00,short,153.741,152.64,110.10000000000275,1.0,109.10000000000275,72,20,80,0,signal_flip
240m,full_2023_2025,2024-12-11 20:00:00,2025-01-15 16:00:00,long,152.64,156.29,365.00000000000057,1.0,364.00000000000057,146,20,80,0,signal_flip
240m,full_2023_2025,2025-01-15 16:00:00,2025-03-18 16:00:00,short,156.29,149.491,679.8999999999978,1.0,678.8999999999978,273,20,80,0,signal_flip
240m,full_2023_2025,2025-03-18 16:00:00,2025-04-02 16:00:00,long,149.491,149.989,49.799999999999045,1.0,48.799999999999045,68,20,80,0,signal_flip
240m,full_2023_2025,2025-04-02 16:00:00,2025-04-28 00:00:00,short,149.989,143.851,613.8000000000005,1.0,612.8000000000005,108,20,80,0,signal_flip
240m,full_2023_2025,2025-04-28 00:00:00,2025-05-20 08:00:00,long,143.851,144.127,27.600000000001046,1.0,26.600000000001046,101,20,80,0,signal_flip
