pair,vol_regime,shock_side,shock_level,shock_quantile,threshold_pct,horizon_bars,horizon_hours,count,vol20_mean_pct,current_return_mean_pct,future_return_mean_pct,mr_return_mean_pct,mr_return_median_pct,mr_return_std_pct,mr_return_t_stat,mr_win_rate_pct
USDJPY,Q2_lower,lower,5pct,0.0500000000,-0.3861623093,12,48,31,0.1697204721,-0.4764156442,0.1735952006,0.1735952006,0.2120410740,0.7813655393,1.2369846418,64.5161290323
USDJPY,Q3_mid,lower,5pct,0.0500000000,-0.3861623093,1,4,49,0.2118222501,-0.4963775350,0.0076403499,0.0076403499,0.0191477819,0.2137067882,0.2502608827,53.0612244898
USDJPY,Q3_mid,lower,5pct,0.0500000000,-0.3861623093,3,12,49,0.2118222501,-0.4963775350,-0.0820226578,-0.0820226578,-0.0443101719,0.4400924193,-1.3046318897,40.8163265306
USDJPY,Q3_mid,lower,5pct,0.0500000000,-0.3861623093,6,24,49,0.2118222501,-0.4963775350,-0.1925528874,-0.1925528874,-0.0483294741,0.6644248876,-2.0286269180,44.8979591837
USDJPY,Q3_mid,lower,5pct,0.0500000000,-0.3861623093,12,48,49,0.2118222501,-0.4963775350,-0.2353380722,-0.2353380722,-0.1920844615,1.0995374284,-1.4982359515,48.9795918367
USDJPY,Q4_higher,lower,5pct,0.0500000000,-0.3861623093,1,4,95,0.2639669804,-0.5487517017,0.0178906118,0.0178906118,0.0308148324,0.2702315037,0.6452841790,58.9473684211
USDJPY,Q4_higher,lower,5pct,0.0500000000,-0.3861623093,3,12,95,0.2639669804,-0.5487517017,0.0332150404,0.0332150404,0.0528789050,0.4764148358,0.6795341874,60.0000000000
USDJPY,Q4_higher,lower,5pct,0.0500000000,-0.3861623093,6,24,95,0.2639669804,-0.5487517017,0.0134676699,0.0134676699,0.0186171737,0.6499599984,0.2019610585,50.5263157895
USDJPY,Q4_higher,lower,5pct,0.0500000000,-0.3861623093,12,48,95,0.2639669804,-0.5487517017,0.0187715322,0.0187715322,0.1061464435,0.9811105257,0.1864848654,52.6315789474
USDJPY,Q5_high,lower,5pct,0.0500000000,-0.3861623093,1,4,162,0.4487281388,-0.7756763389,-0.0021333792,-0.0021333792,0.0047711299,0.3579457488,-0.0758592167,51.2345679012
USDJPY,Q5_high,lower,5pct,0.0500000000,-0.3861623093,3,12,162,0.4487281388,-0.7756763389,-0.0426491443,-0.0426491443,0.0037514589,0.6965523198,-0.7793168851,50.0000000000
USDJPY,Q5_high,lower,5pct,0.0500000000,-0.3861623093,6,24,162,0.4487281388,-0.7756763389,0.0135167909,0.0135167909,0.1161321596,0.9094652150,0.1891668403,55.5555555556
USDJPY,Q5_high,lower,5pct,0.0500000000,-0.3861623093,12,48,162,0.4487281388,-0.7756763389,0.1261473343,0.1261473343,0.0659565464,1.1242139326,1.4281920845,54.3209876543
USDJPY,Q1_low,upper,2_5pct,0.0250000000,0.4898578355,1,4,0,,,,,,,,
USDJPY,Q1_low,upper,2_5pct,0.0250000000,0.4898578355,3,12,0,,,,,,,,
USDJPY,Q1_low,upper,2_5pct,0.0250000000,0.4898578355,6,24,0,,,,,,,,
USDJPY,Q1_low,upper,2_5pct,0.0250000000,0.4898578355,12,48,0,,,,,,,,
USDJPY,Q2_lower,upper,2_5pct,0.0250000000,0.4898578355,1,4,13,0.1738584511,0.5877571503,-0.2036241455,0.2036241455,-0.0717716827,1.0049294641,0.7305759497,30.7692307692
USDJPY,Q2_lower,upper,2_5pct,0.0250000000,0.4898578355,3,12,13,0.1738584511,0.5877571503,-0.1187874830,0.1187874830,-0.0287724623,0.7985392348,0.5363472979,46.1538461538
USDJPY,Q2_lower,upper,2_5pct,0.0250000000,0.4898578355,6,24,13,0.1738584511,0.5877571503,-0.0338914988,0.0338914988,-0.0857228632,0.6558868492,0.1863088685,46.1538461538
USDJPY,Q2_lower,upper,2_5pct,0.0250000000,0.4898578355,12,48,13,0.1738584511,0.5877571503,-0.2536053645,0.2536053645,0.1865589872,0.7709065231,1.1861193515,69.2307692308
USDJPY,Q3_mid,upper,2_5pct,0.0250000000,0.4898578355,1,4,24,0.2129018578,0.5867044727,-0.1922361811,0.1922361811,-0.0108781600,0.8191516493,1.1496785830,50.0000000000
USDJPY,Q3_mid,upper,2_5pct,0.0250000000,0.4898578355,3,12,24,0.2129018578,0.5867044727,-0.0762492590,0.0762492590,0.0411127897,0.7068811606,0.5284389745,54.1666666667
USDJPY,Q3_mid,upper,2_5pct,0.0250000000,0.4898578355,6,24,24,0.2129018578,0.5867044727,0.0060470537,-0.0060470537,-0.0355369386,0.7973276149,-0.0371546043,45.8333333333
USDJPY,Q3_mid,upper,2_5pct,0.0250000000,0.4898578355,12,48,24,0.2129018578,0.5867044727,0.2148587967,-0.2148587967,-0.1987155350,0.7065360600,-1.4897878491,33.3333333333
USDJPY,Q4_higher,upper,2_5pct,0.0250000000,0.4898578355,1,4,50,0.2660184373,0.6366357489,0.0050994941,-0.0050994941,-0.0195478293,0.3703229299,-0.0973714177,48.0000000000
USDJPY,Q4_higher,upper,2_5pct,0.0250000000,0.4898578355,3,12,50,0.2660184373,0.6366357489,-0.0432704192,0.0432704192,-0.0496917154,0.6084692369,0.5028488698,48.0000000000
USDJPY,Q4_higher,upper,2_5pct,0.0250000000,0.4898578355,6,24,50,0.2660184373,0.6366357489,-0.1138665603,0.1138665603,-0.0200224980,0.7948290184,1.0129954377,46.0000000000
USDJPY,Q4_higher,upper,2_5pct,0.0250000000,0.4898578355,12,48,50,0.2660184373,0.6366357489,-0.1084380191,0.1084380191,0.0459967938,0.9671016613,0.7928562397,54.0000000000
USDJPY,Q5_high,upper,2_5pct,0.0250000000,0.4898578355,1,4,85,0.4465048020,0.8455728870,-0.0355765684,0.0355765684,0.0064562364,0.3215671362,1.0200039658,50.5882352941
USDJPY,Q5_high,upper,2_5pct,0.0250000000,0.4898578355,3,12,85,0.4465048020,0.8455728870,-0.0234257841,0.0234257841,-0.0393844774,0.5547113337,0.3893467556,44.7058823529
USDJPY,Q5_high,upper,2_5pct,0.0250000000,0.4898578355,6,24,85,0.4465048020,0.8455728870,-0.0910257977,0.0910257977,0.0439538154,0.7924699587,1.0589882675,51.7647058824
USDJPY,Q5_high,upper,2_5pct,0.0250000000,0.4898578355,12,48,85,0.4465048020,0.8455728870,-0.0447145796,0.0447145796,-0.0638682433,1.0850932818,0.3799194610,48.2352941176
USDJPY,Q1_low,lower,2_5pct,0.0250000000,-0.5078186023,1,4,0,,,,,,,,
USDJPY,Q1_low,lower,2_5pct,0.0250000000,-0.5078186023,3,12,0,,,,,,,,
USDJPY,Q1_low,lower,2_5pct,0.0250000000,-0.5078186023,6,24,0,,,,,,,,
USDJPY,Q1_low,lower,2_5pct,0.0250000000,-0.5078186023,12,48,0,,,,,,,,
USDJPY,Q2_lower,lower,2_5pct,0.0250000000,-0.5078186023,1,4,10,0.1731622275,-0.5614274605,-0.0606455426,-0.0606455426,-0.0424975051,0.1946486935,-0.9852521537,40.0000000000
USDJPY,Q2_lower,lower,2_5pct,0.0250000000,-0.5078186023,3,12,10,0.1731622275,-0.5614274605,0.1233999929,0.1233999929,0.1562253709,0.1821480747,2.1423506190,70.0000000000
USDJPY,Q2_lower,lower,2_5pct,0.0250000000,-0.5078186023,6,24,10,0.1731622275,-0.5614274605,0.2275190717,0.2275190717,0.3157161636,0.4752185915,1.5139948028,70.0000000000
USDJPY,Q2_lower,lower,2_5pct,0.0250000000,-0.5078186023,12,48,10,0.1731622275,-0.5614274605,0.3141533534,0.3141533534,0.2044811880,0.5222439335,1.9022530807,80.0000000000
USDJPY,Q3_mid,lower,2_5pct,0.0250000000,-0.5078186023,1,4,20,0.2117386525,-0.5930653053,0.0072531103,0.0072531103,0.0621896869,0.2156678420,0.1504020951,55.0000000000
USDJPY,Q3_mid,lower,2_5pct,0.0250000000,-0.5078186023,3,12,20,0.2117386525,-0.5930653053,-0.0986646341,-0.0986646341,-0.1276740850,0.4102762989,-1.0754744027,40.0000000000
