pair,shock_side,shock_level,shock_quantile,threshold_pct,horizon_bars,horizon_hours,count,current_return_mean_pct,future_return_mean_pct,mr_return_mean_pct,mr_return_median_pct,mr_return_std_pct,mr_return_t_stat,mr_win_rate_pct
EURUSD,lower,5pct,0.0500000000,-0.3016559404,12,48,342,-0.4715563109,0.0078626188,0.0078626188,-0.0288330012,0.7953244303,0.1828251559,49.4152046784
EURUSD,upper,2_5pct,0.0250000000,0.4140645089,1,4,172,0.6260492244,0.0395333167,-0.0395333167,-0.0213163820,0.2697903872,-1.9217682029,45.3488372093
EURUSD,upper,2_5pct,0.0250000000,0.4140645089,3,12,172,0.6260492244,0.0335209862,-0.0335209862,0.0004527038,0.4144640799,-1.0607037703,50.0000000000
EURUSD,upper,2_5pct,0.0250000000,0.4140645089,6,24,172,0.6260492244,0.0566062131,-0.0566062131,0.0505040991,0.5512284180,-1.3467802113,52.9069767442
EURUSD,upper,2_5pct,0.0250000000,0.4140645089,12,48,172,0.6260492244,-0.0436885233,0.0436885233,0.0721219817,0.8086681892,0.7085348708,52.9069767442
EURUSD,lower,2_5pct,0.0250000000,-0.4192245930,1,4,172,-0.5926705575,0.0207708096,0.0207708096,-0.0058075864,0.3587363694,0.7593504240,48.2558139535
EURUSD,lower,2_5pct,0.0250000000,-0.4192245930,3,12,172,-0.5926705575,0.0496982227,0.0496982227,-0.0010380225,0.4548987273,1.4328157907,50.0000000000
EURUSD,lower,2_5pct,0.0250000000,-0.4192245930,6,24,171,-0.5936131455,0.0764883540,0.0764883540,0.0077835482,0.6489018494,1.5413964643,52.6315789474
EURUSD,lower,2_5pct,0.0250000000,-0.4192245930,12,48,171,-0.5936131455,0.0771907408,0.0771907408,0.0884283836,0.9018772687,1.1192209302,53.2163742690
EURUSD,upper,1pct,0.0100000000,0.5845017782,1,4,69,0.8397513479,0.0326298255,-0.0326298255,-0.0322074531,0.2553040211,-1.0616506789,43.4782608696
EURUSD,upper,1pct,0.0100000000,0.5845017782,3,12,69,0.8397513479,0.0058965741,-0.0058965741,0.0265768554,0.4106559908,-0.1192740976,56.5217391304
EURUSD,upper,1pct,0.0100000000,0.5845017782,6,24,69,0.8397513479,0.0985448527,-0.0985448527,0.0432490624,0.6289165496,-1.3015638171,52.1739130435
EURUSD,upper,1pct,0.0100000000,0.5845017782,12,48,69,0.8397513479,0.0188754830,-0.0188754830,-0.0320661114,0.8407747550,-0.1864845926,47.8260869565
EURUSD,lower,1pct,0.0100000000,-0.5755168471,1,4,69,-0.7529886721,0.0049569945,0.0049569945,0.0387675613,0.3224328268,0.1277037734,50.7246376812
EURUSD,lower,1pct,0.0100000000,-0.5755168471,3,12,69,-0.7529886721,0.0554126013,0.0554126013,0.0657738500,0.4372173633,1.0527752889,63.7681159420
EURUSD,lower,1pct,0.0100000000,-0.5755168471,6,24,69,-0.7529886721,0.1113169251,0.1113169251,0.0972079787,0.6649375343,1.3906085584,53.6231884058
EURUSD,lower,1pct,0.0100000000,-0.5755168471,12,48,69,-0.7529886721,0.1263162054,0.1263162054,0.1833520431,0.9112029457,1.1515120875,57.9710144928
AUDJPY,upper,5pct,0.0500000000,0.4463788209,1,4,343,0.6613224811,-0.0343051015,0.0343051015,0.0197489801,0.3681726474,1.7256560908,53.3527696793
AUDJPY,upper,5pct,0.0500000000,0.4463788209,3,12,343,0.6613224811,-0.0189212797,0.0189212797,0.0210814800,0.5982129307,0.5857897509,51.6034985423
AUDJPY,upper,5pct,0.0500000000,0.4463788209,6,24,343,0.6613224811,0.0104498829,-0.0104498829,-0.0127368254,0.7864928004,-0.2460728691,48.9795918367
AUDJPY,upper,5pct,0.0500000000,0.4463788209,12,48,343,0.6613224811,0.0026747542,-0.0026747542,-0.0533754768,1.1159112088,-0.0443916512,46.6472303207
AUDJPY,lower,5pct,0.0500000000,-0.4801615003,1,4,343,-0.7292775271,0.0278081409,0.0278081409,0.0318593096,0.4000515955,1.2873688849,53.3527696793
AUDJPY,lower,5pct,0.0500000000,-0.4801615003,3,12,343,-0.7292775271,0.0713458329,0.0713458329,0.0859565867,0.7046595857,1.8751512683,58.0174927114
AUDJPY,lower,5pct,0.0500000000,-0.4801615003,6,24,343,-0.7292775271,0.1219698569,0.1219698569,0.1550788628,0.9479483448,2.3829498458,57.4344023324
AUDJPY,lower,5pct,0.0500000000,-0.4801615003,12,48,343,-0.7292775271,0.2024476065,0.2024476065,0.2362370476,1.1772988707,3.1847326418,60.0583090379
AUDJPY,upper,2_5pct,0.0250000000,0.5719696291,1,4,172,0.8170160478,-0.0620493065,0.0620493065,0.0577607746,0.4242077845,1.9183264781,58.7209302326
AUDJPY,upper,2_5pct,0.0250000000,0.5719696291,3,12,172,0.8170160478,-0.0164906555,0.0164906555,0.0011298450,0.6791468259,0.3184479572,50.0000000000
AUDJPY,upper,2_5pct,0.0250000000,0.5719696291,6,24,172,0.8170160478,0.0392695255,-0.0392695255,-0.0137221715,0.8341569181,-0.6174078126,48.2558139535
AUDJPY,upper,2_5pct,0.0250000000,0.5719696291,12,48,172,0.8170160478,-0.0253235090,0.0253235090,-0.0384730214,1.1371063560,0.2920700473,47.0930232558
AUDJPY,lower,2_5pct,0.0250000000,-0.6171351700,1,4,172,-0.9184640952,0.0299864657,0.0299864657,0.0289591403,0.4471333854,0.8795335434,52.9069767442
AUDJPY,lower,2_5pct,0.0250000000,-0.6171351700,3,12,172,-0.9184640952,0.0572195493,0.0572195493,0.1147266781,0.7962178650,0.9424899728,57.5581395349
AUDJPY,lower,2_5pct,0.0250000000,-0.6171351700,6,24,172,-0.9184640952,0.1448541134,0.1448541134,0.1752578734,1.0603077369,1.7916910547,57.5581395349
AUDJPY,lower,2_5pct,0.0250000000,-0.6171351700,12,48,172,-0.9184640952,0.2542237614,0.2542237614,0.2104134086,1.2028170371,2.7719206419,58.1395348837
AUDJPY,upper,1pct,0.0100000000,0.7608491184,1,4,69,1.0788918629,-0.0774685493,0.0774685493,0.0021341984,0.5500289569,1.1699422223,50.7246376812
AUDJPY,upper,1pct,0.0100000000,0.7608491184,3,12,69,1.0788918629,0.0096166937,-0.0096166937,-0.0311363868,0.8234434262,-0.0970100130,47.8260869565
AUDJPY,upper,1pct,0.0100000000,0.7608491184,6,24,69,1.0788918629,0.0236872535,-0.0236872535,-0.0052868560,1.0163180904,-0.1936018916,49.2753623188
AUDJPY,upper,1pct,0.0100000000,0.7608491184,12,48,69,1.0788918629,-0.1141305841,0.1141305841,0.0201810989,1.1192898078,0.8470012209,50.7246376812
AUDJPY,lower,1pct,0.0100000000,-0.8377828918,1,4,69,-1.2348766748,0.0214803000,0.0214803000,0.0084230286,0.5216218534,0.3420653700,52.1739130435
AUDJPY,lower,1pct,0.0100000000,-0.8377828918,3,12,69,-1.2348766748,0.1444768750,0.1444768750,0.1616902368,1.0021371431,1.1975557093,60.8695652174
AUDJPY,lower,1pct,0.0100000000,-0.8377828918,6,24,69,-1.2348766748,0.1616920197,0.1616920197,0.1300340566,1.3755720988,0.9764045015,55.0724637681
AUDJPY,lower,1pct,0.0100000000,-0.8377828918,12,48,69,-1.2348766748,0.3856066008,0.3856066008,0.2735919935,1.4241044865,2.2491952119,62.3188405797
