period,event_def,horizon,risk_env,funding_case,group,cost_bps,n,mean_ret_pct,median_ret_pct,win_rate_pct,profit_factor,t_stat,var_95_pct,es_95_pct,var_99_pct,es_99_pct,mean_mae_pct,worst_mae_pct,mean_mfe_pct,best_mfe_pct,maxdd_pct,is_small_sample,is_very_small_sample,is_mean_broken,is_pf_broken,is_drawdown_severe,fragility_status
all,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.3408696084495801,0.28981994350858675,53.233830845771145,1.2599635032580474,1.1900395102548516,-6.341693588951916,-9.718548917259978,-11.569208069051482,-13.272137383015096,-3.7265774962948734,-36.61731954434463,3.0510185665911282,16.15690254573776,-30.823393023738564,False,False,False,False,True,watch
all,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,1.29731544107217,0.7260050846045356,66.66666666666666,3.122098551976723,1.4436330675370979,-3.180933081785135,-3.5321422852932787,-3.46190044459165,-3.5321422852932787,-2.6507918537525725,-9.425650229529623,3.843146169295734,14.586244152905872,-3.4704901515850595,True,True,False,False,False,fragile
all,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,-0.24243365430495714,-0.7793481301481353,42.30769230769231,0.8371910208086902,-0.36516281861309774,-5.719486039690906,-6.927515444291327,-7.220426371961031,-7.513337299630736,-4.3301863506850236,-12.257577792119946,2.6049846955983296,6.898808550413792,-19.24975261528139,True,False,True,True,False,broken
all,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.6032707567317701,0.851294676860646,61.19402985074627,1.3675304301406208,1.6473624609131836,-7.2958465544313995,-11.86029035518225,-14.570900361639113,-17.628031328352268,-4.715645132126101,-36.61731954434463,4.154930341539808,16.54069379542192,-42.4412787279136,False,False,False,False,True,watch
all,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,1.1150338183645592,2.4163826851824357,73.33333333333333,2.0725232571152747,1.24091919157581,-5.514386080441323,-5.778124343285108,-5.725376690716351,-5.778124343285108,-3.249251657414053,-9.425650229529623,4.928247841935166,14.586244152905872,-6.1805780215122175,True,True,False,False,False,fragile
all,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,-0.10019422569395425,0.2541551473493718,53.84615384615385,0.9351024308803354,-0.1377282019547979,-5.123665361089099,-7.186544190965788,-8.17432484072809,-9.162105490490392,-5.346878973084372,-13.62172455334398,3.202774091806835,6.997349780838566,-18.776553699945588,True,False,True,True,False,broken
all,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.6471304344411787,1.2411557969275255,56.71641791044776,1.230986651220737,1.0841816795730062,-12.811151341073726,-21.014228649769713,-24.58737739449574,-27.830245669134868,-7.077750310955974,-50.636206449343334,6.674754919204131,31.444205828993194,-70.07390815413308,False,False,False,False,True,watch
all,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,2.194072200556089,3.5868121286749948,66.66666666666666,2.9072087417385815,1.5295044349928597,-6.060482604268151,-13.002371938146872,-11.613994071371128,-13.002371938146872,-4.454213146279931,-14.641592066042206,7.232144141629572,14.586244152905872,-12.192539671292035,True,True,False,False,False,fragile
all,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,0.0885260739904468,1.314884327365929,61.53846153846154,1.0327494103485013,0.060971483616567825,-8.807462964683488,-16.08338208779235,-19.629344879736436,-23.17530767168052,-7.458248835765692,-28.05836351820929,5.9720684443528675,15.14805576551559,-25.11244427741911,True,False,False,False,True,watch
2020_2021,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,40,0.9538268492762711,1.0731746323835643,60.0,1.5992883824852542,1.1609713161619446,-6.673660553814162,-11.554929833698765,-12.076830116543116,-13.927203846627641,-5.402308769281836,-36.61731954434463,4.387323790970896,14.586244152905872,-13.000867484225974,False,False,False,False,False,survives_this_test
2020_2021,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,2,5.9867176880559585,5.9867176880559585,100.0,inf,1.4984811418422999,2.3910461985729095,1.9915271441859044,2.071430955063305,1.9915271441859044,-7.141840866089829,-9.425650229529623,11.1250995470415,14.586244152905872,0.0,True,True,False,False,False,fragile
2020_2021,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,4,0.1882215420262184,0.1767222677075117,50.0,1.2249020395834112,0.1718499025727558,-1.9196383089152609,-2.0249936773251798,-2.003922603643196,-2.0249936773251798,-4.0282808033022155,-5.911555222026431,2.868521485761696,5.133733710674386,-1.3139163107656948,True,True,False,False,False,fragile
2020_2021,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,40,2.4936802373576707,3.406358252466383,70.0,2.802747776087968,2.78487113745987,-5.808085533284695,-7.185855716909792,-7.363727383109038,-7.9943632905427275,-6.223827628801648,-36.61731954434463,6.363422733943927,16.013387372730936,-20.999356571938165,False,False,False,False,True,watch
2020_2021,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,2,-0.9319967870831218,-0.9319967870831218,50.0,0.6774050775953907,-0.1923178406417242,-5.293511587664909,-5.778124343285108,-5.681201792161068,-5.778124343285108,-9.288964731664509,-9.425650229529623,11.299405014010375,14.586244152905872,0.0,True,True,True,True,False,broken
2020_2021,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,4,1.793998741858966,2.2803300567404405,75.0,4.148231470852537,1.0586974916521537,-1.891217395538479,-2.2793733668803626,-2.201742172611986,-2.2793733668803626,-6.516720407825671,-13.62172455334398,4.403001969363028,6.26513409602875,-2.2535919088942924,True,True,False,False,False,fragile
2020_2021,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,40,2.5135140381189003,4.105682414681595,67.5,1.7925359871372368,1.430954508884513,-19.676135588982117,-26.498115364350944,-27.229133056738437,-29.820923057021364,-9.490022248573235,-50.636206449343334,10.310515053289372,31.444205828993194,-56.87327612538411,False,False,False,False,True,watch
2020_2021,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,2,3.2342745203510854,3.2342745203510854,50.0,32.3832042062462,0.940089633468264,0.1379239547385112,-0.20611499699621927,-0.13730720664927315,-0.20611499699621927,-9.288964731664509,-9.425650229529623,12.469766375181493,14.586244152905872,-0.20590272590219616,True,True,False,False,False,fragile
2020_2021,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,4,-4.944843350151166,-2.9768667143068375,50.0,0.38509906397057947,-0.6897286386265443,-21.047729996514068,-23.17530767168052,-22.74979213664723,-23.17530767168052,-14.575427868544466,-28.05836351820929,6.977943164269615,12.191822424224606,-20.685805565776118,True,True,True,True,True,broken
