timestamp,window_name,window_bars,hist_var_95_pct,hist_var_99_pct,hist_es_95_pct,hist_es_99_pct
2011-03-20 20:00:00,1y,2190,-0.401389717018658,-0.6583266083323872,-0.560381417914866,-0.7946207015548999
2011-03-21 00:00:00,1y,2190,-0.4013546466126938,-0.658279109046442,-0.560381417914866,-0.7946207015548999
2011-03-21 04:00:00,1y,2190,-0.4013195762067297,-0.6582316097604968,-0.560381417914866,-0.7946207015548999
2011-03-21 08:00:00,1y,2190,-0.4012845058007655,-0.6581841104745517,-0.560381417914866,-0.7946207015548999
2011-03-21 12:00:00,1y,2190,-0.4012494353948014,-0.6581366111886064,-0.560381417914866,-0.7946207015548999
2011-03-21 16:00:00,1y,2190,-0.4012143649888372,-0.6580891119026613,-0.560381417914866,-0.7946207015548999
2011-03-21 20:00:00,1y,2190,-0.40117929458287316,-0.6580416126167161,-0.560381417914866,-0.7946207015548999
2011-03-22 00:00:00,1y,2190,-0.401144224176909,-0.657994113330771,-0.5580047433814636,-0.7946207015548999
2011-03-22 04:00:00,1y,2190,-0.40103119577422847,-0.6579466140448257,-0.5580047433814636,-0.7946207015548999
2011-03-22 08:00:00,1y,2190,-0.4009181673715479,-0.6578991147588805,-0.5580047433814636,-0.7946207015548999
2011-03-22 12:00:00,1y,2190,-0.4008051389688674,-0.6578516154729354,-0.5580047433814636,-0.7946207015548999
2011-03-22 16:00:00,1y,2190,-0.4006921105661868,-0.6578041161869902,-0.5580047433814636,-0.7946207015548999
2011-03-22 20:00:00,1y,2190,-0.40057908216350635,-0.6577566169010449,-0.5580047433814636,-0.7946207015548999
2011-03-23 00:00:00,1y,2190,-0.40046605376082584,-0.6577091176150999,-0.5580047433814636,-0.7946207015548999
2011-03-23 04:00:00,1y,2190,-0.40035302535814526,-0.6576616183291546,-0.5580047433814636,-0.7946207015548999
2011-03-23 08:00:00,1y,2190,-0.40023999695546475,-0.6576141190432094,-0.5580047433814636,-0.7946207015548999
2011-03-23 12:00:00,1y,2190,-0.4001269685527842,-0.6575666197572643,-0.5580047433814636,-0.7946207015548999
2011-03-23 16:00:00,1y,2190,-0.4000139401501037,-0.6575191204713191,-0.5580047433814636,-0.7946207015548999
2011-03-23 20:00:00,1y,2190,-0.3999009117474232,-0.6574716211853739,-0.5580047433814636,-0.7946207015548999
2011-03-24 00:00:00,1y,2190,-0.39978788334474263,-0.6574241218994287,-0.5580047433814636,-0.7946207015548999
2011-03-24 04:00:00,1y,2190,-0.3996748549420621,-0.6573766226134836,-0.5580047433814636,-0.7946207015548999
2011-03-24 08:00:00,1y,2190,-0.39956182653938155,-0.6573291233275383,-0.5580047433814636,-0.7946207015548999
2011-03-24 12:00:00,1y,2190,-0.3994487981367011,-0.6572816240415932,-0.5580047433814636,-0.7946207015548999
2011-03-24 16:00:00,1y,2190,-0.3993357697340206,-0.6572341247556479,-0.5580047433814636,-0.7946207015548999
2011-03-24 20:00:00,1y,2190,-0.39922274133134,-0.6571866254697029,-0.5580047433814636,-0.7946207015548999
2011-03-25 00:00:00,1y,2190,-0.39910971292865954,-0.6571391261837576,-0.5580047433814636,-0.7946207015548999
2011-03-25 04:00:00,1y,2190,-0.3989966845259789,-0.6570916268978124,-0.5580047433814636,-0.7946207015548999
2011-03-25 08:00:00,1y,2190,-0.39888365612329846,-0.6570441276118673,-0.5556647273923729,-0.7946207015548999
2011-03-25 12:00:00,1y,2190,-0.39884200615784493,-0.6569966283259221,-0.5556647273923729,-0.7946207015548999
2011-03-25 16:00:00,1y,2190,-0.3988003561923914,-0.6569491290399768,-0.5556647273923729,-0.7946207015548999
2011-03-25 20:00:00,1y,2190,-0.3987587062269379,-0.6569016297540317,-0.5556647273923729,-0.7946207015548999
2011-03-27 20:00:00,1y,2190,-0.39871705626148435,-0.6568541304680865,-0.5556647273923729,-0.7946207015548999
2011-03-28 00:00:00,1y,2190,-0.3986754062960308,-0.6568066311821413,-0.5556647273923729,-0.7946207015548999
