window_name,start,end,n,mean_ret_pct,vol_pct,annualized_vol_pct,skew,kurtosis,hist_var_95_pct,hist_var_99_pct,hist_es_95_pct,hist_es_99_pct,normal_var_95_pct,normal_var_99_pct,student_t_var_95_pct,student_t_var_99_pct,maxdd_pct,max_recovery_bars
1y,2025-06-10 20:00:00,2026-06-10 20:00:00,1611,0.006358513208584111,0.20259817435679486,7.877917403863273,-1.6256086711315696,20.020774464888756,-0.28987598517657087,-0.5455836426815366,-0.4909556914318387,-0.9200830084820052,-0.3268858286959368,-0.4649553189909012,-0.3050291565780122,-0.7491207652908752,-4.209276614990321,294
3y,2023-06-11 20:00:00,2026-06-10 20:00:00,4830,0.0029310379581332082,0.23666376651839527,9.202539021085558,-0.6633135359744092,12.480878186464748,-0.36119788292352717,-0.6539869600917874,-0.5763416885436062,-1.0378713138347933,-0.3863462167676458,-0.5476312121444336,-0.34846718838607305,-0.8536311358518648,-13.614214514664702,3118
5y,2021-06-11 20:00:00,2026-06-10 20:00:00,8055,0.004731443188146788,0.2503959668666411,9.736507999138961,-1.3792185826617143,23.083263933505865,-0.36522818788441075,-0.6939789779705434,-0.6119120347914164,-1.153673006867075,-0.40713327108646863,-0.5777766820004645,-0.3539232246193352,-0.8714801771918879,-15.919560712258585,3118
full,2010-05-27 00:00:00,2026-06-10 20:00:00,25853,0.0022390063430588404,0.23220057414152234,9.028990266195812,-0.3735773885234327,25.503921716065662,-0.3439960019493503,-0.6406749046599605,-0.5542938791484291,-0.9759643699885863,-0.3796969502138386,-0.5379403056621342,-0.34082417114188657,-0.8276122628386972,-20.529290035020676,11026
