window_name,dd_multiplier,max_allowed_dd_pct,stressed_maxdd_pct,leverage_limit
1y,1.0,20.0,-4.209276614990321,4.751410237278025
1y,1.0,30.0,-4.209276614990321,7.127115355917036
1y,1.0,50.0,-4.209276614990321,11.87852559319506
1y,1.5,20.0,-6.313914922485481,3.167606824852016
1y,1.5,30.0,-6.313914922485481,4.751410237278025
1y,1.5,50.0,-6.313914922485481,7.919017062130041
1y,2.0,20.0,-8.418553229980642,2.3757051186390123
1y,2.0,30.0,-8.418553229980642,3.563557677958518
1y,2.0,50.0,-8.418553229980642,5.93926279659753
1y,3.0,20.0,-12.627829844970963,1.583803412426008
1y,3.0,30.0,-12.627829844970963,2.3757051186390123
1y,3.0,50.0,-12.627829844970963,3.9595085310650204
3y,1.0,20.0,-13.614214514664702,1.4690528034839452
3y,1.0,30.0,-13.614214514664702,2.203579205225918
3y,1.0,50.0,-13.614214514664702,3.672632008709863
3y,1.5,20.0,-20.421321771997054,0.9793685356559635
3y,1.5,30.0,-20.421321771997054,1.4690528034839452
3y,1.5,50.0,-20.421321771997054,2.448421339139909
3y,2.0,20.0,-27.228429029329405,0.7345264017419726
3y,2.0,30.0,-27.228429029329405,1.101789602612959
3y,2.0,50.0,-27.228429029329405,1.8363160043549316
3y,3.0,20.0,-40.84264354399411,0.48968426782798175
3y,3.0,30.0,-40.84264354399411,0.7345264017419726
3y,3.0,50.0,-40.84264354399411,1.2242106695699544
5y,1.0,20.0,-15.919560712258585,1.2563160731312983
5y,1.0,30.0,-15.919560712258585,1.8844741096969475
5y,1.0,50.0,-15.919560712258585,3.140790182828246
5y,1.5,20.0,-23.879341068387877,0.8375440487541989
5y,1.5,30.0,-23.879341068387877,1.2563160731312983
5y,1.5,50.0,-23.879341068387877,2.093860121885497
5y,2.0,20.0,-31.83912142451717,0.6281580365656492
5y,2.0,30.0,-31.83912142451717,0.9422370548484738
5y,2.0,50.0,-31.83912142451717,1.570395091414123
5y,3.0,20.0,-47.758682136775754,0.4187720243770994
5y,3.0,30.0,-47.758682136775754,0.6281580365656492
5y,3.0,50.0,-47.758682136775754,1.0469300609427485
full,1.0,20.0,-20.529290035020676,0.9742178110340023
full,1.0,30.0,-20.529290035020676,1.4613267165510035
full,1.0,50.0,-20.529290035020676,2.435544527585006
full,1.5,20.0,-30.793935052531012,0.649478540689335
full,1.5,30.0,-30.793935052531012,0.9742178110340024
full,1.5,50.0,-30.793935052531012,1.6236963517233374
full,2.0,20.0,-41.05858007004135,0.48710890551700115
full,2.0,30.0,-41.05858007004135,0.7306633582755018
full,2.0,50.0,-41.05858007004135,1.217772263792503
full,3.0,20.0,-61.587870105062024,0.3247392703446675
full,3.0,30.0,-61.587870105062024,0.4871089055170012
full,3.0,50.0,-61.587870105062024,0.8118481758616687
