event_def,horizon,risk_env,term,coef_pct,se_pct,t_stat,naive_p
rolling_2sigma,24h,nasdaq_5d_up,intercept_not_low_risk_off,-0.05468722794829241,0.4429899786369006,-0.12345025979270996,0.9018764190459687
rolling_2sigma,24h,nasdaq_5d_up,funding_low,1.291598076958125,0.8744482731989381,1.4770434301770126,0.14126080722828596
rolling_2sigma,24h,nasdaq_5d_up,risk_on,0.2982265732723256,0.6496542707958216,0.4590542796047508,0.6467012865768731
rolling_2sigma,24h,nasdaq_5d_up,funding_low_x_risk_on,-0.23782198120998518,1.4454808928029366,-0.16452793142690653,0.8694842515017829
rolling_2sigma,24h,sp500_5d_up,intercept_not_low_risk_off,0.18706273357400235,0.44572036250000924,0.4196863085293719,0.6751719570447088
rolling_2sigma,24h,sp500_5d_up,funding_low,0.9805759748596287,0.8874521558881049,1.1049339035954355,0.27053589404097006
rolling_2sigma,24h,sp500_5d_up,risk_on,-0.21870546094757445,0.649226803360246,-0.33687065878304184,0.7365730084976403
rolling_2sigma,24h,sp500_5d_up,funding_low_x_risk_on,0.46583315259056896,1.428629879524594,0.32606986544729455,0.7447176084699881
rolling_2sigma,24h,broad_3of4_5d_up,intercept_not_low_risk_off,0.18851991339412202,0.42526414428714976,0.44330074831521254,0.6580346570831919
rolling_2sigma,24h,broad_3of4_5d_up,funding_low,0.8077383077876428,0.8540648039887468,0.9457576333965,0.34543078021181517
rolling_2sigma,24h,broad_3of4_5d_up,risk_on,-0.24868153548301988,0.6558984817207456,-0.3791463807487485,0.7049875099253078
rolling_2sigma,24h,broad_3of4_5d_up,funding_low_x_risk_on,1.0697375715808817,1.4677541572162096,0.7288261227682576,0.4669735721603092
rolling_2sigma,48h,nasdaq_5d_up,intercept_not_low_risk_off,-0.31341871451691183,0.5636749992457868,-0.556027347205881,0.5788231304320979
rolling_2sigma,48h,nasdaq_5d_up,funding_low,1.0609494949101241,1.1126767049055601,0.9535110155830695,0.341499712135222
rolling_2sigma,48h,nasdaq_5d_up,risk_on,1.8090446626762908,0.8266414326745073,2.188427280765889,0.029814518323567584
rolling_2sigma,48h,nasdaq_5d_up,funding_low_x_risk_on,-1.4415416247049442,1.8392773662005006,-0.783754343523956,0.43412556318889295
rolling_2sigma,48h,sp500_5d_up,intercept_not_low_risk_off,0.09416175353841001,0.5722116903396259,0.16455754946656542,0.8694609686223435
rolling_2sigma,48h,sp500_5d_up,funding_low,0.8138198214466125,1.1393028924413728,0.7143138377387124,0.47587866244427646
rolling_2sigma,48h,sp500_5d_up,risk_on,0.9198665796038344,0.8334713821035057,1.1036570653239295,0.27108822169858016
rolling_2sigma,48h,sp500_5d_up,funding_low_x_risk_on,-1.0165721666331748,1.8340618625707212,-0.5542736520393547,0.5800202369188865
rolling_2sigma,48h,broad_3of4_5d_up,intercept_not_low_risk_off,0.24836983953269148,0.5473081203012042,0.4538025845405038,0.6504704486412339
rolling_2sigma,48h,broad_3of4_5d_up,funding_low,0.5942935212291233,1.099167679113976,0.5406759428262802,0.5893417501839633
rolling_2sigma,48h,broad_3of4_5d_up,risk_on,0.6645372331754779,0.8441308066089934,0.7872443796300111,0.4320849192090428
rolling_2sigma,48h,broad_3of4_5d_up,funding_low_x_risk_on,-0.569772087936067,1.8889760155934114,-0.30163013359228713,0.7632521987906269
rolling_2sigma,5d,nasdaq_5d_up,intercept_not_low_risk_off,-1.5073315487172931,0.9082354844435564,-1.6596263574096992,0.09858066968617067
rolling_2sigma,5d,nasdaq_5d_up,funding_low,3.483493028047991,1.792828256461855,1.9430154648067972,0.0534393800229357
rolling_2sigma,5d,nasdaq_5d_up,risk_on,3.78773293921041,1.3319467478082554,2.843757038667799,0.0049288743077900736
rolling_2sigma,5d,nasdaq_5d_up,funding_low_x_risk_on,-3.569822217985018,2.9635818014855237,-1.2045634158623901,0.22981703839562043
rolling_2sigma,5d,sp500_5d_up,intercept_not_low_risk_off,-0.7440754093676786,0.9263227649917459,-0.8032571771830619,0.4227941994433607
rolling_2sigma,5d,sp500_5d_up,funding_low,3.0593779273895416,1.8443562466593355,1.65877819587781,0.09875174859125448
rolling_2sigma,5d,sp500_5d_up,risk_on,2.1172066308712227,1.349262044530001,1.5691589631936367,0.11821570139827535
rolling_2sigma,5d,sp500_5d_up,funding_low_x_risk_on,-2.845553186123131,2.9690642193871484,-0.9584006864999668,0.3390354775894544
rolling_2sigma,5d,broad_3of4_5d_up,intercept_not_low_risk_off,-0.8152863921368245,0.8823733692234234,-0.9239698528689254,0.35663235814833505
