event_def,horizon,risk_env,low_on_minus_all_pct,low_on_minus_funding_low_only_pct,low_on_minus_risk_on_only_pct,high_off_minus_all_pct,difference_in_differences_pct,mean_low_on_pct,mean_low_off_pct,mean_not_low_on_pct,mean_not_low_off_pct
rolling_2sigma,24h,nasdaq_5d_up,0.9564458326225898,0.03981211749563296,0.8741551703365225,-0.5833032627545373,-0.23782198120998674,1.29731544107217,1.2369108490098315,0.24353934532403343,-0.05468722794829169
rolling_2sigma,24h,sp500_5d_up,1.0738967916270443,0.15726307650008753,1.1892697270146058,0.005087272901069528,0.46583315259056884,1.4147664000766245,1.1676387084336306,-0.03164272737357186,0.1870627335740031
rolling_2sigma,24h,broad_3of4_5d_up,1.4764446488300436,0.5598109337030868,1.5489176004790297,-0.10726340672819751,1.0697375715808797,1.8173142572796237,0.9962582211817639,-0.060161622088897304,0.18851991339412255
rolling_2sigma,48h,nasdaq_5d_up,0.5117630616327891,0.24221791139020565,-0.3157184713070671,-0.7034649824257244,-1.4415416247049442,1.1150338183645592,0.7475307803932126,1.4956259481593797,-0.31341871451691106
rolling_2sigma,48h,sp500_5d_up,0.20800523122391157,-0.06153991901867184,-0.16670748382006328,-0.49289071066968737,-1.0165721666331764,0.8112759879556817,0.9079815749850231,1.0140283331422453,0.09416175353841026
rolling_2sigma,48h,broad_3of4_5d_up,0.33415774926945485,0.06461259902687144,0.020230182466770552,-0.0693213512668579,-0.5697720879360657,0.937428506001225,0.8426633607618134,0.9129070727081695,0.24836983953269218
rolling_2sigma,5d,nasdaq_5d_up,1.54694176611491,0.14362297535309843,-0.07161398710685418,-0.5586043604507319,-3.5698222179850188,2.194072200556089,1.9761614793306983,2.280401390493119,-1.50733154871729
rolling_2sigma,5d,sp500_5d_up,0.9398255283287785,-0.46349326243303324,0.17581145393015962,0.41261081499181607,-2.845553186123132,1.5869559627699572,2.3153025180218663,1.3731312215035465,-0.7440754093676761
rolling_2sigma,5d,broad_3of4_5d_up,0.8608193715219986,-0.5424994192398132,-0.18149782380782975,0.9525840015369947,-3.338899375176366,1.5079498059631773,2.303615620848236,1.727947168154486,-0.8152863921368214
rolling_1_5sigma,24h,nasdaq_5d_up,0.780247860783583,0.09770457293215962,0.6976521656476128,-0.5743278614935053,-0.18948335170352035,0.8758838802986024,0.7303240063384464,0.05863420053997035,-0.276409025123706
rolling_1_5sigma,24h,sp500_5d_up,0.8716941052392355,0.18915081738781214,0.8692580633499206,-0.18447103960013264,0.19725119750625741,0.967330124754255,0.6796632566436243,-0.05496633003051085,-0.14538200063488416
rolling_1_5sigma,24h,broad_3of4_5d_up,1.0778157335086809,0.3952724456572575,1.0473381283891237,-0.01332938094384395,0.5136825001041894,1.1734517530237003,0.5963539823641045,-0.0635617844437685,-0.12697705499917486
rolling_1_5sigma,48h,nasdaq_5d_up,0.4942421544074095,0.16559001367603066,-0.08826052798183626,-0.5339263068701302,-1.2481063527798357,0.6397918133484184,0.39309648685147475,0.7431827175557122,-0.7516189617210672
rolling_1_5sigma,48h,sp500_5d_up,0.12483839446363651,-0.20381374626774235,-0.1429918571496227,-0.15939401009384224,-1.1588893967817668,0.2703880534046454,0.58035479252017,0.43855453329187777,-0.4103681243743645
rolling_1_5sigma,48h,broad_3of4_5d_up,0.15459315026952933,-0.17405899046184953,-0.1388871226194457,0.2463576655392327,-1.057405837209156,0.3001428092105382,0.5542689352848382,0.46418271781618275,-0.33909699331867327
rolling_1_5sigma,5d,nasdaq_5d_up,1.751109403228883,0.56652032346585,0.3903780395003893,-0.09084572963943383,-2.679879088500626,2.0726273960714994,1.2286277304999274,1.6153274069424715,-1.9085513471297266
rolling_1_5sigma,5d,sp500_5d_up,0.7009718885223322,-0.4836171912407008,-0.12627158708473374,0.43034167875302326,-3.3400633816010172,1.0224898813649486,1.7579910263768483,1.1709923816688255,-1.4335698549202918
rolling_1_5sigma,5d,broad_3of4_5d_up,0.6037971773003783,-0.5807919024626547,-0.7097688828884858,0.5634748955797728,-4.317300478441639,0.9253151701429947,1.773271347738471,1.763624874341994,-1.7057194265041682
full_sample_q05,24h,nasdaq_5d_up,0.9814564989545267,0.0491841070713126,1.1354600408122018,-0.6664724073194324,0.3224868620862859,1.0956200571283836,1.0169254858142838,-0.31791183041333704,-0.07411953964115098
full_sample_q05,24h,sp500_5d_up,1.2004236350930402,0.2681512432098261,1.3607206469642807,-0.040390311817277855,0.9205743901855653,1.314587193266897,0.8507580158228738,-0.421025876840604,0.03571933590093796
full_sample_q05,24h,broad_3of4_5d_up,1.2645363605492872,0.3322639686660731,1.4140670791407821,-0.26754613332837857,0.983028698637215,1.3786999187231441,0.8334462265531783,-0.4325770141088688,0.005197992358380486
full_sample_q05,48h,nasdaq_5d_up,2.1217212666200638,1.1725046365611638,1.5898412457511975,-0.5182987901962904,0.9213250081515606,2.525128031613029,0.649120613115167,0.5459379093513341,-0.4087445009949674
full_sample_q05,48h,sp500_5d_up,1.5539563783179826,0.6047397482590824,1.1647738755806758,-0.29005274696187516,0.24470813553558862,1.9573631433109477,0.9113268219979404,0.4716821795600856,-0.32964600621733303
full_sample_q05,48h,broad_3of4_5d_up,1.1058137310853318,0.15659710102643154,0.9253577339907897,-0.36671978053141774,-0.1949947329864361,1.509220496078297,1.2522406379836397,0.3239308143372851,-0.12804377674380818
full_sample_q05,5d,nasdaq_5d_up,0.9531812469817718,0.10077077057022565,-0.2758092004646542,-1.1296414998838746,-3.1093757504089004,1.4049450235829106,1.2437117906705502,1.748299334365439,-1.522309648955822
full_sample_q05,5d,sp500_5d_up,0.17544265943532283,-0.6769678169762232,-0.5283954123519468,-0.10729473515385152,-3.5181820811545306,0.6272064360364618,1.7981777951304698,1.301180176281292,-1.0460305457792305
full_sample_q05,5d,broad_3of4_5d_up,0.007814336642727626,-0.8445961397688184,-0.7871585346570484,-0.2917253337383638,-3.837591903309505,0.45957811324386655,1.8455820349157739,1.467848595838288,-0.9837393857993095
