event_def,horizon,risk_env,period,group,n,mean_ret_pct,median_ret_pct,win_rate_pct,profit_factor,t_stat,mean_mae_pct,worst_mae_pct,mean_mfe_pct,best_mfe_pct,maxdd_pct
rolling_2sigma,24h,nasdaq_5d_up,all,all_funding_covered_crashes,201,0.3408696084495801,0.28981994350858675,53.233830845771145,1.2599635032580474,1.1900395102548516,-3.7265774962948734,-36.61731954434463,3.0510185665911282,16.15690254573776,-30.823393023738564
rolling_2sigma,24h,nasdaq_5d_up,all,funding_low_x_risk_on,15,1.29731544107217,0.7260050846045356,66.66666666666666,3.122098551976723,1.4436330675370979,-2.6507918537525725,-9.425650229529623,3.843146169295734,14.586244152905872,-3.4704901515850595
rolling_2sigma,24h,nasdaq_5d_up,all,funding_high_x_risk_off,26,-0.24243365430495714,-0.7793481301481353,42.30769230769231,0.8371910208086902,-0.36516281861309774,-4.3301863506850236,-12.257577792119946,2.6049846955983296,6.898808550413792,-19.24975261528139
rolling_2sigma,24h,nasdaq_5d_up,2020_plus,all_funding_covered_crashes,201,0.3408696084495801,0.28981994350858675,53.233830845771145,1.2599635032580474,1.1900395102548516,-3.7265774962948734,-36.61731954434463,3.0510185665911282,16.15690254573776,-30.823393023738564
rolling_2sigma,24h,nasdaq_5d_up,2020_plus,funding_low_x_risk_on,15,1.29731544107217,0.7260050846045356,66.66666666666666,3.122098551976723,1.4436330675370979,-2.6507918537525725,-9.425650229529623,3.843146169295734,14.586244152905872,-3.4704901515850595
rolling_2sigma,24h,nasdaq_5d_up,2020_plus,funding_high_x_risk_off,26,-0.24243365430495714,-0.7793481301481353,42.30769230769231,0.8371910208086902,-0.36516281861309774,-4.3301863506850236,-12.257577792119946,2.6049846955983296,6.898808550413792,-19.24975261528139
rolling_2sigma,24h,nasdaq_5d_up,2021_plus,all_funding_covered_crashes,193,0.32505349971044173,0.2683422860320181,52.331606217616574,1.2444297175797914,1.1019225023285715,-3.76022879820036,-36.61731954434463,3.053469849855555,16.15690254573776,-30.8233930237386
rolling_2sigma,24h,nasdaq_5d_up,2021_plus,funding_low_x_risk_on,15,1.29731544107217,0.7260050846045356,66.66666666666666,3.122098551976723,1.4436330675370979,-2.6507918537525725,-9.425650229529623,3.843146169295734,14.586244152905872,-3.4704901515850595
rolling_2sigma,24h,nasdaq_5d_up,2021_plus,funding_high_x_risk_off,25,-0.1711312533841482,-0.7614415507194254,44.0,0.8833962715063759,-0.24909278271418478,-4.373485582542588,-12.257577792119946,2.660403901786441,6.898808550413792,-19.249752615281402
rolling_2sigma,24h,nasdaq_5d_up,2022_rate_hike,all_funding_covered_crashes,33,-0.6521005735318531,-0.17352808724850854,48.484848484848484,0.7212892132033916,-0.686660129304853,-5.121497572537727,-20.25185698185711,3.408388831896034,12.712233819312827,-25.855070414509353
rolling_2sigma,24h,nasdaq_5d_up,2022_rate_hike,funding_low_x_risk_on,4,0.333333132532203,-0.7374424713150383,50.0,1.2863639584130333,0.17119517959411512,-3.135930858452446,-5.9460107683525445,3.720756081731974,10.59305729548261,-1.6125191966570918
rolling_2sigma,24h,nasdaq_5d_up,2022_rate_hike,funding_high_x_risk_off,0,,,,,,,,,,
rolling_2sigma,24h,nasdaq_5d_up,2023_plus,all_funding_covered_crashes,128,0.40532059573332735,0.25873050673438375,52.34375,1.4228929612693757,1.4647448299842358,-2.8432836413300864,-16.987413450951745,2.541288662448529,16.15690254573776,-23.46088384307431
