z_bin,0-5,5-10,10-25,25-50,50-75,75-90,90-95,95-100
<=-2.5,670.0,189.0,254.0,196.0,,,,
-2.5~-2.0,459.0,231.0,363.0,326.0,,,,
-2.0~-1.5,700.0,432.0,769.0,798.0,,,,
-1.5~-1.0,802.0,743.0,1591.0,1818.0,,,,
-1.0~0,1554.0,1933.0,5954.0,9356.0,,,,
0~1.0,,,,,10819.0,6402.0,1907.0,1622.0
1.0~1.5,,,,,2139.0,1665.0,699.0,781.0
1.5~2.0,,,,,908.0,748.0,344.0,570.0
2.0~2.5,,,,,299.0,310.0,152.0,309.0
>=2.5,,,,,138.0,159.0,99.0,323.0
