condition_id,condition,short_label,direction,horizon_hours,n,rebound_probability_%,mean_net_return_bps,median_net_return_bps,p5_net_return_bps,p95_net_return_bps,std_net_return_bps,t_stat,baseline_mean_net_return_bps,excess_vs_baseline_bps
oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,4,1549,53.324725629438355,1.5643715189002776,2.1645268230443526,-67.15429379442733,74.36394939088193,51.37667386187123,1.198393997057933,-0.7475657198574286,2.3119372387577064
strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,4,670,53.28358208955224,5.093380181112204,2.7318773220395656,-72.80128344214982,92.25623407092571,59.34032767452689,2.221741643158591,-0.7475657198574286,5.840945900969633
overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,4,889,51.74353205849269,3.305513943902804,0.9674337610186027,-61.05761049034172,68.57470041197858,46.67304333047869,2.1116588354103634,-1.1039783160732726,4.409492259976076
strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,4,326,53.37423312883436,5.947008410477059,1.6758444755018738,-57.05086929200882,77.51620411739341,55.40161672421377,1.9381389714079378,-1.1039783160732726,7.050986726550331
