condition_id,condition,short_label,direction,horizon_hours,n,rebound_probability_%,mean_net_return_bps,median_net_return_bps,p5_net_return_bps,p95_net_return_bps,std_net_return_bps,t_stat,baseline_mean_net_return_bps,excess_vs_baseline_bps
oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,1,1549,53.06649451258877,0.49678766529937335,1.2439616030529133,-40.63508200840526,41.62779164463761,32.171834841941646,0.6077440037179632,-0.8803045455047238,1.377092210804097
strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,1,670,54.47761194029851,2.05405188487661,2.2084942813491577,-45.29422507004801,52.468816932157104,33.94968823717817,1.5660766720704675,-0.8803045455047238,2.934356430381334
overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,1,889,49.26884139482565,-0.5597713339481218,-0.31518895577946726,-35.877019998130756,31.769672863708795,23.466935519373187,-0.7112219553950427,-0.9712259946628699,0.411454660714748
strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,1,326,48.466257668711656,-2.021665023230013,-0.48756613250018827,-44.86634950296261,35.27150683304442,25.412416366920226,-1.4363888825966638,-0.9712259946628699,-1.0504390285671432
oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,2,1549,53.518398967075534,1.039056300172885,2.444275225390945,-55.339361774406505,55.09900034651383,42.35576070703306,0.9655000549060432,-0.835666594365381,1.874722894538266
strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,2,670,53.88059701492537,3.0625558635430314,2.4693552987499907,-57.617657758127535,67.27535479365292,46.29017901600246,1.712507808319692,-0.835666594365381,3.8982224579084126
overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,2,889,48.14398200224972,0.23364236417794557,-0.8296603577910294,-47.80588854640499,46.740290709006736,33.735761736878565,0.2064961466483286,-1.0158684481798446,1.24951081235779
strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,2,326,48.77300613496933,0.6769379818202039,-0.7631927049061237,-55.34028543158683,54.23686404067927,40.15485983335154,0.3043824217307968,-1.0158684481798446,1.6928064300000485
oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,4,1549,53.324725629438355,1.5643715189002776,2.1645268230443526,-67.15429379442733,74.36394939088193,51.37667386187123,1.198393997057933,-0.7475657198574286,2.3119372387577064
strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,4,670,53.28358208955224,5.093380181112204,2.7318773220395656,-72.80128344214982,92.25623407092571,59.34032767452689,2.221741643158591,-0.7475657198574286,5.840945900969633
