combo_id,is_blocks,oos_blocks,is_start,is_end,oos_start,oos_end,selected_strategy_id,selected_strategy_index,selected_is_sharpe,selected_oos_sharpe,selected_is_cum_return,selected_oos_cum_return,oos_rank_desc_1_best,oos_percentile_desc_1_best,oos_median_sharpe,oos_median_or_worse,oos_loss,best_oos_strategy_id,best_oos_sharpe
38,1;2;3;6,0;4;5;7,2020-09-30 20:00,2025-04-02 07:00,2020-01-01 22:00,2025-12-31 20:00,ma_s20_l50_sl_atr1_5_tp_none,78,0.757414220668293,0.3255319666609338,0.21893847599433847,0.08233889692208685,11,0.0763888888888889,-0.3693092504226384,False,False,ma_s10_l50_sl_none_tp_none,0.7787943900395699
39,1;2;3;7,0;4;5;6,2020-09-30 20:00,2025-12-31 20:00,2020-01-01 22:00,2025-04-02 07:00,ma_s20_l50_sl_atr1_5_tp_none,78,0.7475246985223328,0.3562672077275162,0.20413921414442782,0.09564119333245102,34,0.2361111111111111,-0.12824341331955857,False,False,ma_s10_l150_sl_none_tp_none,0.713612516192015
40,1;2;4;5,0;3;6;7,2020-09-30 20:00,2024-07-01 19:00,2020-01-01 22:00,2025-12-31 20:00,ma_s20_l50_sl_none_tp_none,72,0.8959340103423817,0.34099138006049123,0.2324684285173675,0.09902568657618938,27,0.1875,-0.14232490483747007,False,False,ma_s20_l100_sl_atr1_0_tp_none,0.6918456146677944
41,1;2;4;6,0;3;5;7,2020-09-30 20:00,2025-04-02 07:00,2020-01-01 22:00,2025-12-31 20:00,ma_s20_l50_sl_none_tp_none,72,0.9373365483126856,0.2505650302143342,0.2736311552452162,0.06350606708737216,25,0.1736111111111111,-0.3063365993485224,False,False,ma_s5_l50_sl_atr1_5_tp_none,0.7149950994305324
42,1;2;4;7,0;3;5;6,2020-09-30 20:00,2025-12-31 20:00,2020-01-01 22:00,2025-04-02 07:00,ma_s20_l50_sl_none_tp_none,72,1.0012341493495798,0.23965107084064766,0.2753275950360454,0.06209139213089898,57,0.3958333333333333,-0.05131043180531062,False,False,ma_s30_l150_sl_atr1_5_tp_none,0.9093884276392743
43,1;2;5;6,0;3;4;7,2020-09-30 20:00,2025-04-02 07:00,2020-01-01 22:00,2025-12-31 20:00,ma_s10_l50_sl_atr1_5_tp_none,42,0.5855726246138684,0.4545735132853592,0.1421441038955067,0.13301688872876904,5,0.034722222222222224,-0.39698323939709146,False,False,ma_s20_l50_sl_none_tp_none,0.6239283748713967
44,1;2;5;7,0;3;4;6,2020-09-30 20:00,2025-12-31 20:00,2020-01-01 22:00,2025-04-02 07:00,ma_s10_l50_sl_none_tp_none,36,0.8841630283909698,0.2457193947403513,0.21786436415114063,0.06639255202160088,43,0.2986111111111111,-0.09142882590702582,False,False,ma_s20_l100_sl_atr1_5_tp_none,0.6636794024689082
45,1;2;6;7,0;3;4;5,2020-09-30 20:00,2025-12-31 20:00,2020-01-01 22:00,2024-07-01 19:00,ma_s20_l50_sl_none_tp_none,72,0.6309095753939529,0.5272803654373561,0.1658406558043941,0.16183498498789795,8,0.05555555555555555,-0.2907375178572157,False,False,ma_s10_l200_sl_atr1_5_tp_none,0.7124770626422192
46,1;3;4;5,0;2;6;7,2020-09-30 20:00,2024-07-01 19:00,2020-01-01 22:00,2025-12-31 20:00,ma_s20_l50_sl_atr1_5_tp_none,78,0.5636575113903077,0.5148902993067175,0.158625936049267,0.1386802974756829,9,0.0625,-0.3005490119987206,False,False,ma_s10_l50_sl_none_tp_none,0.7350156809021299
47,1;3;4;6,0;2;5;7,2020-09-30 20:00,2025-04-02 07:00,2020-01-01 22:00,2025-12-31 20:00,ma_s20_l50_sl_atr1_5_tp_none,78,0.5961952492867859,0.4763333972695209,0.18277858966024563,0.1154281427283721,12,0.08333333333333333,-0.4059999034425106,False,False,ma_s10_l50_sl_none_tp_none,1.000405861718945
48,1;3;4;7,0;2;5;6,2020-09-30 20:00,2025-12-31 20:00,2020-01-01 22:00,2025-04-02 07:00,ma_s20_l50_sl_none_tp_none,72,0.6226661552241818,0.5166826658027559,0.19035176750324623,0.13791107621560528,22,0.1527777777777778,0.020613663997167415,False,False,ma_s10_l150_sl_none_tp_none,0.8029340680046856
49,1;3;5;6,0;2;4;7,2020-09-30 20:00,2025-04-02 07:00,2020-01-01 22:00,2025-12-31 20:00,ma_s30_l150_sl_atr1_5_tp_none,132,0.6258855009371779,-0.5156822710996264,0.18440239237157563,-0.14135808842954356,69,0.4791666666666667,-0.573907117260914,False,True,ma_s10_l50_sl_none_tp_none,1.0051611153826352
50,1;3;5;7,0;2;4;6,2020-09-30 20:00,2025-12-31 20:00,2020-01-01 22:00,2025-04-02 07:00,ma_s5_l50_sl_atr1_5_tp_none,6,0.6216995754080521,-0.10261625827417355,0.1696740649274857,-0.04151373994288676,74,0.5138888888888888,-0.09880546749097033,True,True,ma_s20_l50_sl_none_tp_none,0.9122598195651351
