full_sample_rank,strategy_id,short_ma,long_ma,sl_atr,tp_atr,full_sample_sharpe,full_sample_cum_return,full_sample_max_drawdown,bar_profit_factor,trade_count,win_rate,trade_profit_factor,avg_trade_return,median_trade_return
1,ma_s20_l50_sl_none_tp_none,20,50,none,none,0.5716800378464449,0.35451446083477656,-0.10127984365711507,1.0241601807310619,786,0.3816793893129771,1.1793433187350333,0.00042042284755147496,-0.0010217630656430628
2,ma_s20_l50_sl_atr1_5_tp_none,20,50,1.5,none,0.5395818381894527,0.31930452552359734,-0.10250064420572691,1.0222406674281916,1659,0.30078360458107295,1.1287088721999496,0.00018233513747417673,-0.0013210684425132774
3,ma_s10_l50_sl_atr1_5_tp_none,10,50,1.5,none,0.5087870046261952,0.29406855907559737,-0.11266126229308515,1.020779576533252,1715,0.2915451895043732,1.120887128327259,0.0001648683396485767,-0.001223998461733743
4,ma_s10_l50_sl_none_tp_none,10,50,none,none,0.4989673198611523,0.29872148730330483,-0.1722859087856483,1.0210517700123785,938,0.34968017057569295,1.1418656541796957,0.0003074659707506888,-0.0011734712708199777
5,ma_s10_l50_sl_atr1_0_tp_none,10,50,1.0,none,0.4542848307294297,0.2531679678610623,-0.12271955542070812,1.0184289244190168,2271,0.24394539850286218,1.1006439893198348,0.00011016373043740762,-0.0010573980762532517
6,ma_s20_l50_sl_atr1_0_tp_none,20,50,1.0,none,0.44807676559584714,0.2512034282719531,-0.11245860384572293,1.0183395609387473,2253,0.2401242787394585,1.0990502238420614,0.00011054782685636831,-0.0010858278806854897
7,ma_s30_l50_sl_atr1_5_tp_none,30,50,1.5,none,0.3508161630184058,0.18629620666404811,-0.1032546468220048,1.014367519654322,1801,0.31149361465852304,1.0783197136116969,0.00010886566360262794,-0.0013307848335866758
8,ma_s20_l100_sl_none_tp_none,20,100,none,none,0.34975042676688517,0.1914021152355203,-0.19004417928041017,1.0147116904802553,470,0.3276595744680851,1.1403779054962349,0.0004301105414322357,-0.0019873390144859453
9,ma_s30_l50_sl_none_tp_none,30,50,none,none,0.34739383060559226,0.18982080301906,-0.11233009969585606,1.0146116519270856,806,0.3883374689826303,1.1050555995389724,0.00024914668258495183,-0.0009698802236094944
10,ma_s5_l50_sl_none_tp_none,5,50,none,none,0.30074851931711705,0.15814000580713494,-0.14654717946416873,1.0126363763779773,1258,0.302066772655008,1.0753590442768803,0.0001381833618570395,-0.0011445168808881013
11,ma_s10_l150_sl_none_tp_none,10,150,none,none,0.28279254004659776,0.14618366381156345,-0.19763653937107195,1.0118783113306653,500,0.282,1.11818629958883,0.0003269202691276694,-0.0018526178967521489
12,ma_s20_l100_sl_atr1_5_tp_none,20,100,1.5,none,0.2801749123497699,0.14160819842860062,-0.18498808087003782,1.011539089098867,1163,0.2519346517626827,1.08732221942188,0.00013604072294141683,-0.0014522975543219327
13,ma_s10_l150_sl_atr1_5_tp_none,10,150,1.5,none,0.2652061288253133,0.13210508722009706,-0.1596398268919471,1.0109411583845789,1042,0.23512476007677544,1.093369648978475,0.00014386259569644432,-0.0014674643190737482
14,ma_s5_l50_sl_atr1_5_tp_none,5,50,1.5,none,0.25038633978533853,0.12111651997812656,-0.14109612617162004,1.0101927113060378,1928,0.2717842323651452,1.055276873009885,7.228032613332309e-05,-0.0011493525575025925
15,ma_s20_l100_sl_atr1_0_tp_none,20,100,1.0,none,0.24646080860052813,0.11924292288492522,-0.20162030495466976,1.0100925643317955,1585,0.20126182965299685,1.0730092808097413,8.706019763709919e-05,-0.0011242950332198635
16,ma_s10_l150_sl_atr1_0_tp_none,10,150,1.0,none,0.23061081883462628,0.10980035223547935,-0.15656281922469972,1.0094830918096165,1410,0.1900709219858156,1.078048058378438,9.204230171337942e-05,-0.0011394084448392823
17,ma_s5_l50_sl_atr1_0_tp_none,5,50,1.0,none,0.20096471781421196,0.0900870131755287,-0.14965415055397435,1.0081236825762767,2503,0.22852576907710748,1.041789043283031,4.428031620935181e-05,-0.0010024768096867016
