event_def,horizon,risk_env,group,n,mean_ret_pct,median_ret_pct,win_rate_pct,profit_factor,t_stat,mean_mae_pct,worst_mae_pct,mean_mfe_pct,best_mfe_pct,maxdd_pct
rolling_2sigma,24h,nasdaq_5d_up,all_funding_covered_crashes,201,0.3408696084495801,0.28981994350858675,53.233830845771145,1.2599635032580474,1.1900395102548516,-3.7265774962948734,-36.61731954434463,3.0510185665911282,16.15690254573776,-30.823393023738564
rolling_2sigma,24h,nasdaq_5d_up,funding_low_only,44,1.257503323576537,0.8890238519650699,63.63636363636363,2.527514379092452,2.0955007107777655,-3.051204904886312,-20.25185698185711,3.8083719431702696,14.586244152905872,-19.09709023942341
rolling_2sigma,24h,nasdaq_5d_up,risk_on_only,88,0.4231602707356475,0.33137224993803743,54.54545454545454,1.40643294285358,1.1431592397013413,-3.418368051612561,-36.61731954434463,2.8608078901068543,14.586244152905872,-27.800489623770687
rolling_2sigma,24h,nasdaq_5d_up,funding_low_x_risk_on,15,1.29731544107217,0.7260050846045356,66.66666666666666,3.122098551976723,1.4436330675370979,-2.6507918537525725,-9.425650229529623,3.843146169295734,14.586244152905872,-3.4704901515850595
rolling_2sigma,24h,nasdaq_5d_up,funding_low_x_risk_off,29,1.2369108490098315,1.0499888389465615,62.06896551724138,2.3259654667807026,1.558124989219634,-3.2583151037485902,-20.25185698185711,3.7903852744846844,12.712233819312827,-16.607870091290422
rolling_2sigma,24h,nasdaq_5d_up,funding_not_low_x_risk_on,73,0.24353934532403343,0.24306395469285694,52.054794520547944,1.21562159413709,0.6001031984590901,-3.5760891881591337,-36.61731954434463,2.6589575587666743,11.082029808076754,-27.800489623770687
rolling_2sigma,24h,nasdaq_5d_up,funding_not_low_x_risk_off,84,-0.05468722794829169,-0.1512374223971707,48.80952380952381,0.9682931801676622,-0.11073511396131931,-4.211125597674464,-16.987413450951745,2.995029340420924,16.15690254573776,-40.76114387519032
rolling_2sigma,24h,nasdaq_5d_up,funding_high_x_risk_off,26,-0.24243365430495714,-0.7793481301481353,42.30769230769231,0.8371910208086902,-0.36516281861309774,-4.3301863506850236,-12.257577792119946,2.6049846955983296,6.898808550413792,-19.24975261528139
rolling_2sigma,24h,nasdaq_5d_up,funding_high_x_risk_on,36,0.23697030943738412,0.33137224993803743,52.77777777777778,1.259412602592452,0.5304210476122064,-3.804255971422035,-15.485697612480113,2.6382838193865727,8.634510111262479,-15.479463104765411
rolling_2sigma,24h,nasdaq_5d_up,funding_negative_x_risk_on,13,1.6602601633593315,0.7260050846045356,69.23076923076923,4.5154226219382645,1.6988438265892318,-2.5905408105163215,-9.425650229529623,4.074886089532455,14.586244152905872,-3.4704901515850706
rolling_2sigma,24h,nasdaq_5d_up,funding_low20_x_risk_on,15,1.29731544107217,0.7260050846045356,66.66666666666666,3.122098551976723,1.4436330675370979,-2.6507918537525725,-9.425650229529623,3.843146169295734,14.586244152905872,-3.4704901515850595
rolling_2sigma,24h,sp500_5d_up,all_funding_covered_crashes,201,0.3408696084495801,0.28981994350858675,53.233830845771145,1.2599635032580474,1.1900395102548516,-3.7265774962948734,-36.61731954434463,3.0510185665911282,16.15690254573776,-30.823393023738564
rolling_2sigma,24h,sp500_5d_up,funding_low_only,44,1.257503323576537,0.8890238519650699,63.63636363636363,2.527514379092452,2.0955007107777655,-3.051204904886312,-20.25185698185711,3.8083719431702696,14.586244152905872,-19.09709023942341
rolling_2sigma,24h,sp500_5d_up,risk_on_only,90,0.2254966730620186,0.24282548956346073,52.22222222222223,1.2000482546560354,0.6226875859138696,-3.524495698171691,-36.61731954434463,2.7252073789729723,14.586244152905872,-29.29642822137506
rolling_2sigma,24h,sp500_5d_up,funding_low_x_risk_on,16,1.4147664000766245,0.8163847143629943,68.75,3.341894057892904,1.6483759400176439,-2.715653073532254,-9.425650229529623,3.985106345837065,14.586244152905872,-3.4704901515850706
rolling_2sigma,24h,sp500_5d_up,funding_low_x_risk_off,28,1.1676387084336306,0.9606360993776242,60.71428571428571,2.2311044270962737,1.430167700455041,-3.2429488085172022,-20.25185698185711,3.7073808559321013,12.712233819312827,-16.607870091290422
