symbol,oi_timestamp,oi_time_ms,open_interest_contracts,open_interest_value_usdt,cmc_circulating_supply
BTCUSDT,2026-04-30 16:00:00,1777564800000,96100.7440000000,7344902983.3247995377,20022396.0000000000
BTCUSDT,2026-04-30 20:00:00,1777579200000,95743.2860000000,7314107952.7462015152,20022396.0000000000
BTCUSDT,2026-05-01 00:00:00,1777593600000,95322.9050000000,7272988012.4989395142,20022396.0000000000
BTCUSDT,2026-05-01 04:00:00,1777608000000,95822.3100000000,7386251863.5288667679,20022918.0000000000
BTCUSDT,2026-05-01 08:00:00,1777622400000,96873.3040000000,7468988062.1538238525,20022918.0000000000
BTCUSDT,2026-05-01 12:00:00,1777636800000,98746.7550000000,7645911866.2724990845,20022918.0000000000
BTCUSDT,2026-05-01 16:00:00,1777651200000,104420.5530000000,8189753949.0183553696,20022918.0000000000
BTCUSDT,2026-05-01 20:00:00,1777665600000,104911.9880000000,8216706900.1599998474,20022918.0000000000
BTCUSDT,2026-05-02 00:00:00,1777680000000,103865.0070000000,8121402240.8432989120,20022918.0000000000
BTCUSDT,2026-05-02 04:00:00,1777694400000,104084.9560000000,8157958153.7630653381,20023412.0000000000
BTCUSDT,2026-05-02 08:00:00,1777708800000,102516.2910000000,8014887656.4455995560,20023412.0000000000
BTCUSDT,2026-05-02 12:00:00,1777723200000,102138.5670000000,7977604272.5319004059,20023412.0000000000
BTCUSDT,2026-05-02 16:00:00,1777737600000,102067.3120000000,8007215998.6404495239,20023412.0000000000
BTCUSDT,2026-05-02 20:00:00,1777752000000,102002.4060000000,8001354333.3767995834,20023412.0000000000
BTCUSDT,2026-05-03 00:00:00,1777766400000,102089.1300000000,8029811346.9240779877,20023412.0000000000
BTCUSDT,2026-05-03 04:00:00,1777780800000,102865.4280000000,8040789326.8124895096,20023521.0000000000
BTCUSDT,2026-05-03 08:00:00,1777795200000,102984.8510000000,8065413083.3415012360,20023521.0000000000
BTCUSDT,2026-05-03 12:00:00,1777809600000,103087.9650000000,8104796425.8929996490,20023521.0000000000
BTCUSDT,2026-05-03 16:00:00,1777824000000,103575.3390000000,8143821244.0707340240,20023521.0000000000
BTCUSDT,2026-05-03 20:00:00,1777838400000,103507.0040000000,8149147827.7215995789,20023521.0000000000
BTCUSDT,2026-05-04 00:00:00,1777852800000,103389.5230000000,8119065512.7147006989,20023521.0000000000
BTCUSDT,2026-05-04 04:00:00,1777867200000,108201.4310000000,8686759598.9949417114,20023521.0000000000
BTCUSDT,2026-05-04 08:00:00,1777881600000,108050.6970000000,8607399067.7675495148,20023521.0000000000
BTCUSDT,2026-05-04 12:00:00,1777896000000,101172.7980000000,7967711947.2930002213,20023521.0000000000
BTCUSDT,2026-05-04 16:00:00,1777910400000,107331.1030000000,8584470415.2636003494,20023521.0000000000
BTCUSDT,2026-05-04 20:00:00,1777924800000,109083.4930000000,8728435684.2372989655,20023521.0000000000
BTCUSDT,2026-05-05 00:00:00,1777939200000,108685.1050000000,8675908060.2404994965,20023521.0000000000
BTCUSDT,2026-05-05 04:00:00,1777953600000,111454.1020000000,9010395422.0879993439,20023521.0000000000
BTCUSDT,2026-05-05 08:00:00,1777968000000,111110.4110000000,8980584209.2790088654,20023521.0000000000
BTCUSDT,2026-05-05 12:00:00,1777982400000,113620.5060000000,9199431974.9477996826,20023521.0000000000
BTCUSDT,2026-05-05 16:00:00,1777996800000,115093.0370000000,9378267891.1236495972,20023521.0000000000
BTCUSDT,2026-05-05 20:00:00,1778011200000,113871.9820000000,9287239431.1452007294,20023521.0000000000
BTCUSDT,2026-05-06 00:00:00,1778025600000,113249.7700000000,9157591576.7630004883,20023521.0000000000
BTCUSDT,2026-05-06 04:00:00,1778040000000,114097.6320000000,9303064522.7520008087,20025243.0000000000
BTCUSDT,2026-05-06 08:00:00,1778054400000,113849.5830000000,9259773673.9722003937,20025243.0000000000
BTCUSDT,2026-05-06 12:00:00,1778068800000,110653.1660000000,9127259593.4598007202,20025243.0000000000
BTCUSDT,2026-05-06 16:00:00,1778083200000,107723.3730000000,8796361306.9716663361,20025243.0000000000
BTCUSDT,2026-05-06 20:00:00,1778097600000,107091.9650000000,8719104410.2963390350,20025243.0000000000
BTCUSDT,2026-05-07 00:00:00,1778112000000,106377.8200000000,8658795642.0740585327,20025243.0000000000
BTCUSDT,2026-05-07 04:00:00,1778126400000,107152.5990000000,8657565680.3633995056,20025718.0000000000
BTCUSDT,2026-05-07 08:00:00,1778140800000,107061.7900000000,8724007432.0953330994,20025718.0000000000
BTCUSDT,2026-05-07 12:00:00,1778155200000,105513.0780000000,8528411068.5839996338,20025718.0000000000
BTCUSDT,2026-05-07 16:00:00,1778169600000,104622.4520000000,8354081867.7096004486,20025718.0000000000
BTCUSDT,2026-05-07 20:00:00,1778184000000,103995.8100000000,8328806031.6990003586,20025718.0000000000
BTCUSDT,2026-05-08 00:00:00,1778198400000,103900.7160000000,8308690896.8016004562,20025718.0000000000
BTCUSDT,2026-05-08 04:00:00,1778212800000,103535.0170000000,8235250861.2145404816,20026162.0000000000
BTCUSDT,2026-05-08 08:00:00,1778227200000,103194.9950000000,8218910403.7547664642,20026162.0000000000
BTCUSDT,2026-05-08 12:00:00,1778241600000,103147.2430000000,8270541923.5016994476,20026162.0000000000
BTCUSDT,2026-05-08 16:00:00,1778256000000,101861.8580000000,8160642381.2983999252,20026162.0000000000
BTCUSDT,2026-05-08 20:00:00,1778270400000,101095.4260000000,8101849945.9167871475,20026162.0000000000
BTCUSDT,2026-05-09 00:00:00,1778284800000,100841.9070000000,8082993139.7756996155,20026162.0000000000
BTCUSDT,2026-05-09 04:00:00,1778299200000,101210.1070000000,8131290843.4548988342,20026621.0000000000
BTCUSDT,2026-05-09 08:00:00,1778313600000,100971.8250000000,8096168140.6049604416,20026621.0000000000
BTCUSDT,2026-05-09 12:00:00,1778328000000,100797.2450000000,8095879653.9634685516,20026621.0000000000
BTCUSDT,2026-05-09 16:00:00,1778342400000,100392.7950000000,8080455441.0780000687,20026621.0000000000
BTCUSDT,2026-05-09 20:00:00,1778356800000,100408.0310000000,8122608075.7760000229,20026621.0000000000
BTCUSDT,2026-05-10 00:00:00,1778371200000,100225.7150000000,8081660980.5391693115,20026621.0000000000
BTCUSDT,2026-05-10 04:00:00,1778385600000,100002.0570000000,8075255232.9943714142,20027143.0000000000
BTCUSDT,2026-05-10 08:00:00,1778400000000,99949.6300000000,8065664767.8355951309,20027143.0000000000
BTCUSDT,2026-05-10 12:00:00,1778414400000,99296.6140000000,8022426378.2487983704,20027143.0000000000
BTCUSDT,2026-05-10 16:00:00,1778428800000,99646.4800000000,8109547128.3796300888,20027143.0000000000
BTCUSDT,2026-05-10 20:00:00,1778443200000,100534.6290000000,8183317731.3420000076,20027143.0000000000
BTCUSDT,2026-05-11 00:00:00,1778457600000,100469.7680000000,8256374453.7735996246,20027143.0000000000
BTCUSDT,2026-05-11 04:00:00,1778472000000,96351.9300000000,7775460703.4697456360,20027625.0000000000
BTCUSDT,2026-05-11 08:00:00,1778486400000,96172.6630000000,7761989840.8007011414,20027625.0000000000
BTCUSDT,2026-05-11 12:00:00,1778500800000,96602.4850000000,7840962880.7404994965,20027625.0000000000
BTCUSDT,2026-05-11 16:00:00,1778515200000,98035.1810000000,7980769586.7032003403,20027625.0000000000
BTCUSDT,2026-05-11 20:00:00,1778529600000,100315.0590000000,8217601601.6551246643,20027625.0000000000
BTCUSDT,2026-05-12 00:00:00,1778544000000,100526.0450000000,8212936557.3812541962,20027625.0000000000
BTCUSDT,2026-05-12 04:00:00,1778558400000,101335.2370000000,8211021984.2071008682,20028150.0000000000
BTCUSDT,2026-05-12 08:00:00,1778572800000,101551.6920000000,8206708654.5536031723,20028150.0000000000
BTCUSDT,2026-05-12 12:00:00,1778587200000,101290.9760000000,8179043730.0480003357,20028150.0000000000
BTCUSDT,2026-05-12 16:00:00,1778601600000,104281.8870000000,8374863367.6727294922,20028150.0000000000
BTCUSDT,2026-05-12 20:00:00,1778616000000,106029.0600000000,8566480064.9219999313,20028150.0000000000
BTCUSDT,2026-05-13 00:00:00,1778630400000,105490.1830000000,8487896434.2586593628,20028150.0000000000
BTCUSDT,2026-05-13 04:00:00,1778644800000,105583.1420000000,8575156602.1281995773,20028553.0000000000
BTCUSDT,2026-05-13 08:00:00,1778659200000,105522.6760000000,8545702322.8648481369,20028553.0000000000
