symbol,funding_regime,shock_side,shock_level,threshold_pct,funding_q20_pct,funding_q80_pct,horizon_bars,horizon_hours,count,signal_return_mean_pct,funding_rate_mean_pct,funding_rate_24h_sum_mean_pct,holding_funding_sum_mean_pct,gross_mr_return_mean_pct,gross_mr_return_median_pct,gross_mr_win_rate_pct,gross_mr_return_t_stat,funding_adjusted_mr_return_mean_pct,funding_adjusted_mr_return_median_pct,funding_adjusted_mr_win_rate_pct,funding_adjusted_mr_return_t_stat
ETHUSDT,funding_low_or_negative,lower,5pct,-2.5346979200,0.0014482000,0.0100000000,1,4,146,-4.0818537575,-0.0133915137,-0.0217548973,-0.0029614658,0.2028945493,0.3115077303,58.9041095890,1.0261350784,0.2058560150,0.3187053719,58.9041095890,1.0401332621
ETHUSDT,funding_low_or_negative,lower,5pct,-2.5346979200,0.0014482000,0.0100000000,2,8,146,-4.0818537575,-0.0133915137,-0.0217548973,-0.0071152466,0.0824057976,0.2293028545,55.4794520548,0.3138660034,0.0895210442,0.2538733545,55.4794520548,0.3408397593
ETHUSDT,funding_low_or_negative,lower,5pct,-2.5346979200,0.0014482000,0.0100000000,3,12,146,-4.0818537575,-0.0133915137,-0.0217548973,-0.0099572192,0.4016739350,0.3398187901,57.5342465753,1.1611361696,0.4116311542,0.3364192901,57.5342465753,1.1897632430
ETHUSDT,funding_low_or_negative,lower,5pct,-2.5346979200,0.0014482000,0.0100000000,6,24,146,-4.0818537575,-0.0133915137,-0.0217548973,-0.0151638014,0.8809985337,0.6361544718,56.8493150685,1.8439659348,0.8961623350,0.6495209306,56.8493150685,1.8750299107
ETHUSDT,funding_low_or_negative,lower,5pct,-2.5346979200,0.0014482000,0.0100000000,12,48,146,-4.0818537575,-0.0133915137,-0.0217548973,-0.0194088425,0.1912091221,0.6218111861,57.5342465753,0.2845823282,0.2106179645,0.6361721861,57.5342465753,0.3136158780
ETHUSDT,funding_low_or_negative,lower,5pct,-2.5346979200,0.0014482000,0.0100000000,18,72,146,-4.0818537575,-0.0133915137,-0.0217548973,-0.0185530137,0.3027067563,1.7157879831,57.5342465753,0.3890995434,0.3212597700,1.6889962892,58.2191780822,0.4134654662
ETHUSDT,funding_neutral,lower,5pct,-2.5346979200,0.0014482000,0.0100000000,1,4,162,-3.8817773037,0.0051653827,0.0128007407,0.0003988333,-0.3190449083,0.1252596218,53.0864197531,-1.7644697837,-0.3194437416,0.1252596218,53.0864197531,-1.7665903758
ETHUSDT,funding_neutral,lower,5pct,-2.5346979200,0.0014482000,0.0100000000,2,8,162,-3.8817773037,0.0051653827,0.0128007407,0.0005668765,-0.5900340445,0.0160945834,50.6172839506,-2.2692973060,-0.5906009210,0.0152137816,51.2345679012,-2.2718355020
ETHUSDT,funding_neutral,lower,5pct,-2.5346979200,0.0014482000,0.0100000000,3,12,162,-3.8817773037,0.0051653827,0.0128007407,0.0007793025,-0.7754183855,0.0669641481,50.6172839506,-2.4993603088,-0.7761976879,0.0677921481,50.6172839506,-2.5024289319
ETHUSDT,funding_neutral,lower,5pct,-2.5346979200,0.0014482000,0.0100000000,6,24,162,-3.8817773037,0.0051653827,0.0128007407,0.0028511852,-0.2745736782,0.1917876167,51.2345679012,-0.7549656527,-0.2774248634,0.1744616167,51.2345679012,-0.7634558158
ETHUSDT,funding_neutral,lower,5pct,-2.5346979200,0.0014482000,0.0100000000,12,48,162,-3.8817773037,0.0051653827,0.0128007407,0.0066893148,-0.4563479577,-0.2803924461,48.1481481481,-0.9616136839,-0.4630372726,-0.3028274461,48.1481481481,-0.9765165521
