candidate_id,candidate_label,source_phase,symbol,vol_regime_filter,threshold_pct,horizon_bars,horizon_hours,event_count,entry_gap_mean_pct,close_to_close_return_mean_pct,next_open_return_mean_pct,next_open_return_median_pct,next_open_return_std_pct,next_open_return_t_stat,win_rate_pct,profit_factor,mae_mean_pct,mae_median_pct,mae_10pct,mae_worst_pct,mfe_mean_pct,mfe_median_pct,mfe_90pct,mfe_best_pct,event_sequence_final_log_return_pct,event_sequence_final_return_pct,event_sequence_max_drawdown_pct
BTCUSDT_lower5_all_h48,BTC all 48H,phase2_lower5_best,BTCUSDT,all,-1.8987744291,12,48,636,-0.0021142582,0.4942992799,0.4964135381,0.5096535216,5.5878590864,2.2404060108,55.9748427673,1.2725886621,-5.1125723356,-3.4165691358,-12.2659555073,-36.8270784884,4.3703225893,3.4864429455,9.2502029674,23.8650710819,315.7190102135,2250.4457925920,-87.8762479453
ETHUSDT_lower5_all_h24,ETH all 24H,phase2_lower5_best,ETHUSDT,all,-2.5346979200,6,24,636,0.0022701922,0.3453408074,0.3430706152,0.5245232133,5.7767857693,1.4977034044,55.6603773585,1.1785087999,-5.5626505861,-3.4908389152,-12.8642229107,-57.2095102423,4.1506657453,3.2142603088,9.1914571734,27.3267924644,218.1929112482,786.3388249789,-80.3834708325
SOLUSDT_lower5_all_h72,SOL all 72H,phase2_lower5_best,SOLUSDT,all,-3.7212992607,18,72,636,-0.0016056626,2.5184972485,2.5201029112,2.7533233742,14.6953416395,4.3248111376,61.4779874214,1.6197098755,-11.6441229763,-7.6474854266,-25.8715262122,-96.9344803397,12.3780829310,9.3400428170,26.6659075415,65.3926467407,1602.7854515016,913710730.1826152802,-98.5824520929
BTCUSDT_lower5_Q5_high_h48,BTC Q5 48H,phase3_lower5_Q5_best,BTCUSDT,Q5_high,-1.8987744291,12,48,324,-0.0002381561,1.0494961251,1.0497342812,0.9602075635,6.3333343108,2.9834548652,58.0246913580,1.5402858063,-6.0026307114,-4.0610276720,-14.1955688157,-36.8270784884,5.6317504131,4.6402030100,11.1823673999,23.8650710819,340.1139071249,2899.8250738594,-67.2313911631
ETHUSDT_lower5_Q5_high_h72,ETH Q5 72H,phase3_lower5_Q5_best,ETHUSDT,Q5_high,-2.5346979200,18,72,340,0.0051669483,0.9077506241,0.9025836759,1.5718705428,10.2733873025,1.6199935000,58.2352941176,1.2566989216,-10.5275684029,-6.5649663367,-23.9152249210,-65.4686559819,8.5536839557,7.5540589514,17.9529611215,41.3253087807,306.8784498032,2051.5734356954,-96.6375268672
SOLUSDT_lower5_Q5_high_h72,SOL Q5 72H,phase3_lower5_Q5_best,SOLUSDT,Q5_high,-3.7212992607,18,72,336,0.0048446684,4.3539231462,4.3490784778,3.9686200818,16.2483651236,4.9063351731,66.3690476190,2.0672461866,-13.6506404803,-9.0708932652,-30.6081205336,-87.3175622435,16.0497312352,12.9977376411,32.1657670220,65.1904222026,1461.2903685308,221974578.2281526327,-94.2201631228
