symbol,shock_side,shock_level,shock_quantile,threshold_pct,horizon_bars,horizon_hours,count,current_return_mean_pct,future_return_mean_pct,future_return_median_pct,future_return_std_pct,future_return_t_stat,mr_return_mean_pct,mr_return_median_pct,mr_return_std_pct,mr_return_t_stat,mr_win_rate_pct
BTCUSDT,upper,1pct,0.0100000000,3.7063389285,1,4,128,4.9244103518,-0.0339392982,-0.1209087852,1.7779127859,-0.2159719695,0.0339392982,0.1209087852,1.7779127859,0.2159719695,52.3437500000
BTCUSDT,upper,1pct,0.0100000000,3.7063389285,2,8,128,4.9244103518,0.1616810418,0.2880745577,2.4842653099,0.7363191722,-0.1616810418,-0.2880745577,2.4842653099,-0.7363191722,43.7500000000
BTCUSDT,upper,1pct,0.0100000000,3.7063389285,3,12,128,4.9244103518,0.3982449158,0.2765725001,3.0327251704,1.4856693685,-0.3982449158,-0.2765725001,3.0327251704,-1.4856693685,45.3125000000
BTCUSDT,upper,1pct,0.0100000000,3.7063389285,6,24,128,4.9244103518,0.0479920453,0.0420912390,4.2461559587,0.1278728375,-0.0479920453,-0.0420912390,4.2461559587,-0.1278728375,49.2187500000
BTCUSDT,upper,1pct,0.0100000000,3.7063389285,12,48,128,4.9244103518,0.1619582775,-0.1943537670,5.3188150187,0.3445031900,-0.1619582775,0.1943537670,5.3188150187,-0.3445031900,53.1250000000
BTCUSDT,upper,1pct,0.0100000000,3.7063389285,18,72,128,4.9244103518,0.4381954499,0.6922464941,5.9944841569,0.8270295585,-0.4381954499,-0.6922464941,5.9944841569,-0.8270295585,45.3125000000
BTCUSDT,lower,1pct,0.0100000000,-3.8646644461,1,4,128,-5.2372171189,0.6286526296,0.7092558423,2.6110418083,2.7239673359,0.6286526296,0.7092558423,2.6110418083,2.7239673359,64.8437500000
BTCUSDT,lower,1pct,0.0100000000,-3.8646644461,2,8,128,-5.2372171189,0.3269425420,0.4237626538,3.6975819435,1.0003652855,0.3269425420,0.4237626538,3.6975819435,1.0003652855,55.4687500000
BTCUSDT,lower,1pct,0.0100000000,-3.8646644461,3,12,128,-5.2372171189,0.3826587876,0.6601837653,4.1606231886,1.0405388282,0.3826587876,0.6601837653,4.1606231886,1.0405388282,59.3750000000
BTCUSDT,lower,1pct,0.0100000000,-3.8646644461,6,24,128,-5.2372171189,1.4070981268,1.3520976864,5.4254153261,2.9342450448,1.4070981268,1.3520976864,5.4254153261,2.9342450448,64.0625000000
