candidate_id,candidate_label,event_set,source_phase,entry_model,symbol,shock_side,shock_level,direction,vol_regime_filter,threshold_pct,horizon_bars,horizon_hours,signal_timestamp,entry_timestamp,exit_timestamp,signal_return_pct,vol_regime,vol20_pct,future_return_pct,return_pct,mae_pct,mfe_pct,is_nonoverlap,year,annual_candidate_id
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-06-22 08:00,2021-06-22 08:00,2021-06-25 08:00,-18.4285748707,Q5_high,5.3462172191,29.3901349580,29.3901349580,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-06-23 12:00,2021-06-23 12:00,2021-06-26 12:00,-6.4301913658,Q5_high,7.3773783048,-2.1917732479,-2.1917732479,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-06-24 00:00,2021-06-24 00:00,2021-06-27 00:00,-6.2206611803,Q5_high,7.4182637263,5.6026725490,5.6026725490,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-06-25 04:00,2021-06-25 04:00,2021-06-28 04:00,-4.4104098522,Q5_high,7.1954857692,4.0118197185,4.0118197185,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-06-25 08:00,2021-06-25 08:00,2021-06-28 08:00,-5.5898837605,Q5_high,7.2619421457,6.5763674963,6.5763674963,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-06-26 04:00,2021-06-26 04:00,2021-06-29 04:00,-6.6915773789,Q5_high,4.8778457439,20.3695310136,20.3695310136,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-06-30 00:00,2021-06-30 00:00,2021-07-03 00:00,-5.2269864534,Q5_high,3.2617351611,3.8934357975,3.8934357975,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-07-01 00:00,2021-07-01 00:00,2021-07-04 00:00,-4.9649446229,Q5_high,3.8742408339,0.0887442744,0.0887442744,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-07-01 04:00,2021-07-01 04:00,2021-07-04 04:00,-4.2315167543,Q5_high,3.7648758931,8.7165733708,8.7165733708,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-07-08 04:00,2021-07-08 04:00,2021-07-11 04:00,-6.8680749445,Q4_higher,2.6119820818,-7.7534640370,-7.7534640370,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-07-13 16:00,2021-07-13 16:00,2021-07-16 16:00,-4.1496930324,Q2_lower,1.4504038143,-6.6952731657,-6.6952731657,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-07-15 08:00,2021-07-15 08:00,2021-07-18 08:00,-4.1343478291,Q4_higher,2.4285235709,-6.1933817492,-6.1933817492,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-07-16 08:00,2021-07-16 08:00,2021-07-19 08:00,-4.2544267462,Q4_higher,2.5827927366,-9.0533393209,-9.0533393209,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-07-16 16:00,2021-07-16 16:00,2021-07-19 16:00,-4.2544267462,Q5_high,2.9293804613,-10.7613922327,-10.7613922327,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-07-20 00:00,2021-07-20 00:00,2021-07-23 00:00,-6.9692539173,Q4_higher,2.3745794410,21.2766182662,21.2766182662,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-07-21 16:00,2021-07-21 16:00,2021-07-24 16:00,-5.4129066102,Q5_high,3.1976244098,10.7590694410,10.7590694410,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-07-26 20:00,2021-07-26 20:00,2021-07-29 20:00,-5.2197782305,Q4_higher,2.8287271718,10.3086818501,10.3086818501,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-08-01 20:00,2021-08-01 20:00,2021-08-04 20:00,-3.9029343906,Q5_high,3.2296961382,4.5481884178,4.5481884178,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-08-06 00:00,2021-08-06 00:00,2021-08-09 00:00,-3.9038668145,Q3_mid,1.9162476044,3.7430950757,3.7430950757,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-08-07 12:00,2021-08-07 12:00,2021-08-10 12:00,-3.9230705709,Q4_higher,2.6120786825,4.1725716983,4.1725716983,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-08-11 20:00,2021-08-11 20:00,2021-08-14 20:00,-4.1878620141,Q3_mid,1.9223260277,5.8785579863,5.8785579863,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-08-16 16:00,2021-08-16 16:00,2021-08-19 16:00,-6.4180803373,Q5_high,4.0414275567,13.9533847279,13.9533847279,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-08-17 08:00,2021-08-17 08:00,2021-08-20 08:00,-5.4104734165,Q5_high,5.2067126195,1.8921773230,1.8921773230,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-08-17 16:00,2021-08-17 16:00,2021-08-20 16:00,-6.9811285855,Q5_high,5.5671701896,18.2986569479,18.2986569479,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-08-18 16:00,2021-08-18 16:00,2021-08-21 16:00,-5.3112176515,Q5_high,5.9729722017,-0.1091554209,-0.1091554209,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-08-19 00:00,2021-08-19 00:00,2021-08-22 00:00,-4.2021217751,Q5_high,5.9536328637,6.4475723127,6.4475723127,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-08-21 08:00,2021-08-21 08:00,2021-08-24 08:00,-3.8257444048,Q5_high,3.8125411501,2.4339068305,2.4339068305,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-08-24 12:00,2021-08-24 12:00,2021-08-27 12:00,-7.7089633691,Q4_higher,2.8290169629,13.6010954857,13.6010954857,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-08-25 08:00,2021-08-25 08:00,2021-08-28 08:00,-4.9711308000,Q4_higher,2.8589879262,31.1513142756,31.1513142756,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-08-26 04:00,2021-08-26 04:00,2021-08-29 04:00,-4.4663829161,Q5_high,3.1902921611,32.9798129534,32.9798129534,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-08-31 12:00,2021-08-31 12:00,2021-09-03 12:00,-6.8409110332,Q5_high,3.0322493201,18.3722337458,18.3722337458,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-08-31 20:00,2021-08-31 20:00,2021-09-03 20:00,-5.7604729054,Q5_high,3.2512947436,30.1714494204,30.1714494204,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-09-01 20:00,2021-09-01 20:00,2021-09-04 20:00,-3.7844030324,Q5_high,3.4754947828,22.6696081041,22.6696081041,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-09-03 08:00,2021-09-03 08:00,2021-09-06 08:00,-3.7317763007,Q5_high,3.9740796943,2.1434461490,2.1434461490,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-09-07 12:00,2021-09-07 12:00,2021-09-10 12:00,-8.0220406475,Q5_high,3.9730930870,6.1791281941,6.1791281941,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-09-08 04:00,2021-09-08 04:00,2021-09-11 04:00,-12.6628316434,Q5_high,4.9223546468,15.8815787456,15.8815787456,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-09-09 16:00,2021-09-09 16:00,2021-09-12 16:00,-8.4138038627,Q5_high,6.7404501337,-4.0481980624,-4.0481980624,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
SOLUSDT_lower5_all_close_h72_long,P2 SOL lower5 all close 72H long,phase2_close,phase2_best_5pct,close_to_close,SOLUSDT,lower,5pct,long,all,-3.7212992607,18,72,2021-09-10 04:00,2021-09-10 04:00,2021-09-13 04:00,-6.1323315738,Q5_high,6.7081966415,-17.7612735184,-17.7612735184,,,False,2021,phase2_close:SOLUSDT_lower5_all_close_h72_long
