data,family,total_return,ann_return,sharpe,calmar,max_drawdown,folds,positive_folds,fold_avg_return,fold_return_std,fold_avg_sharpe,fold_total_trades,oos_start,oos_end
USDJPY30(13).csv,ma_cross,0.24703923799476168,0.040965421341695896,0.470134188973442,0.20925870782055522,-0.19576447627128046,22,0.6363636363636364,0.010927766991718485,0.04219266609216778,0.5003755194900119,857,2020-12-01 20:30:00,2026-06-01 20:00:00
USDJPY30(13).csv,donchian_adx,0.07867572248200472,0.013867924903045337,0.223818266021182,0.10680216908824332,-0.12984684694547,22,0.6363636363636364,0.003919330396285261,0.031343304554819734,0.3180610342267016,595,2020-12-01 20:30:00,2026-06-01 20:00:00
USDJPY240(36).csv,donchian,0.168060465559702,0.011584965766787692,0.16961767609340564,0.05668414428506737,-0.2043775364857997,54,0.5370370370370371,0.003696764930852447,0.04090412859790399,0.1107407631282365,188,2012-11-26 20:00:00,2026-05-26 16:00:00
USDJPY60(34).csv,donchian_adx,0.09237309979845931,0.006572372943397076,0.1249391068304137,0.04206625595494513,-0.1562386001368029,54,0.5370370370370371,0.002082985051561572,0.030094260202854432,0.165272505922189,750,2012-11-27 06:00:00,2026-05-27 05:00:00
USDJPY240(36).csv,ma_cross,0.05763819114352842,0.00416372846719848,0.09122451364791423,0.009911441026893099,-0.4200931485039232,54,0.48148148148148145,0.002052208043795233,0.04581129593826716,-0.09452281201238516,330,2012-11-26 20:00:00,2026-05-26 16:00:00
USDJPY60(34).csv,ma_adx,0.016639548536643067,0.0012243313878301798,0.053620372802248725,0.007069037915012136,-0.17319632495252757,54,0.5740740740740741,0.0008164627216768472,0.0323032937074242,0.01955319134058978,1986,2012-11-27 06:00:00,2026-05-27 05:00:00
USDJPY30(13).csv,donchian,-0.00046851681211335094,-8.521857845356084e-05,0.04663899624343638,-0.0003793722568691403,-0.22463049659152046,22,0.45454545454545453,0.0007584373934520443,0.039840022003402704,0.11555542016863148,492,2020-12-01 20:30:00,2026-06-01 20:00:00
USDJPY60(34).csv,donchian,-0.05524877186639676,-0.004205047224202341,0.0005823074816029069,-0.017020014020936322,-0.24706485077096363,54,0.4074074074074074,-0.00010248072194582561,0.04438120942380393,-0.13764422587711544,659,2012-11-27 06:00:00,2026-05-27 05:00:00
USDJPY240(36).csv,ma_adx_vol,-0.0293661953203328,-0.0022075927151138375,-0.004772610345721358,-0.010124612479535043,-0.2180421936717145,54,0.3888888888888889,-0.00021240747867828924,0.026567791082394186,-0.33472751919321936,645,2012-11-26 20:00:00,2026-05-26 16:00:00
USDJPY240(36).csv,donchian_adx,-0.04764968894923283,-0.0036134961371493413,-0.00859738125360165,-0.012429171123163104,-0.2907270405518193,54,0.42592592592592593,-0.00011701336000185257,0.04028863354052367,-0.26917252594270447,182,2012-11-26 20:00:00,2026-05-26 16:00:00
USDJPY240(36).csv,ma_adx,-0.05618636693739032,-0.004278499252588719,-0.019625899654636146,-0.013941717458531639,-0.3068846621884802,54,0.4074074074074074,-0.0003492901988292823,0.03868532511771568,-0.2979336162814005,541,2012-11-26 20:00:00,2026-05-26 16:00:00
USDJPY60(34).csv,ma_cross,-0.1999948736071725,-0.016408330349209632,-0.13289724080411147,-0.06245505003671468,-0.26272223526462424,54,0.5,-0.0032729660183720226,0.04168406772866424,-0.1447239517231291,1139,2012-11-27 06:00:00,2026-05-27 05:00:00
USDJPY240(36).csv,meanrev_z,-0.04227228807809735,-0.00319742670437273,-0.13720591688405728,-0.030294802704383172,-0.10554373750419288,54,0.3888888888888889,-0.0007582634421962547,0.009179918631465498,-0.17945886899533825,206,2012-11-26 20:00:00,2026-05-26 16:00:00
USDJPY30(13).csv,ma_adx,-0.08695326660056835,-0.016406962794161206,-0.17393133296308824,-0.06963575589211152,-0.23561118255944458,22,0.4090909090909091,-0.0033548916297702724,0.04019127405584177,-0.26126687296431417,1694,2020-12-01 20:30:00,2026-06-01 20:00:00
USDJPY60(34).csv,ma_adx_vol,-0.21773781145542226,-0.018042615421942854,-0.26743431564145226,-0.07153258798308908,-0.25222931157206674,54,0.4444444444444444,-0.004152732726632353,0.027809964668433353,-0.43786499277071855,2188,2012-11-27 06:00:00,2026-05-27 05:00:00
USDJPY30(13).csv,ma_adx_vol,-0.12727146421541824,-0.024452169205323226,-0.3759346578362732,-0.1498900318975949,-0.16313405832102956,22,0.45454545454545453,-0.005865367517452102,0.02507856885113648,-0.6536500924747473,1702,2020-12-01 20:30:00,2026-06-01 20:00:00
USDJPY60(34).csv,meanrev_z,-0.21322481715789432,-0.01762369831009225,-0.8194428036141067,-0.07733199839335625,-0.22789658454767592,54,0.2962962962962963,-0.004354553597257659,0.012471302592345294,-0.962392385018161,542,2012-11-27 06:00:00,2026-05-27 05:00:00
USDJPY30(13).csv,meanrev_z,-0.10785129883066003,-0.020539890805159167,-0.9032133112826531,-0.17059105178398606,-0.12040426851443631,22,0.3181818181818182,-0.0051311744140482415,0.009425809691907745,-0.9394223188589458,329,2020-12-01 20:30:00,2026-06-01 20:00:00
