fast,slow,total_return,ann_return,sharpe,maxdd,trades,pf
12,72,0.2666688990341266,0.04392626746920314,0.5000095437407489,-0.17072564513437116,1311,1.1189531060157867
48,72,0.15474917730063953,0.02651124110125358,0.3229445547519344,-0.21532132249822677,669,1.100014642268713
24,120,0.08179287413598124,0.014400108476839923,0.19802718260404678,-0.22961363950356972,717,1.0597520577809454
48,120,0.06867339681542561,0.012151713139813669,0.1746762086621633,-0.22963092442166955,493,1.0604061194171737
12,120,0.055683534507445565,0.009903170710033882,0.15126592621867252,-0.23659209903143652,1007,1.0400962368798494
24,72,0.03623531039590411,0.0064939968471593446,0.11567376464878444,-0.227754003687327,937,1.029196147795342
48,200,0.030103356666859815,0.005408243122982492,0.10431520665989867,-0.21900571818920223,407,1.0391538656285448
24,200,0.0006492113833680424,0.00011803115940600684,0.04878973895838702,-0.2422655723566991,525,1.0157369464882215
12,200,-0.030779273236541727,-0.0056691926527214775,-0.012294348099935333,-0.22096585935643642,731,0.9948405309823289
