regime,bars,total_return,sharpe,maxdd,trades
ADX>=20 trend-like,43833,0.3474623955560989,0.7049860954458418,-0.1452287872385003,1684
ADX<20 range-like,24689,-0.07452761419728016,-0.26582241406994306,-0.16353231822145187,1533
ATR>=rolling median,32526,0.05504403416363601,0.15913778888655186,-0.18289902399040192,2172
ATR<rolling median,35996,0.1819783796828025,0.6756527317500265,-0.06462729471363193,2151
