group,horizon,method,leverage,one_way_cost_bps,n_trades,n_sims,final_return_median_pct,final_return_q05_pct,final_return_q01_pct,final_return_cvar05_pct,mdd_median_pct,mdd_q05_pct,mdd_q01_pct,conditional_expected_drawdown_5_pct,prob_dd_30_pct,prob_dd_50_pct,prob_halving_pct,prob_ruin_pct,max_losing_streak_median,max_losing_streak_q95
G0_all_crashes,24h,original_order,1.0,0.0,201,1,98.40652828500444,98.40652828500444,98.40652828500444,98.40652828500444,-30.82339302373861,-30.82339302373861,-30.82339302373861,-30.82339302373861,100.0,0.0,0.0,0.0,7.0,7.0
G0_all_crashes,24h,shuffle,1.0,0.0,201,5000,98.40652828500454,98.40652828500431,98.40652828500423,98.40652828500426,-33.7001967471562,-48.51572763627147,-54.78875916143982,-52.30115187506096,69.8,3.5999999999999996,0.0,0.0,6.0,9.0
G0_all_crashes,24h,iid_bootstrap,1.0,0.0,201,5000,96.69761747799181,-23.198176502882003,-48.49938781271664,-38.66211509918281,-34.10337431282903,-56.81402124053396,-66.64866399884117,-63.046331452650584,65.3,11.5,0.86,0.0,6.0,9.0
G0_all_crashes,24h,block_bootstrap,1.0,0.0,201,5000,98.97015346505161,-10.552721621954248,-35.80161716816574,-26.558921650969637,-30.734261550330615,-49.61334078390331,-58.109489824795084,-54.70722959242992,53.44,4.62,0.26,0.0,6.0,10.0
G0_all_crashes,24h,stationary_bootstrap,1.0,0.0,201,5000,99.17907709921062,-13.746825663636454,-37.24273338800104,-28.041466762160944,-30.34818997119188,-50.144977569284066,-58.95525996766855,-55.61615864341974,51.4,5.18,0.26,0.0,6.0,9.0
G0_all_crashes,24h,regime_aware_bootstrap,1.0,0.0,201,5000,93.61939342278896,-17.40469052732347,-43.739150193587435,-32.96373690136619,-38.98019183572513,-62.03890882379865,-70.69342647943468,-67.04907389843282,75.5,22.32,0.48,0.0,7.0,10.0
G0_all_crashes,48h,original_order,1.0,0.0,201,1,236.21283839326108,236.21283839326108,236.21283839326108,236.21283839326108,-42.44127872791359,-42.44127872791359,-42.44127872791359,-42.44127872791359,100.0,0.0,0.0,0.0,5.0,5.0
G0_all_crashes,48h,shuffle,1.0,0.0,201,5000,236.21283839326077,236.21283839326037,236.21283839326023,236.2128383932603,-38.04856949538521,-53.023935731286294,-59.85251556573605,-57.02365391981281,87.72,8.94,0.0,0.0,5.0,7.0
G0_all_crashes,48h,iid_bootstrap,1.0,0.0,201,5000,240.4144161576171,-4.584024017064601,-47.032114428496826,-28.146559817514987,-38.221715679835526,-60.81698346543242,-71.10742089080964,-67.26629769173908,78.78,18.82,0.66,0.0,5.0,8.0
G0_all_crashes,48h,block_bootstrap,1.0,0.0,201,5000,233.36919155440762,-1.9670735424646357,-40.30963708859978,-26.018321353695335,-39.27027324872849,-61.637153480812366,-71.12286500617466,-67.13594083547045,82.98,19.56,0.5,0.0,5.0,7.0
