event_timestamp,row_pos,event_year,btc_open,btc_high,btc_low,btc_close,btc_log_ret_4h,btc_sigma_score_180,funding_rate,funding_percentile_expanding,funding_low,funding_negative,funding_high,funding_bucket,risk_on_nasdaq,risk_on_sp500,risk_on_broad_3of4,risk_bucket,regime_label,entry_time_24h,exit_time_24h,entry_price_24h,exit_price_24h,future_return_24h,mae_24h,mfe_24h,entry_time_48h,exit_time_48h,entry_price_48h,exit_price_48h,future_return_48h,mae_48h,mfe_48h
2020-10-16 04:00:00,4849,2020,11493.3,11493.7,11197.0,11298.6,-0.017094133337083393,-2.03498624262798,0.0001,0.8241206030150754,False,False,True,high,True,True,False,risk_on,2020_risk_on_high,2020-10-16 08:00:00,2020-10-19 08:00:00,11298.2,11447.6,0.013223345311642598,-0.00836416420314745,0.01997663344603562,2020-10-16 08:00:00,2020-10-20 08:00:00,11298.2,11721.9,0.03750154891929669,-0.00836416420314745,0.054849445044343303
2020-10-28 08:00:00,4898,2020,13654.0,13693.1,13299.6,13308.7,-0.025607238395341486,-3.133028733647617,0.0001,0.8516949152542372,False,False,True,high,False,False,False,risk_off,2020_risk_off_high,2020-10-28 12:00:00,2020-10-29 12:00:00,13309.2,13042.4,-0.02004628377363038,-0.03195533916388671,0.01226970817179085,2020-10-28 12:00:00,2020-10-30 12:00:00,13309.2,13350.3,0.003088089441889652,-0.03195533916388671,0.025921918672797695
2020-11-02 08:00:00,4916,2020,13729.0,13729.0,13363.1,13403.7,-0.023986879494737292,-2.7328082013595174,-3.275e-05,0.10756972111553785,True,True,False,low_or_negative,False,False,False,risk_off,2020_risk_off_low_or_negative,2020-11-02 12:00:00,2020-11-03 12:00:00,13403.7,13513.6,0.008199228571215356,-0.015324126920178816,0.028469750889679624,2020-11-02 12:00:00,2020-11-04 12:00:00,13403.7,13719.7,0.02357557987719816,-0.015324126920178816,0.049299820198900335
2020-11-04 04:00:00,4927,2020,13892.2,13917.8,13526.6,13590.2,-0.02198578505311776,-2.5371431420500756,-7.816e-05,0.0703125,True,True,False,low_or_negative,False,False,False,risk_off,2020_risk_off_low_or_negative,2020-11-04 08:00:00,2020-11-05 08:00:00,13590.3,14474.7,0.0650758261407034,-0.0019793529208331773,0.08337564292178978,2020-11-04 08:00:00,2020-11-06 08:00:00,13590.3,15745.1,0.15855426296696917,-0.0019793529208331773,0.17366798378255077
2020-11-09 12:00:00,4947,2020,15786.7,15788.0,14939.1,14994.6,-0.051477677105244056,-5.222701499481194,0.0001,0.8529411764705882,False,False,True,high,True,True,True,risk_on,2020_risk_on_high,2020-11-09 16:00:00,2020-11-10 16:00:00,14994.5,15165.1,0.011377505085197859,-0.012317849878288767,0.03291206775817801,2020-11-09 16:00:00,2020-11-11 16:00:00,14994.5,15675.6,0.045423321884691115,-0.012317849878288767,0.06548401080396138
2020-11-18 12:00:00,4989,2020,18244.3,18244.5,17268.3,17878.9,-0.020373955986384484,-2.017025962644195,0.00057572,0.979933110367893,False,False,True,high,True,True,True,risk_on,2020_risk_on_high,2020-11-18 16:00:00,2020-11-19 16:00:00,17879.0,18061.4,0.01020191285866101,-0.029979305330275707,0.01663403993511947,2020-11-18 16:00:00,2020-11-20 16:00:00,17879.0,18667.8,0.04411879859052514,-0.029979305330275707,0.05212819508921074
2020-11-26 00:00:00,5022,2020,18704.6,18902.2,17201.8,17926.9,-0.04246710483596893,-3.695057661534916,0.00035414,0.8944099378881988,False,False,True,high,True,True,True,risk_on,2020_risk_on_high,2020-11-26 04:00:00,2020-11-27 04:00:00,17926.9,17074.7,-0.04753749951190678,-0.0961739062526149,0.007971261065772506,2020-11-26 04:00:00,2020-11-30 08:00:00,17926.9,18614.7,0.03836692345023396,-0.0961739062526149,0.041496298858140435
2020-12-21 08:00:00,5125,2020,23952.2,24048.1,22318.2,22619.4,-0.057210481848639035,-3.48167141289695,0.00030249,0.871859296482412,False,False,True,high,True,False,False,risk_on,2020_risk_on_high,2020-12-21 12:00:00,2020-12-22 12:00:00,22620.4,23099.0,0.02115789287545744,-0.030454810701844415,0.043314883910098745,2020-12-21 12:00:00,2020-12-23 12:00:00,22620.4,23055.5,0.01923484995844449,-0.030454810701844415,0.06361956464076668
2021-01-04 04:00:00,5171,2021,33566.9,33636.3,31779.0,32115.4,-0.04420479650168734,-2.044614829961242,0.00164126,1.0,False,False,True,high,True,True,True,risk_on,2021_risk_on_high,2021-01-04 08:00:00,2021-01-05 08:00:00,32115.4,30814.7,-0.04050081892176338,-0.13095897918132737,0.023228731387433976,2021-01-04 08:00:00,2021-01-06 08:00:00,32115.4,34758.8,0.08230942164818122,-0.13095897918132737,0.11600042347285111
2021-01-11 00:00:00,5200,2021,38152.0,38243.7,33442.7,35363.0,-0.13885047909378073,-5.713458130542326,0.00086486,0.9478260869565217,False,False,True,high,True,True,True,risk_on,2021_risk_on_high,2021-01-11 04:00:00,2021-01-12 04:00:00,35361.2,34946.1,-0.011738855016232397,-0.14346232593916486,0.03468490888318265,2021-01-11 04:00:00,2021-01-13 04:00:00,35361.2,33738.5,-0.04588927977557311,-0.14346232593916486,0.03468490888318265
2021-01-15 12:00:00,5227,2021,38047.6,38139.4,35182.0,35533.3,-0.06834669592561815,-2.5624579621315497,0.00064483,0.904862579281184,False,False,True,high,False,False,False,risk_off,2021_risk_off_high,2021-01-15 16:00:00,2021-01-18 16:00:00,35532.9,36404.9,0.02454063698713016,-0.03232497206813967,0.05267794072535592,2021-01-15 16:00:00,2021-01-19 16:00:00,35532.9,37315.4,0.050164776868760974,-0.03232497206813967,0.06465557272274425
2021-01-21 08:00:00,5250,2021,34583.2,34628.9,31984.5,32138.2,-0.07332266125077012,-2.607116941593715,0.00048357,0.8411405295315683,False,False,True,high,True,True,True,risk_on,2021_risk_on_high,2021-01-21 12:00:00,2021-01-22 12:00:00,32143.8,31719.7,-0.01319383520305617,-0.10470448422401823,0.01933498839589598,2021-01-21 12:00:00,2021-01-25 12:00:00,32143.8,33166.2,0.03180706699270153,-0.10470448422401823,0.0843646364151096
2021-01-29 16:00:00,5288,2021,37135.1,37520.5,33518.3,34269.1,-0.07952382811391033,-2.5493987382585144,0.00166789,0.9941860465116279,False,False,True,high,False,False,False,risk_off,2021_risk_off_high,2021-01-29 20:00:00,2021-02-01 20:00:00,34279.2,33828.8,-0.013139163107656948,-0.0574021564097178,0.03070375037923867,2021-01-29 20:00:00,2021-02-02 20:00:00,34279.2,35768.3,0.04344033699736305,-0.0574021564097178,0.049724030899204186
2021-02-23 08:00:00,5388,2021,49628.8,49911.8,44905.1,46347.0,-0.06849937008455671,-2.7067270483747787,0.0002962,0.6728813559322034,False,False,False,neutral,False,False,False,risk_off,2021_risk_off_neutral,2021-02-23 12:00:00,2021-02-24 12:00:00,46333.7,50340.9,0.08648564651646651,-0.02457606450596428,0.10878259236797416,2021-02-23 12:00:00,2021-02-25 12:00:00,46333.7,50297.1,0.0855403302563793,-0.02457606450596428,0.12312204723559761
2021-03-15 04:00:00,5471,2021,60321.1,60550.9,57311.5,57815.8,-0.04239831331967435,-2.043861770450222,0.0008201,0.8736517719568567,False,False,True,high,True,True,True,risk_on,2021_risk_on_high,2021-03-15 08:00:00,2021-03-16 08:00:00,57815.8,55199.1,-0.04525925439066836,-0.07937795550697224,0.00884706256767176,2021-03-15 08:00:00,2021-03-17 08:00:00,57815.8,55794.7,-0.03495757215155726,-0.07937795550697224,0.00884706256767176
2021-03-24 20:00:00,5517,2021,54676.2,54676.2,51680.0,52252.3,-0.04535009201389026,-2.2409263442724456,0.00026422,0.6371681415929203,False,False,False,neutral,False,False,False,risk_off,2021_risk_off_neutral,2021-03-25 00:00:00,2021-03-26 00:00:00,52254.3,51279.1,-0.018662578964793397,-0.03538273405250858,0.01786455851480162,2021-03-25 00:00:00,2021-03-29 00:00:00,52254.3,55737.3,0.06665480161441262,-0.03538273405250858,0.06911775681618537
2021-04-19 00:00:00,5614,2021,56228.2,57357.7,55780.0,57113.8,-0.07205131394537567,-4.725426002093598,0.0001,0.5053050397877984,False,False,False,neutral,True,True,True,risk_on,2021_risk_on_neutral,2021-04-19 04:00:00,2021-04-20 04:00:00,57113.7,54548.8,-0.04490866464613563,-0.06537835930783686,0.007709183610937531,2021-04-19 04:00:00,2021-04-21 04:00:00,57113.7,55210.1,-0.03333000663588592,-0.06537835930783686,0.007709183610937531
2021-04-23 04:00:00,5639,2021,50271.0,50523.0,47619.0,47880.0,-0.04873048939692442,-2.830614712587889,0.0001,0.5130548302872062,False,False,False,neutral,False,False,False,risk_off,2021_risk_off_neutral,2021-04-23 08:00:00,2021-04-26 08:00:00,47871.7,52863.4,0.10427246160048642,-0.007722725535128205,0.1221473229486314,2021-04-23 08:00:00,2021-04-27 08:00:00,47871.7,54559.4,0.1397004911043478,-0.007722725535128205,0.1544879333719087
2021-05-04 12:00:00,5683,2021,56146.4,56288.5,53552.8,53793.5,-0.042806361001318106,-2.576566763398152,0.00012186,0.5275,False,False,False,neutral,False,False,False,risk_off,2021_risk_off_neutral,2021-05-04 16:00:00,2021-05-05 16:00:00,53793.5,57621.0,0.07115171907386575,-0.01564315391264748,0.07659103795068178,2021-05-04 16:00:00,2021-05-06 16:00:00,53793.5,57115.2,0.06174909608038148,-0.01564315391264748,0.08495636089862146
