group,horizon,method,leverage,one_way_cost_bps,n_trades,n_sims,final_return_median_pct,final_return_q05_pct,final_return_q01_pct,final_return_cvar05_pct,mdd_median_pct,mdd_q05_pct,mdd_q01_pct,conditional_expected_drawdown_5_pct,prob_dd_30_pct,prob_dd_50_pct,prob_halving_pct,prob_ruin_pct,max_losing_streak_median,max_losing_streak_q95
G0_all_crashes,24h,iid_bootstrap,1.0,0.0,201,5000,96.69761747799181,-23.198176502882003,-48.49938781271664,-38.66211509918281,-34.10337431282903,-56.81402124053396,-66.64866399884117,-63.046331452650584,65.3,11.5,0.86,0.0,6.0,9.0
G0_all_crashes,48h,iid_bootstrap,1.0,0.0,201,5000,240.4144161576171,-4.584024017064601,-47.032114428496826,-28.146559817514987,-38.221715679835526,-60.81698346543242,-71.10742089080964,-67.26629769173908,78.78,18.82,0.66,0.0,5.0,8.0
G4_avoid_high_funding_risk_off,24h,iid_bootstrap,1.0,0.0,175,5000,111.05841553710135,-13.22499043442557,-43.09873999041166,-30.761844591723904,-31.317772052733716,-52.63951897634536,-62.7167638707626,-58.32334140763537,55.00000000000001,6.84,0.42,0.0,6.0,9.0
G4_avoid_high_funding_risk_off,48h,iid_bootstrap,1.0,0.0,175,5000,242.97922164015353,5.153547753703581,-38.51476876022763,-21.59645448034285,-36.412451131198985,-58.883664264972026,-68.77137128754077,-65.03202776938379,74.3,15.160000000000002,0.42,0.0,5.0,7.0
G5_high_funding_x_risk_off,24h,iid_bootstrap,1.0,0.0,26,5000,-6.035717133361645,-29.12552014790984,-36.51741050449382,-33.649357998944964,-17.146554089681125,-32.57144979446132,-38.65687558454535,-36.39783188216433,8.24,0.02,0.0,0.0,5.0,9.0
G5_high_funding_x_risk_off,48h,iid_bootstrap,1.0,0.0,26,5000,-2.600598939938487,-28.409701152784002,-36.920401729219385,-33.8423575383595,-16.943054088936293,-33.28661171413801,-40.497374357990175,-37.50923237977194,8.68,0.06,0.02,0.0,3.0,7.0
