group,horizon,method,leverage,one_way_cost_bps,n_trades,n_sims,final_return_median_pct,final_return_q05_pct,final_return_q01_pct,final_return_cvar05_pct,mdd_median_pct,mdd_q05_pct,mdd_q01_pct,conditional_expected_drawdown_5_pct,prob_dd_30_pct,prob_dd_50_pct,prob_halving_pct,prob_ruin_pct,max_losing_streak_median,max_losing_streak_q95
G0_all_crashes,24h,iid_bootstrap,1.0,0.0,201,5000,96.69761747799181,-23.198176502882003,-48.49938781271664,-38.66211509918281,-34.10337431282903,-56.81402124053396,-66.64866399884117,-63.046331452650584,65.3,11.5,0.86,0.0,6.0,9.0
G0_all_crashes,24h,iid_bootstrap,1.5,0.0,201,5000,148.93586169910674,-42.44276718017667,-68.39688566432362,-57.55018946944826,-48.03657344479069,-73.92009544438973,-82.69078133782246,-79.24112493605365,94.36,44.72,3.42,0.0,6.0,10.0
G0_all_crashes,24h,iid_bootstrap,2.0,0.0,201,5000,190.78922165990016,-59.937658511566546,-81.04083334793421,-73.06034356990239,-59.4205316032014,-84.56208021780553,-91.45735281363066,-88.65864360244942,99.46000000000001,74.58,6.959999999999999,0.0,6.0,9.0
G0_all_crashes,24h,iid_bootstrap,3.0,0.0,201,5000,188.9461928135178,-85.78671076905437,-95.51867213930015,-91.8630383663767,-77.98425243748474,-95.83402642814626,-98.23465959749542,-97.29109081187103,100.0,97.61999999999999,16.66,0.0,6.0,9.0
G0_all_crashes,24h,iid_bootstrap,4.0,0.0,201,5000,81.1520816214115,-96.7813871041411,-99.56968592047951,-98.59839798382937,-90.54157716160825,-99.33410902682556,-99.84934373729598,-99.65987914255003,100.0,99.94,29.34,0.0,6.0,10.0
G0_all_crashes,48h,iid_bootstrap,1.0,0.0,201,5000,240.4144161576171,-4.584024017064601,-47.032114428496826,-28.146559817514987,-38.221715679835526,-60.81698346543242,-71.10742089080964,-67.26629769173908,78.78,18.82,0.66,0.0,5.0,8.0
G0_all_crashes,48h,iid_bootstrap,1.5,0.0,201,5000,399.1096650558928,-22.049775906984525,-64.72382260373786,-48.7636279802642,-53.67669066102886,-79.31307965305167,-87.92209768803473,-84.21552667809625,98.32,60.96,2.1,0.0,5.0,8.0
G0_all_crashes,48h,iid_bootstrap,2.0,0.0,201,5000,565.5335221277679,-45.167313451168454,-76.52688730891725,-65.1248474009559,-66.15331741254963,-88.89103690769514,-94.01197632876108,-91.95459961401663,99.96000000000001,87.24,4.38,0.0,5.0,8.0
G0_all_crashes,48h,iid_bootstrap,3.0,0.0,201,5000,592.0169722116946,-85.72202781760626,-97.22475624824486,-92.96778573600517,-84.92003964900996,-97.91702046904526,-99.41904828892825,-98.84333811271954,100.0,99.53999999999999,13.98,0.0,5.0,8.0
G0_all_crashes,48h,iid_bootstrap,4.0,0.0,201,5000,215.6406264592428,-98.91918587661057,-99.86663255675924,-99.55641112351186,-95.47128743996298,-99.87578205951952,-99.97927959985253,-99.94421744777006,100.0,100.0,28.499999999999996,0.0,5.0,8.0
