group,horizon,method,leverage,one_way_cost_bps,n_trades,n_sims,final_return_median_pct,final_return_q05_pct,final_return_q01_pct,final_return_cvar05_pct,mdd_median_pct,mdd_q05_pct,mdd_q01_pct,conditional_expected_drawdown_5_pct,prob_dd_30_pct,prob_dd_50_pct,prob_halving_pct,prob_ruin_pct,max_losing_streak_median,max_losing_streak_q95
G0_all_crashes,24h,original_order,1.0,0.0,201,1,98.40652828500444,98.40652828500444,98.40652828500444,98.40652828500444,-30.82339302373861,-30.82339302373861,-30.82339302373861,-30.82339302373861,100.0,0.0,0.0,0.0,7.0,7.0
G0_all_crashes,24h,shuffle,1.0,0.0,201,5000,98.40652828500454,98.40652828500431,98.40652828500423,98.40652828500426,-33.7001967471562,-48.51572763627147,-54.78875916143982,-52.30115187506096,69.8,3.5999999999999996,0.0,0.0,6.0,9.0
G0_all_crashes,24h,iid_bootstrap,1.0,0.0,201,5000,96.69761747799181,-23.198176502882003,-48.49938781271664,-38.66211509918281,-34.10337431282903,-56.81402124053396,-66.64866399884117,-63.046331452650584,65.3,11.5,0.86,0.0,6.0,9.0
G0_all_crashes,24h,block_bootstrap,1.0,0.0,201,5000,98.97015346505161,-10.552721621954248,-35.80161716816574,-26.558921650969637,-30.734261550330615,-49.61334078390331,-58.109489824795084,-54.70722959242992,53.44,4.62,0.26,0.0,6.0,10.0
G0_all_crashes,24h,stationary_bootstrap,1.0,0.0,201,5000,99.17907709921062,-13.746825663636454,-37.24273338800104,-28.041466762160944,-30.34818997119188,-50.144977569284066,-58.95525996766855,-55.61615864341974,51.4,5.18,0.26,0.0,6.0,9.0
G0_all_crashes,24h,regime_aware_bootstrap,1.0,0.0,201,5000,93.61939342278896,-17.40469052732347,-43.739150193587435,-32.96373690136619,-38.98019183572513,-62.03890882379865,-70.69342647943468,-67.04907389843282,75.5,22.32,0.48,0.0,7.0,10.0
G1_funding_low,24h,original_order,1.0,0.0,44,1,73.89847438225823,73.89847438225823,73.89847438225823,73.89847438225823,-19.09709023942342,-19.09709023942342,-19.09709023942342,-19.09709023942342,0.0,0.0,0.0,0.0,5.0,5.0
G1_funding_low,24h,shuffle,1.0,0.0,44,5000,73.89847438225827,73.89847438225819,73.89847438225814,73.89847438225819,-14.695528180446665,-19.054083636259836,-20.87364867900444,-20.271263767440878,0.0,0.0,0.0,0.0,3.0,5.0
G1_funding_low,24h,iid_bootstrap,1.0,0.0,44,5000,75.47654273007296,12.988885120699763,-4.634638385757479,1.6138576117927848,-13.665834604448996,-26.17591175815976,-33.25925289747031,-30.166216211406763,1.94,0.0,0.0,0.0,3.0,6.0
G1_funding_low,24h,block_bootstrap,1.0,0.0,44,5000,76.25657911332203,6.521274032292205,-19.58913310119101,-8.539089895537497,-18.141884302943133,-32.05642288577933,-41.30044895496653,-37.18023269746454,7.000000000000001,0.16,0.02,0.0,4.0,8.0
