group,horizon,leverage,one_way_cost_bps,n_trades,mean_return_pct,median_return_pct,win_rate_pct,profit_factor,best_trade_pct,worst_trade_pct,final_return_pct,max_drawdown_pct,max_losing_streak,ruined
G0_all_crashes,24h,1.0,0.0,201,0.42347476290255126,0.2902403275276688,53.233830845771145,1.3324669324145424,15.354182600918321,-13.341926660667058,98.40652828500444,-30.82339302373861,7,False
G0_all_crashes,24h,1.0,5.0,201,0.32347476290255117,0.1902403275276688,53.233830845771145,1.2449636352709514,15.25418260091832,-13.441926660667058,62.34710877320051,-33.76450554531709,7,False
G0_all_crashes,24h,1.0,10.0,201,0.22347476290255108,0.0902403275276688,52.736318407960205,1.163417081826364,15.15418260091832,-13.541926660667059,32.81465461542048,-36.58336752766598,7,False
G0_all_crashes,24h,1.0,20.0,201,0.023474762902550916,-0.10975967247233119,47.76119402985074,1.0160067138993563,14.954182600918319,-13.741926660667058,-11.16447215121157,-43.86055280637742,9,False
G0_all_crashes,48h,1.0,0.0,201,0.7388804654221744,0.8549284941734347,61.19402985074627,1.467857665307814,16.91010426175947,-18.856460995376125,236.21283839326108,-42.44127872791359,5,False
G0_all_crashes,48h,1.0,5.0,201,0.6388804654221744,0.7549284941734348,59.70149253731343,1.394695195393816,16.810104261759474,-18.956460995376123,175.22326354788225,-43.78524306635979,5,False
G0_all_crashes,48h,1.0,10.0,201,0.5388804654221743,0.6549284941734348,58.2089552238806,1.3246993743843887,16.710104261759472,-19.056460995376124,125.2522271686523,-45.09916702885223,5,False
G0_all_crashes,48h,1.0,20.0,201,0.33888046542217415,0.4549284941734347,55.72139303482587,1.1941116367962283,16.510104261759473,-19.256460995376123,50.791069302741796,-47.639446594031355,6,False
G1_funding_low,24h,1.0,0.0,44,1.343098016261128,0.8929889936292956,63.63636363636363,2.687853369495418,11.414542756552205,-13.341926660667058,73.89847438225823,-19.09709023942342,5,False
G1_funding_low,24h,1.0,5.0,44,1.2430980162611278,0.7929889936292955,63.63636363636363,2.493916174154297,11.314542756552203,-13.441926660667058,66.49510728898349,-19.438249296448827,5,False
G1_funding_low,24h,1.0,10.0,44,1.1430980162611277,0.6929889936292957,61.36363636363637,2.3145302427808843,11.214542756552204,-13.541926660667059,59.40004830840741,-19.817725715420842,5,False
G1_funding_low,24h,1.0,20.0,44,0.9430980162611279,0.4929889936292956,61.36363636363637,1.9960274870803447,11.014542756552203,-13.741926660667058,46.085144275895786,-20.6534146570462,5,False
G1_funding_low,48h,1.0,0.0,44,1.0375399430788432,1.9033824377592046,68.18181818181817,1.6458322074700598,15.855426296696917,-15.985553778378602,46.820269910344,-23.46751680148588,3,False
G1_funding_low,48h,1.0,5.0,44,0.9375399430788433,1.8033824377592045,68.18181818181817,1.572251866690997,15.755426296696918,-16.085553778378603,40.5408535123158,-25.429512620369742,3,False
G1_funding_low,48h,1.0,10.0,44,0.8375399430788432,1.7033824377592044,63.63636363636363,1.5008781896331016,15.655426296696916,-16.185553778378605,34.524136701202025,-27.44135442230111,4,False
G1_funding_low,48h,1.0,20.0,44,0.6375399430788429,1.5033824377592047,63.63636363636363,1.3653795725681448,15.455426296696917,-16.385553778378604,23.23625461495471,-31.309406542014617,4,False
G2_risk_on,24h,1.0,0.0,88,0.48373210601391875,0.33193055635962754,54.54545454545454,1.4758856902338064,10.49709912020267,-13.000867484225974,45.11858332641108,-27.800489623770698,6,False
G2_risk_on,24h,1.0,5.0,88,0.3837321060139186,0.23193055635962753,54.54545454545454,1.3613492068380613,10.397099120202668,-13.100867484225976,32.930522572512544,-28.400478309894652,6,False
G2_risk_on,24h,1.0,10.0,88,0.2837321060139185,0.13193055635962753,53.40909090909091,1.256086267154111,10.297099120202668,-13.200867484225975,21.755427793298978,-28.9961009461427,6,False
G2_risk_on,24h,1.0,20.0,88,0.08373210601391842,-0.06806944364037247,46.590909090909086,1.0693974448036778,10.097099120202667,-13.400867484225977,2.1177117085538377,-30.1743569401541,6,False
G2_risk_on,48h,1.0,0.0,88,1.5398729259538175,1.3304264320649017,67.04545454545455,2.5215130584120415,16.91010426175947,-13.55907934573537,252.2116244954288,-16.394359537957804,4,False
G2_risk_on,48h,1.0,5.0,88,1.4398729259538174,1.2304264320649017,64.77272727272727,2.376390656453573,16.810104261759474,-13.65907934573537,222.90390528677028,-16.9100674349135,4,False
G2_risk_on,48h,1.0,10.0,88,1.3398729259538174,1.1304264320649018,63.63636363636363,2.238481608051933,16.710104261759472,-13.759079345735369,196.00943269007453,-17.42312213293815,4,False
G2_risk_on,48h,1.0,20.0,88,1.1398729259538172,0.9304264320649017,61.36363636363637,1.9861998228747153,16.510104261759473,-13.95907934573537,148.68963369653167,-18.441315616748668,4,False
G3_funding_low_x_risk_on,24h,1.0,0.0,15,1.3636852844844771,0.7286468908650257,66.66666666666666,3.261042671044278,10.49709912020267,-3.4704901515850706,21.48216989166112,-3.4704901515850595,2,False
G3_funding_low_x_risk_on,24h,1.0,5.0,15,1.263685284484477,0.6286468908650257,66.66666666666666,2.9855040845375824,10.397099120202668,-3.5704901515850707,19.694807540088878,-3.5704901515850596,2,False
G3_funding_low_x_risk_on,24h,1.0,10.0,15,1.163685284484477,0.5286468908650257,60.0,2.7289397625320055,10.297099120202668,-3.6704901515850707,17.9320116523918,-3.6704901515850596,2,False
G3_funding_low_x_risk_on,24h,1.0,20.0,15,0.9636852844844769,0.32864689086502563,60.0,2.2796875662321088,10.097099120202667,-3.870490151585071,14.478867690286123,-3.87049015158506,2,False
G3_funding_low_x_risk_on,48h,1.0,0.0,15,1.1778186251774632,2.445813789509188,73.33333333333333,2.1604625352001507,4.76593634618121,-5.614360035954558,18.205573707115484,-7.913168168993523,2,False
G3_funding_low_x_risk_on,48h,1.0,5.0,15,1.077818625177463,2.345813789509188,73.33333333333333,2.0347494062551092,4.66593634618121,-5.714360035954558,16.463247553381866,-8.288898559932145,2,False
G3_funding_low_x_risk_on,48h,1.0,10.0,15,0.977818625177463,2.245813789509188,73.33333333333333,1.915312385151844,4.56593634618121,-5.814360035954557,14.744912461575034,-8.663478572297512,2,False
G3_funding_low_x_risk_on,48h,1.0,20.0,15,0.7778186251774629,2.045813789509188,73.33333333333333,1.6934760873021966,4.3659363461812095,-6.014360035954558,11.378990984655424,-9.409196856002966,2,False
G4_avoid_high_funding_risk_off,24h,1.0,0.0,175,0.5142041907466264,0.3946813367157853,54.85714285714286,1.4126162319435802,15.354182600918321,-13.341926660667058,111.31519818685919,-32.981710695390596,6,False
G4_avoid_high_funding_risk_off,24h,1.0,5.0,175,0.4142041907466263,0.29468133671578534,54.85714285714286,1.3207535134152986,15.25418260091832,-13.441926660667058,77.48037219686658,-35.768833038423665,6,False
G4_avoid_high_funding_risk_off,24h,1.0,10.0,175,0.3142041907466262,0.1946813367157853,54.285714285714285,1.2350471670521275,15.15418260091832,-13.541926660667059,49.03702073021685,-38.44269995632297,6,False
G4_avoid_high_funding_risk_off,24h,1.0,20.0,175,0.1142041907466261,-0.005318663284214695,49.714285714285715,1.0797577482532164,14.954182600918319,-13.741926660667058,5.0398052559304185,-43.468469942603335,8,False
G4_avoid_high_funding_risk_off,48h,1.0,0.0,175,0.8537474226308495,1.2290688771264158,62.28571428571429,1.5370031495339287,16.91010426175947,-18.856460995376125,245.08642941480875,-42.44127872791359,4,False
G4_avoid_high_funding_risk_off,48h,1.0,5.0,175,0.7537474226308493,1.1290688771264157,60.57142857142858,1.4629289060321549,16.810104261759474,-18.956460995376123,189.9445066225118,-43.785243066359804,4,False
G4_avoid_high_funding_risk_off,48h,1.0,10.0,175,0.6537474226308492,1.0290688771264158,58.857142857142854,1.3918400852591324,16.710104261759472,-19.056460995376124,143.57143923488226,-45.09916702885223,4,False
G4_avoid_high_funding_risk_off,48h,1.0,20.0,175,0.45374742263084905,0.8290688771264157,57.14285714285714,1.258987919942923,16.510104261759473,-19.256460995376123,71.79959321237888,-47.6394465940314,4,False
G5_high_funding_x_risk_off,24h,1.0,0.0,26,-0.18720407835564656,-0.7763174958657026,42.30769230769231,0.8716933595806845,6.4610613370089665,-7.238024134887445,-6.108727631809963,-19.249752615281402,5,False
G5_high_funding_x_risk_off,24h,1.0,5.0,26,-0.28720407835564665,-0.8763174958657027,42.30769230769231,0.8106424385980998,6.361061337008966,-7.338024134887444,-8.526725088721454,-19.911214959735844,5,False
G5_high_funding_x_risk_off,24h,1.0,10.0,26,-0.38720407835564674,-0.9763174958657026,42.30769230769231,0.7540657568967268,6.261061337008966,-7.438024134887444,-10.884789588059151,-20.567932088778317,5,False
G5_high_funding_x_risk_off,24h,1.0,20.0,26,-0.5872040783556468,-1.1763174958657026,34.61538461538461,0.6545667116284946,6.061061337008966,-7.638024134887445,-15.426796886818483,-22.004787991366214,5,False
G5_high_funding_x_risk_off,48h,1.0,0.0,26,-0.034262515790060524,0.2544931089422109,53.84615384615385,0.9772834228116548,5.614460909555441,-8.754914718513529,-2.5714111785257288,-18.776553699945573,2,False
G5_high_funding_x_risk_off,48h,1.0,5.0,26,-0.1342625157900606,0.15449310894221088,53.84615384615385,0.9136250143467017,5.51446090955544,-8.854914718513529,-5.07726228239812,-20.323553340703103,2,False
G5_high_funding_x_risk_off,48h,1.0,10.0,26,-0.23426251579006072,0.054493108942210884,53.84615384615385,0.853637902646611,5.414460909555441,-8.954914718513528,-7.521083803493389,-21.842612965684292,2,False
G5_high_funding_x_risk_off,48h,1.0,20.0,26,-0.43426251579006087,-0.14550689105778913,46.15384615384615,0.7451613815765032,5.214460909555441,-9.15491471851353,-12.228506201214595,-24.79881262841206,2,False
