event_def,horizon,risk_env,funding_case,group,cost_bps,n,mean_ret_pct,median_ret_pct,win_rate_pct,profit_factor,t_stat,var_95_pct,es_95_pct,var_99_pct,es_99_pct,mean_mae_pct,worst_mae_pct,mean_mfe_pct,best_mfe_pct,maxdd_pct,is_small_sample,is_very_small_sample,is_mean_broken,is_pf_broken,is_drawdown_severe,fragility_status
rolling_1_5sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,333,0.09563601951501947,0.2683422860320181,53.153153153153156,1.0693131318035438,0.446612550629277,-6.318888443903344,-9.478978293852686,-11.148909403451725,-13.786188602211432,-3.4944402382076114,-36.61731954434463,2.897743565517376,17.836878322292744,-35.44342926022382,False,False,False,False,True,watch
rolling_1_5sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,24,0.8758838802986024,0.5890614641078679,62.5,2.5999157924312915,1.50261576222898,-2.8197018884382756,-3.281278568501748,-3.416744975569174,-3.5321422852932787,-2.6012047336394817,-9.425650229529623,3.5200015392347095,14.586244152905872,-4.340322700597332,True,False,False,False,False,watch
rolling_1_5sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,36,-0.4786918419784859,-0.10195682103272433,47.22222222222222,0.736195830144964,-0.6653584710201425,-7.646055443681721,-11.686276067817559,-12.778895925412423,-15.328342259800444,-4.11072607783072,-25.55756084422856,2.5645651528754034,6.898808550413792,-29.754755617730353,False,False,True,True,True,broken
rolling_1_5sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,333,0.14554965894100888,0.39288551923639625,55.25525525525525,1.082515250457303,0.5310557751429725,-8.673207276912773,-12.004657695524585,-14.192946738540654,-15.786743312462765,-4.519172429921685,-36.61731954434463,3.8551126388810135,17.836878322292744,-56.648621691090575,False,False,False,False,True,watch
rolling_1_5sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,24,0.6397918133484184,1.279935548417864,62.5,1.5800075451308926,0.963248211619022,-5.526007912904415,-5.663064879554085,-5.725196989968837,-5.778124343285108,-3.611607481335581,-13.645634722489167,4.3692555054506865,14.586244152905872,-6.787257204899532,True,False,False,False,False,watch
rolling_1_5sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,36,-0.3883766479291213,0.2541551473493718,55.55555555555556,0.7932902245884402,-0.5148893619766826,-9.219854805625845,-10.511133635021547,-10.846542900218353,-11.629164519010894,-5.06423334076795,-25.55756084422856,3.4126653195603063,14.335707842813491,-33.75562403672545,False,False,True,True,True,broken
rolling_1_5sigma,5d,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,333,0.32151799284261645,0.8281200726629178,54.65465465465466,1.1134870125584957,0.7099225568410124,-12.887639579902984,-21.827264818318984,-25.092010729032804,-29.45434541606068,-6.894752776365785,-50.636206449343334,6.1070665929656505,31.444205828993194,-82.99379195972963,False,False,False,False,True,watch
rolling_1_5sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,24,2.0726273960714994,3.5794135541945287,70.83333333333334,2.8056437733769477,1.9460178356735425,-8.85691409136464,-11.438895389688255,-12.28317272585591,-13.002371938146872,-4.576372239838681,-14.641592066042206,6.469324377927251,14.586244152905872,-12.558008489925,True,False,False,False,False,watch
rolling_1_5sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,36,0.23067226320318263,1.3254963947610423,63.888888888888886,1.0954865075853453,0.20101064275652672,-9.26520848492,-16.630886049823985,-18.594212536380947,-23.17530767168052,-7.282940886621314,-28.05836351820929,5.356894181209972,16.19218352344918,-34.46149058011775,False,False,False,False,True,watch
rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.3408696084495801,0.28981994350858675,53.233830845771145,1.2599635032580474,1.1900395102548516,-6.341693588951916,-9.718548917259978,-11.569208069051482,-13.272137383015096,-3.7265774962948734,-36.61731954434463,3.0510185665911282,16.15690254573776,-30.823393023738564,False,False,False,False,True,watch
rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,1.29731544107217,0.7260050846045356,66.66666666666666,3.122098551976723,1.4436330675370979,-3.180933081785135,-3.5321422852932787,-3.46190044459165,-3.5321422852932787,-2.6507918537525725,-9.425650229529623,3.843146169295734,14.586244152905872,-3.4704901515850595,True,True,False,False,False,fragile
rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,-0.24243365430495714,-0.7793481301481353,42.30769230769231,0.8371910208086902,-0.36516281861309774,-5.719486039690906,-6.927515444291327,-7.220426371961031,-7.513337299630736,-4.3301863506850236,-12.257577792119946,2.6049846955983296,6.898808550413792,-19.24975261528139,True,False,True,True,False,broken
rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.6032707567317701,0.851294676860646,61.19402985074627,1.3675304301406208,1.6473624609131836,-7.2958465544313995,-11.86029035518225,-14.570900361639113,-17.628031328352268,-4.715645132126101,-36.61731954434463,4.154930341539808,16.54069379542192,-42.4412787279136,False,False,False,False,True,watch
rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,1.1150338183645592,2.4163826851824357,73.33333333333333,2.0725232571152747,1.24091919157581,-5.514386080441323,-5.778124343285108,-5.725376690716351,-5.778124343285108,-3.249251657414053,-9.425650229529623,4.928247841935166,14.586244152905872,-6.1805780215122175,True,True,False,False,False,fragile
rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,-0.10019422569395425,0.2541551473493718,53.84615384615385,0.9351024308803354,-0.1377282019547979,-5.123665361089099,-7.186544190965788,-8.17432484072809,-9.162105490490392,-5.346878973084372,-13.62172455334398,3.202774091806835,6.997349780838566,-18.776553699945588,True,False,True,True,False,broken
rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.6471304344411787,1.2411557969275255,56.71641791044776,1.230986651220737,1.0841816795730062,-12.811151341073726,-21.014228649769713,-24.58737739449574,-27.830245669134868,-7.077750310955974,-50.636206449343334,6.674754919204131,31.444205828993194,-70.07390815413308,False,False,False,False,True,watch
