event_def,horizon,risk_env,funding_case,group,n,bootstrap_iterations,mean_p05_pct,mean_p50_pct,mean_p95_pct,pf_p05,pf_p50,pf_p95,win_rate_p05_pct,win_rate_p50_pct,win_rate_p95_pct,is_ci_fragile
rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,201,10000,-0.12422427866278421,0.34233116983191886,0.8105628110676694,0.9203217293480089,1.261201763879133,1.7529157638916069,47.2636815920398,53.233830845771145,59.20398009950249,True
rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,15,10000,-0.05737386363730743,1.2468818184231485,2.78127448640777,0.9401074249361792,3.12555990759944,13.945979637312572,46.666666666666664,66.66666666666666,86.66666666666667,True
rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,26,10000,-1.292778977866618,-0.2442938646898771,0.823915511688627,0.36828923753101867,0.8345599974597194,1.858434321827308,26.923076923076923,42.30769230769231,57.692307692307686,True
rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,201,10000,-0.0014835830838811565,0.6093264465936701,1.2096821002570204,0.9992183297177176,1.3726069517401527,1.909284986525646,55.72139303482587,61.19402985074627,66.66666666666666,True
rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,15,10000,-0.37979437470020305,1.155391011399348,2.4789427240028674,0.7975062299063819,2.135127392133428,8.713941709964287,53.333333333333336,73.33333333333333,93.33333333333333,True
rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,26,10000,-1.2602320041388508,-0.09139164911325715,1.0814329925139587,0.41302664195401206,0.939450618381899,2.158241919804278,38.46153846153847,53.84615384615385,69.23076923076923,True
