cost_case,event_def,horizon,risk_env,funding_case,group,cost_bps,n,mean_ret_pct,median_ret_pct,win_rate_pct,profit_factor,t_stat,var_95_pct,es_95_pct,var_99_pct,es_99_pct,mean_mae_pct,worst_mae_pct,mean_mfe_pct,best_mfe_pct,maxdd_pct,is_small_sample,is_very_small_sample,is_mean_broken,is_pf_broken,is_drawdown_severe,fragility_status
gross,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.3408696084495801,0.28981994350858675,53.233830845771145,1.2599635032580474,1.1900395102548516,-6.341693588951916,-9.718548917259978,-11.569208069051482,-13.272137383015096,-3.7265774962948734,-36.61731954434463,3.0510185665911282,16.15690254573776,-30.823393023738564,False,False,False,False,True,watch
gross,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,1.29731544107217,0.7260050846045356,66.66666666666666,3.122098551976723,1.4436330675370979,-3.180933081785135,-3.5321422852932787,-3.46190044459165,-3.5321422852932787,-2.6507918537525725,-9.425650229529623,3.843146169295734,14.586244152905872,-3.4704901515850595,True,True,False,False,False,fragile
gross,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,-0.24243365430495714,-0.7793481301481353,42.30769230769231,0.8371910208086902,-0.36516281861309774,-5.719486039690906,-6.927515444291327,-7.220426371961031,-7.513337299630736,-4.3301863506850236,-12.257577792119946,2.6049846955983296,6.898808550413792,-19.24975261528139,True,False,True,True,False,broken
base_cost,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,10.0,201,0.24086960844958002,0.18981994350858677,53.233830845771145,1.1773725196866427,0.8409208206574839,-6.4416935889519165,-9.818548917259978,-11.669208069051482,-13.372137383015096,-3.7265774962948734,-36.61731954434463,3.0510185665911282,16.15690254573776,-33.734940251248766,False,False,False,False,True,watch
base_cost,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,10.0,15,1.1973154410721698,0.6260050846045356,66.66666666666666,2.8572548801544717,1.3323545749028003,-3.2809330817851348,-3.6321422852932788,-3.5619004445916502,-3.6321422852932788,-2.6507918537525725,-9.425650229529623,3.843146169295734,14.586244152905872,-3.5669714127627983,True,True,False,False,False,fragile
base_cost,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,10.0,26,-0.34243365430495726,-0.8793481301481353,42.30769230769231,0.7786123457229576,-0.5157866334708154,-5.819486039690906,-7.027515444291327,-7.32042637196103,-7.613337299630736,-4.3301863506850236,-12.257577792119946,2.6049846955983296,6.898808550413792,-19.89317746337127,True,False,True,True,False,broken
cost_x2,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,20.0,201,0.14086960844957996,0.08981994350858677,52.736318407960205,1.1002631918125656,0.49180213106011605,-6.541693588951916,-9.918548917259978,-11.769208069051484,-13.472137383015095,-3.7265774962948734,-36.61731954434463,3.0510185665911282,16.15690254573776,-36.52394450319888,False,False,False,False,True,watch
cost_x2,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,20.0,15,1.0973154410721697,0.5260050846045355,60.0,2.610657152298913,1.2210760822685027,-3.380933081785135,-3.732142285293279,-3.6619004445916503,-3.732142285293279,-2.6507918537525725,-9.425650229529623,3.843146169295734,14.586244152905872,-3.6633562409038922,True,True,False,False,False,fragile
cost_x2,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,20.0,26,-0.44243365430495724,-0.9793481301481354,42.30769230769231,0.7242463706485022,-0.666410448328533,-5.919486039690907,-7.127515444291327,-7.420426371961031,-7.713337299630736,-4.3301863506850236,-12.257577792119946,2.6049846955983296,6.898808550413792,-20.53147544747558,True,False,True,True,True,broken
cost_x5,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,50.0,201,-0.15913039155042003,-0.21018005649141325,46.26865671641791,0.8977981943634051,-0.5555539377319865,-6.841693588951917,-10.218548917259978,-12.069208069051482,-13.772137383015096,-3.7265774962948734,-36.61731954434463,3.0510185665911282,16.15690254573776,-49.2285949385889,False,False,True,True,True,broken
cost_x5,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,50.0,15,0.7973154410721695,0.22600508460453558,53.333333333333336,1.9880870824471704,0.8872406043656101,-3.680933081785135,-4.032142285293278,-3.9619004445916497,-4.032142285293278,-2.6507918537525725,-9.425650229529623,3.843146169295734,14.586244152905872,-3.9519330904742245,True,True,False,False,False,fragile
cost_x5,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,50.0,26,-0.7424336543049572,-1.2793481301481353,34.61538461538461,0.5864685429663742,-1.1182818929016858,-6.2194860396909055,-7.427515444291327,-7.720426371961031,-8.013337299630736,-4.3301863506850236,-12.257577792119946,2.6049846955983296,6.898808550413792,-23.269271231798005,True,False,True,True,True,broken
gross,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.6032707567317701,0.851294676860646,61.19402985074627,1.3675304301406208,1.6473624609131836,-7.2958465544313995,-11.86029035518225,-14.570900361639113,-17.628031328352268,-4.715645132126101,-36.61731954434463,4.154930341539808,16.54069379542192,-42.4412787279136,False,False,False,False,True,watch
gross,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,1.1150338183645592,2.4163826851824357,73.33333333333333,2.0725232571152747,1.24091919157581,-5.514386080441323,-5.778124343285108,-5.725376690716351,-5.778124343285108,-3.249251657414053,-9.425650229529623,4.928247841935166,14.586244152905872,-6.1805780215122175,True,True,False,False,False,fragile
gross,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,-0.10019422569395425,0.2541551473493718,53.84615384615385,0.9351024308803354,-0.1377282019547979,-5.123665361089099,-7.186544190965788,-8.17432484072809,-9.162105490490392,-5.346878973084372,-13.62172455334398,3.202774091806835,6.997349780838566,-18.776553699945588,True,False,True,True,False,broken
base_cost,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,10.0,201,0.50327075673177,0.751294676860646,59.70149253731343,1.2994232151058553,1.3742906366069965,-7.3958465544314,-11.96029035518225,-14.670900361639113,-17.728031328352266,-4.715645132126101,-36.61731954434463,4.154930341539808,16.54069379542192,-43.750021086827076,False,False,False,False,True,watch
base_cost,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,10.0,15,1.015033818364559,2.3163826851824356,73.33333333333333,1.9519190225949306,1.129629365999408,-5.614386080441323,-5.878124343285108,-5.825376690716351,-5.878124343285108,-3.249251657414053,-9.425650229529623,4.928247841935166,14.586244152905872,-6.3680293516552915,True,True,False,False,False,fragile
base_cost,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,10.0,26,-0.20019422569395431,0.1541551473493718,53.84615384615385,0.8740945654676081,-0.2751894189070524,-5.2236653610890995,-7.286544190965788,-8.274324840728092,-9.262105490490393,-5.346878973084372,-13.62172455334398,3.202774091806835,6.997349780838566,-20.305230760149804,True,False,True,True,True,broken
cost_x2,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,20.0,201,0.40327075673177,0.651294676860646,57.711442786069654,1.2342195779075824,1.1012188123008095,-7.4958465544314,-12.060290355182254,-14.770900361639114,-17.828031328352267,-4.715645132126101,-36.61731954434463,4.154930341539808,16.54069379542192,-45.02900589511818,False,False,False,False,True,watch
cost_x2,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,20.0,15,0.9150338183645589,2.216382685182436,73.33333333333333,1.837199880623322,1.0183395404230062,-5.714386080441323,-5.978124343285108,-5.925376690716351,-5.978124343285108,-3.249251657414053,-9.425650229529623,4.928247841935166,14.586244152905872,-6.555106153790902,True,True,False,False,False,fragile
cost_x2,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,20.0,26,-0.3001942256939544,0.05415514734937179,50.0,0.8165286324471515,-0.4126506358593069,-5.323665361089099,-7.386544190965788,-8.374324840728091,-9.362105490490393,-5.346878973084372,-13.62172455334398,3.202774091806835,6.997349780838566,-21.805137143156195,True,False,True,True,True,broken
